"","ZEB2","SNAI1","TWIST1","TWIST2","SNAI2","ZEB1","miR200c","miR200a","miR200b","TGFbeta","GSC","FOXC2","miR141","miR101","miR34a"
"GSC",-0.153829132456848,0.262692745560457,0.346459743106991,0.0199837122684746,-0.0969725844802034,0.084392926706409,0.0319603944621536,0.0319603944621536,0.00225572752878231,0.0276803196541616,0.0276418302072108,-0.063097704980781,-0.08454671918974,-0.131163014475446,-0.142915914391516
"TWIST2",-0.137861872943503,0.241413088883329,0.262474534255039,-0.0934311218034488,-0.138686730926712,-0.0527895611509826,0.0945432121906743,0.0945432121906743,0.0170772730490433,0.0341054686279734,0.0340800027437696,0.0409070629599319,0.0528603621254855,-0.036703561882923,-0.0814709366521485
"TGFbeta",-0.130496709214066,0.306873060077107,0.275809772077838,0.100178822053559,-0.0359997987143478,0.12333604952173,0.000596663726999546,0.000596663726999546,0.0585164453678644,-0.0684598224552955,0.0313885352913651,0.0257365330818624,-0.123182618021522,-0.133992613244062,-0.253630076283523
"SNAI1",-0.129757490386426,0.180146562254071,0.271795853821608,0.0513080788945194,-0.109745616507505,0.141486290236272,-0.0114004638781644,-0.0114004638781644,-0.0428786517036511,0.0290718117468326,0.0290674501809512,0.115179800916876,-0.141459704028949,-0.133875574710756,-0.254636877440592
"TWIST1",-0.102866230237393,0.229321276373318,0.127541271347507,-0.0805672283362214,-0.107829891426745,-0.0554004338234968,0.0752092329957122,0.0752092329957122,0.0142322159254142,0.02557322039603,0.0255772306623117,0.00927667185640748,0.055436473783775,-0.0439062295633001,-0.0663448067118623
"ZEB2",-0.080923872880769,-0.0425098415012086,-0.0418617833937905,-0.0218570343624951,-0.0134790294977592,-0.00986246404347114,-0.00620774023651948,-0.00620774023651948,-0.00549284525997557,-0.00162553901937222,-0.00155703544196318,0.00138238501269258,0.00967782354499156,0.0278678540671009,0.033077231628215
"miR200a",-0.0424676280474224,0.191978127864843,0.198172551368547,0.0922855259673695,0.044847924433788,0.0375244061909978,0.000737183942408036,0.000737183942408036,0.0242181718498565,0.0977529504742441,0.0977923689913912,-0.0080026557024993,-0.0377845143071116,-0.117076689260473,-0.159169896400774
"ZEB1",-0.016647571137196,-0.083501642827514,0.0067665756634033,0.0908460413994859,0.0795523998523961,-0.0976145676599753,0.00344751585895848,0.00344751585895848,0.00568757173350987,0.00110774665970912,0.00106807681518932,-0.0933141357927524,-0.00218893421728355,0.00327790021329694,-0.000756512219122505
"FOXC2",-0.0165187414145501,-0.083438148524364,0.00667696457552469,0.0907985040959074,0.0794386832600135,0.00218893421728355,0.00335664833454869,0.00335664833454869,0.00566911950632605,0.00106807681518932,0.00112896130071542,-0.0934390683137672,-0.00258299237556891,0.00322694449736913,-0.000976610554582212
"SNAI2",-0.0161412651831855,0.100826717635091,0.128737584288017,0.0119184805814406,-0.122652597758008,0.0281117663957173,-0.00594284535012081,-0.00594284535012081,-0.014319740372112,0.00514422479570375,0.00520837835366008,0.0319630908124979,-0.0280705709921865,-0.0377443900615896,-0.0577401107604989
"miR200c",-0.0160610153504877,0.230297090506384,0.175586240552242,-0.00783840488967075,-0.0078930500326869,0.0152490476676078,-0.00105057380214639,-0.00105057380214639,0.0191091496986824,0.0920543735790967,0.0919815090474006,0.026733070265554,-0.0150278169211623,-0.11048185785072,-0.0397254371387923
"miR34a",0.00646431949450573,0.0854500478437113,-0.0282361602345613,-0.159698182029104,-0.0594761044019444,-0.00601459029333434,0.0407052446235399,0.0407052446235399,-0.0226362104889954,0.0139245335457188,0.0139348480157068,0.0953410921177824,0.00613490566114549,-0.0170807128380684,-0.0510946235672195
"miR101",0.0208939070958418,-0.2351065909807,-0.239894198356808,-0.0617512660825505,0.0935944856950645,-0.118705453462998,0.0510642050832551,0.0510642050832551,0.0811461212236655,-0.00828961674125562,-0.00822276123711234,-0.100356245798397,0.118755576725306,0.119901226715077,0.157072986724297
"miR200b",0.026175043557071,-0.245500843176197,-0.192434429489435,-0.000398488095791181,0.00455150154542548,-0.0256067634295424,0.00169137698426718,0.00169137698426718,-0.0519773870438312,-0.0963814102759861,-0.0963682707702705,-0.0262944132290848,0.0255253060835708,0.119466989635404,0.0548428995463899
"miR141",0.0424676280474224,-0.191978127864843,-0.198172551368547,-0.0922855259673695,-0.044847924433788,-0.0375244061909978,-0.000737183942408036,-0.000737183942408036,-0.0242181718498565,-0.0977529504742441,-0.0977923689913912,0.0080026557024993,0.0377845143071116,0.117076689260473,0.159169896400774
