"","miR200c","GSC","miR141","SNAI2","FOXC2","miR101","miR34a","TWIST2","TWIST1","ZEB1","TGFbeta","SNAI1","ZEB2","miR200b","miR200a"
"TWIST2",0.0799358848814157,0.0357963286572299,0.0626183316133075,-0.0619799210129127,-0.0150659842110745,0.0115739752531758,-0.0696954751675636,0.0497996641098592,-0.031091029143385,-0.0627137590137244,-0.0357357764436787,0.0770737966573971,-0.22429617369024,-0.0342928749035866,-0.14190769321699
"miR34a",-0.0531678343396555,0.0371543831737963,0.110570693552403,-0.122461002674781,-0.159000919844668,0.0215654789949293,-0.142400733034548,0.160901201830724,0.0370970384388919,-0.110674023221229,-0.0371137320273733,0.190845870846174,-0.131840836642625,0.0772565638384653,-0.161121362635387
"TGFbeta",0.115835817528833,0.0202186025274467,-0.104760720460173,-0.147216231990218,-0.164011245052395,0.0525721415753628,-0.11834775647259,0.0907638463631202,0.166991748236534,0.104703928841486,-0.12008631885964,0.252433335864353,-0.129464487632339,0.0341910965803972,-0.00998490597129646
"SNAI1",0.0849974914669269,0.0241871204965705,-0.0793528016563076,-0.100868484831443,-0.223112286200191,0.0996505127771015,-0.114796877524746,-0.00573482525401356,0.200036585030457,0.0794189580326693,-0.0241795868827752,0.100884123135287,-0.092401825326535,-0.0212800146519997,-0.00821439287713107
"FOXC2",0.17617682381735,0.00796672956038062,-0.136769304276916,-0.118589486390796,-0.125308131793521,0.00861499589831441,0.124235732803042,0.176790498583252,0.0107567446876585,0.137054435789822,-0.00790584507485452,0.139958108741002,-0.0300207293274845,-0.1653688288026,0.149632520079432
"ZEB1",0.176362610284455,0.00790584507485452,-0.137054435789822,-0.118514573564534,-0.125201707794138,0.00863988124795358,0.124469260867445,0.176566016871909,0.010831420594224,0.0372083259012544,-0.00791224343687384,0.139844054159417,-0.0300038481914137,-0.165547815406283,0.149755798950128
"SNAI2",-0.0575205040870706,-0.0138540855501029,0.049979429655344,-0.0274816192197324,0.04041536173817,-0.000716513434595893,-0.00125000795741227,-0.084122591883183,0.0459212336570099,-0.0498987134581821,0.0138309902692386,-0.0687061434710321,0.0663904935731408,0.0260900047327441,0.00888052359780434
"TWIST1",-0.115302605159963,-0.00213036645098398,0.109437773399283,-0.106031638637253,-0.308854885542488,0.0323044314189648,-0.1330526257179,0.0436632676286395,0.122172490731343,-0.1095210023723,0.00213838698354735,0.202486336915811,0.118965028872117,0.110928447837349,0.00179983326280957
"GSC",-0.134269772950983,-0.028885409954069,0.118904884435044,0.118121626891992,0.158467378844453,-0.108622724999367,0.0326020485964723,-0.0455778390857353,-0.300757168455003,-0.119004628441805,0.0288267293218325,-0.2396612451127,0.15419088284185,0.10090529930002,0.0122945501731637
"ZEB2",-0.220610748339354,-0.078305224343963,-0.0771977542778841,-0.0682324001675134,-0.0451668015092995,0.0127131745947371,0.0354836178665776,0.0544275529212981,0.0621373393809885,0.0771474882661686,0.0782874641572273,0.0949307676526933,0.201314257531197,0.231779197007313,0.290880188137611
"miR200a",-0.170029936953617,-0.115403861197265,0.130863684951014,-0.090911073201897,-0.0818741879012076,0.0333149757673226,-0.165098562738367,-0.0314334685032768,0.140506156334559,-0.13107751048419,0.115390721691549,0.159086893225567,0.214739036777031,0.176184377243022,0.0433471911404136
"miR141",-0.170029936953617,-0.115403861197265,0.130863684951014,-0.090911073201897,-0.0818741879012076,0.0333149757673226,-0.165098562738367,-0.0314334685032768,0.140506156334559,-0.13107751048419,0.115390721691549,0.159086893225567,0.214739036777031,0.176184377243022,0.0433471911404136
"miR101",-0.188273640878621,-0.038905047335234,0.153841162764694,0.117536507401354,0.236653534504401,-0.100886499550686,0.00481598689072169,-0.0401216147735495,-0.193312760302339,-0.15396357263659,0.0388258763434854,-0.219822009983115,0.230574314690638,0.147836251097292,0.0391383101091939
"miR200b",-0.0422442590635726,0.0551700149278855,-0.166345900286165,0.0667365511293801,0.0623553189384315,-0.0283766590922669,0.179543661420849,0.0515589009045435,-0.114954922517629,0.166508814978108,-0.055226156452307,-0.122817318683449,0.251737938090899,0.00611381947815015,0.206713153657285
"miR200c",-0.221021109094286,0.0483326166130569,0.173380908100828,0.148794407122903,0.124388978459627,-0.0355021278578982,-0.051704108507784,-0.108408345607665,-0.124504514530082,-0.173465142401776,-0.0484413161603412,-0.220336182393285,0.27532772497277,0.142575414752089,0.0495342650341342
