"","ZEB2","miR34a","TWIST2","TGFbeta","FOXC2","miR200b","miR200c","miR200a","miR101","GSC","TWIST1","SNAI1","miR141","ZEB1","SNAI2"
"SNAI2",-0.1419424079027,-0.0657842398341717,-0.425503123166014,-0.300097323759992,0.022542678768357,-0.124504739367777,0.186253170251908,0.186253170251908,0.441484716870163,0.299314650352925,0.301922799845874,-0.212575195965747,0.227723002137703,0.228530499031302,0.368973367228276
"TWIST1",-0.130322940516846,0.04432451912528,-0.155271488601311,-0.0410228031417104,-0.0406797213830184,-0.0288914497202022,0.0588335206701041,0.0588335206701041,0.216875291220202,0.0402341174396465,0.174829515278114,-0.10232638521686,-0.0203645206847537,-0.0198923712770795,0.26145414291084
"miR101",-0.0875562203662997,-0.0913108382339863,-0.0942750165964495,-0.0816906620268156,0.0515264599938388,0.112187251873123,0.152693552008393,0.152693552008393,0.161814663215853,0.0810924812002704,0.0609090419678547,-0.074162063394851,0.214765767613203,0.215200510194449,0.14796972560717
"ZEB2",-0.0843860641142543,-0.0355142916108846,-0.0354156546427001,-0.0068058657617221,-0.0034775731153626,0.00312730765483072,0.00321886558234874,0.00321886558234874,0.00544650863595944,0.0069657074423432,0.00786536182807128,0.024298629456015,0.0259962101375662,0.0261917996683006,0.035440275353736
"GSC",-0.0435059768869649,-0.087562746736952,-0.039304544049058,-0.0660758720156733,-0.0500176210552761,0.125361063090762,0.132972071626982,0.132972071626982,0.0722719268060508,0.0657584918219642,-0.0666828083588293,-0.0519002100381382,0.199873704353469,0.200208804908203,-0.00297184075737498
"FOXC2",-0.030110493058878,0.204253430909947,0.217084644645418,0.104517018489462,0.0965253571266482,-0.181513030553264,-0.196168105637663,-0.196168105637663,-0.0404389598580286,-0.104301155313506,-0.0327996174078367,-0.0403612306202083,-0.213176740598583,-0.213534489875075,-0.12493980827913
"miR200a",-0.0145379919887809,0.180470559749716,0.164146179739899,-0.03740495773907,0.0184922993245785,-0.0406413140790178,-0.0826242392940762,-0.0826242392940762,-0.0283380117681511,0.0378122824162562,-0.0413647523604277,-0.0979151679487008,-0.180957247418062,-0.181171998602896,-0.155436933078215
"miR200b",-0.0124009714574892,0.112219556999231,0.0183252836915538,0.145968683500117,0.0170537664924982,-0.134262219874399,-0.10281381843619,-0.10281381843619,-0.00361133715660545,-0.145977045003754,0.0159935192364694,0.0865543342035782,-0.216468786685577,-0.216450273652402,0.0783635767228017
"miR200c",0.00789593449746667,-0.126595510845665,-0.0310574016557322,-0.148461361657308,-0.0184806763597508,0.109017069162585,0.112943337332024,0.112943337332024,0.00585699049255074,0.148682344253435,-0.0127490660847914,-0.0794480622408908,0.230996934723236,0.231092276844089,-0.0670059444475042
"miR141",0.0124009714574892,-0.112219556999231,-0.0183252836915538,-0.145968683500117,-0.0170537664924982,0.134262219874399,0.10281381843619,0.10281381843619,0.00361133715660545,0.145977045003754,-0.0159935192364694,-0.0865543342035782,0.216468786685577,0.216450273652402,-0.0783635767228017
"ZEB1",0.0302286610113739,-0.204258653582314,-0.217589068255612,-0.105044243519854,-0.0960765254770762,0.18154070889404,0.196297172248767,0.196297172248767,0.0410208030329253,0.104517018489462,0.0333313098625831,0.0405070323533676,0.213534489875075,0.113690385069393,0.12531545029283
"TGFbeta",0.0458779209571783,-0.0464952426270698,-0.142133903009423,-0.0727548673706726,-0.00217700278532007,-0.157577039373115,-0.0748283227720289,-0.0748283227720289,0.031654415194192,-0.0275258321195513,0.0577564763890097,0.0785866742692609,-0.0970914069018682,-0.097074777311866,0.143120006451562
"miR34a",0.0478855164897452,-0.0396213427074972,0.256023674019047,-0.00209137649546936,0.0698247762082309,0.1085891738403,0.0763984389995929,0.0763984389995929,-0.111127841569839,0.0023480247781101,-0.131144960859889,0.0251594801567188,0.0925372853269662,0.09239998426017,-0.209434329101548
"SNAI1",0.103557964146762,-0.0150335272565614,0.051960667240144,0.0614624903743747,-0.0574992934012767,-0.0371566248455503,-0.117169446420066,-0.117169446420066,-0.166472286898272,-0.0615279138625965,-0.0625423460839824,-0.0190157814593248,-0.127802974613899,-0.127751966192872,-0.146199032692458
"TWIST2",0.153324698641126,0.0301863884773678,0.240132719030216,0.100145868587876,0.0106647434375954,-0.0305516250602185,-0.172303240103546,-0.172303240103546,-0.2660154919294,-0.0992896489700909,-0.324052385680678,0.198244568989328,-0.187969421209836,-0.188497570094171,-0.313974534906213
