"","miR200a","miR200b","miR200c","TWIST1","FOXC2","TWIST2","miR101","miR141","ZEB1","miR34a","SNAI2","SNAI1","GSC","TGFbeta","ZEB2"
"miR101",0.16438874721282,0.129146925679693,0.137910611643914,-0.228595769504338,-0.110150603459818,-0.0146902592857124,0.110317314681005,-0.0238026010178334,-0.0237858932637307,0.0912354672944959,0.124364828408153,0.244223970047333,-0.0416171425258407,-0.0418933613192748,-0.314328170122921
"miR200b",0.166771793320561,0.203353658544513,0.134194678042502,0.170916582114611,0.109173605898146,0.0257542040171272,-0.00227802405697515,-0.0310313529298654,-0.0311600185104341,-0.149844465828569,-0.179821418377896,-0.187779737777646,-0.168971283111386,-0.169555393865474,-0.309638801731447
"miR200a",0.166771793320561,0.203353658544513,0.134194678042502,0.170916582114611,0.109173605898146,0.0257542040171272,-0.00227802405697515,-0.0310313529298654,-0.0311600185104341,-0.149844465828569,-0.179821418377896,-0.187779737777646,-0.168971283111386,-0.169555393865474,-0.309638801731447
"miR141",0.166771793320561,0.203353658544513,0.134194678042502,0.170916582114611,0.109173605898146,0.0257542040171272,-0.00227802405697515,-0.0310313529298654,-0.0311600185104341,-0.149844465828569,-0.179821418377896,-0.187779737777646,-0.168971283111386,-0.169555393865474,-0.309638801731447
"miR200c",0.1361341924889,0.0543762091649833,0.13921005818953,-0.138629310134405,-0.0853698817109028,-0.0224230174960686,0.00184803579607508,0.00316342341111545,0.00308566867177896,0.118775750456372,0.151273513387534,0.1561357922388,0.0833453165842339,0.0830622199610868,-0.281050000878905
"TWIST2",0.0969260595689168,0.0414500351399213,0.154251288491078,-0.00724738816599057,-0.0500712378974963,-0.068136938335876,-0.00129219176282659,0.0581580948206793,0.0580697035419521,0.0699720660532379,0.0917578978285908,0.083308793362871,-0.00711013580832798,-0.00747514681524905,-0.256813689382652
"SNAI1",0.0502307954192259,-0.0169633111310432,0.126000132391311,-0.248232116967429,-0.117154570475186,-0.0100573230670518,0.0924180211498352,0.080611222184077,0.0805289904265432,0.214903712746385,0.178408590706897,0.166565114901089,0.0165612803284381,0.0163919722710399,-0.190959649161171
"TWIST1",0.155323677879567,0.155772509942776,0.00202241471607186,0.207349668741823,-0.00514007289852067,0.0670997283927289,-0.00614678096167585,-0.1454428097945,-0.145530705812732,-0.16445086827133,-0.168086317385871,-0.217151767768969,-0.0747581805044139,-0.0750602872309672,-0.164431401272566
"FOXC2",-0.0134119122514428,-0.0233915956322563,0.00670877497712533,0.0545375825986896,0.066833416862587,0.00773089831955609,-0.0833280349566698,0.0160544141906451,0.0159422838204013,0.0175369100715528,0.10059703886534,-0.0630675159961145,0.00955435448861288,0.00939384084495317,0.0075630601167015
"ZEB1",-0.013464580689158,-0.0234524879819629,0.00653456399083649,0.0541074493768723,0.0664185175026733,0.00781012715885359,-0.0832107183083709,0.0159422838204013,-0.0839755077813091,0.017563023433387,0.100606200865674,-0.0631321861196932,0.00939384084495317,0.00957427465389808,0.00764865043818348
"miR34a",0.0718956557133293,0.0037221800339319,-0.0949929817923567,0.0977420741184331,0.0843804256738736,0.00690054777370572,-0.078953502498691,-0.0728897404050022,-0.072934563777324,-0.0990936435240841,0.0242162261593026,-0.145246952199262,-0.0174506511768455,-0.0174160673657095,0.0261126782835287
"TGFbeta",-0.0216014440518143,-0.135449582998829,-0.00516306226277408,-0.243764736111574,-0.108821606298408,-0.0868673349152432,0.0394078035770326,0.0147264400846153,0.0147474623965048,0.180279755516684,0.178996251480978,0.262629876636921,0.213879591473642,0.114008648710527,0.0306514509662223
"GSC",-0.0639755380365903,-0.0811580203393563,-0.100380216086514,-0.364921042799163,-0.153529316032316,-0.0344953168025841,0.112150584483812,-0.0439486677757491,-0.0438115811851761,0.0898825550242212,0.145332624385953,0.277730706741722,0.0203502824991039,0.0207484274339557,0.174215304094061
"SNAI2",-0.0975088414464187,-0.0781063361525447,-0.079763497729724,-0.0387913143216038,0.0496277319894863,-0.0100076893618256,-0.0390427729319792,0.0165413297334792,0.0167988847360414,-0.0140641592273669,-0.0912859910200804,-0.0657856576273223,0.0284706327305379,0.0289881380980522,0.181748851171685
"ZEB2",-0.396244910612249,-0.388149450452606,-0.344685643988246,-0.0790997225813357,-0.0577751956257816,-0.00878774673375927,0.000998209248297779,0.0552940038885428,0.0556588057359432,0.074615972363594,0.0792796861402603,0.0832736989053995,0.13116190814169,0.132394972535053,0.427702131222538
