"","miR200b","GSC","TGFbeta","SNAI1","TWIST2","FOXC2","miR101","miR141","miR34a","ZEB2","ZEB1","miR200c","miR200a","TWIST1","SNAI2"
"miR200c",-0.00385775603735699,-0.0603577409754342,-0.0598668012618754,-0.0810110381634623,-0.197783468677125,-0.0356887398068422,-0.0906607630604288,0.0136857943929073,0.103928748815332,-0.185276117479144,-0.013814459973476,-0.0869527479870148,-0.0869527479870148,0.151428100334091,0.261843398255673
"miR141",-0.00385775603735699,-0.0603577409754342,-0.0598668012618754,-0.0810110381634623,-0.197783468677125,-0.0356887398068422,-0.0906607630604288,0.0136857943929073,0.103928748815332,-0.185276117479144,-0.013814459973476,-0.0869527479870148,-0.0869527479870148,0.151428100334091,0.261843398255673
"SNAI1",0.168852853829034,0.137486415145349,0.137226703722408,0.0212540043972918,0.267114561513213,0.16960207750161,0.0546385991229126,-0.11791519306049,-0.185833169888869,-0.126025240351134,0.117883351440091,-0.121170618704573,-0.121170618704573,-0.252353931519995,-0.325807530092309
"miR200a",0.0311810736835375,-0.0534429619609161,-0.0547581070330042,-0.133541015570008,-0.0613384258986279,-0.0747384204922646,-0.000695875337366248,-0.0028305835098138,-0.00351180022205059,-0.119263292675615,0.00271395140080906,-0.0632534040674596,-0.0632534040674596,0.114115988408334,0.137916135432633
"TWIST2",0.0617461492997702,0.0428934812726609,0.042150443362448,-0.219935600664155,0.0529089436247947,-0.138197952974838,0.149536822555384,0.0209040298343426,0.119324147183804,-0.104053558303375,-0.020769024249421,-0.0422239849233164,-0.0422239849233164,0.0484604428227543,-0.0954211363246256
"miR101",-0.0582047842491325,-0.0412157333657121,-0.041416299878142,-0.126373774914281,-0.209389705297739,-0.166841874226283,-0.0196291695774043,0.118450867216672,0.126916163737482,-0.100543581069721,-0.118370056242747,0.0101827910736956,0.0101827910736956,0.226853255449473,0.263680787295472
"TGFbeta",0.187030910348947,0.237729449651085,0.138097262776206,0.104015029587618,0.308339800985536,0.0577470267287826,0.134283871281735,0.00929198170828429,-0.112354036839071,-0.0512116075061731,-0.00925401604054349,-0.0175165652558656,-0.0175165652558656,-0.207605811893468,-0.370911226961598
"miR34a",-0.069522754475737,-0.0557800487510488,-0.0553620093497734,0.242458004364119,-0.160464599578395,0.205537023463888,-0.159655872418451,0.0312605019027574,-0.0987620280208333,-0.0222960855304628,-0.0314869778892254,0.0506678907890297,0.0506678907890297,-0.0669350039732726,0.0941165012690135
"GSC",-0.0395996927566246,-0.0601486712571172,-0.0588431849334903,0.0545498535916713,0.0628491243752394,0.0114627281708156,-0.0113647646071291,0.0966808980128436,0.00975371863147663,0.0102606215037651,-0.0967148011481466,0.05949341803217,0.05949341803217,-0.188022133077451,-0.131515469553417
"ZEB2",-0.17828870321912,-0.157480676002033,-0.155065290605981,-0.14064412737687,-0.113241522683763,-0.0530165965613656,-0.0338412732453511,-0.0308516552371022,0.00847860517881106,0.0186102676271096,0.030734699665289,0.138232918943012,0.138232918943012,0.155185326317131,0.20776903052387
"SNAI2",-0.212871809543625,-0.181600820889893,-0.181769330902124,0.176299916275726,-0.248025736761575,0.109620744472374,-0.336761948491783,-0.0928708504979083,-0.128055230211785,0.0543356518274856,0.0926287019064227,-0.0205738147812971,-0.0205738147812971,0.0357915154536099,0.200790558390114
"ZEB1",0.00286634216310787,-0.0105210098722735,-0.0109996073513189,-0.0789322554895885,0.140245351832054,-0.0982898777947159,0.126026309031873,-0.00883369978493251,-0.0066221523837022,0.0831970428119823,-0.0909687995508838,0.0263339697097228,0.0263339697097228,-0.0434078466805381,-0.166904987430773
"FOXC2",0.00273533135010275,-0.00842879755146765,-0.0105210098722735,-0.0789287280283024,0.140504166040426,-0.0992939650932429,0.126930476735429,-0.00881981697718804,-0.00625731141407577,0.0836167019314977,0.00883369978493251,0.0266644496870349,0.0266644496870349,-0.0431599226707406,-0.167234280501606
"TWIST1",-0.0182126262391976,0.00311318841160481,0.00320007751437457,0.192542535317396,0.00995692790279685,0.103822357904768,-0.0879672118490157,-0.0998381896757533,-0.122045505123025,0.10408019654854,0.099718142901589,0.00323564464867347,0.00323564464867347,-0.131618976621858,0.0182278427264272
"miR200b",-0.0311810736835375,0.0534429619609161,0.0547581070330042,0.133541015570008,0.0613384258986279,0.0747384204922646,0.000695875337366248,0.0028305835098138,0.00351180022205059,0.119263292675615,-0.00271395140080906,0.0632534040674596,0.0632534040674596,-0.114115988408334,-0.137916135432633
