"","ZEB2","ZEB1","miR34a","SNAI2","miR200a","GSC","miR101","TGFbeta","FOXC2","TWIST1","SNAI1","miR200c","TWIST2","miR200b","miR141"
"miR101",-0.120324035768703,-0.0761481222043899,-0.130249488083522,-0.112455374314091,-0.0960022635634937,0.00968933225291295,-0.233790159396789,-0.00960664255041994,0.258994972038031,-0.190631747566636,-0.255607907541594,0.0960022635634937,0.120089233216236,0.00345442094617842,0.0762330248731979
"ZEB2",-0.0957785616602165,-0.0483095049829787,-0.036482161387326,-0.0204422347399245,-0.019145625864379,-0.0023667889334219,-0.00142079377048899,0.00238708628969125,0.00356958784349268,0.004623626666087,0.0177255303596605,0.019145625864379,0.0272129567450383,0.0276307891851713,0.0481308366839109
"miR200b",-0.0413089509631317,-0.272915980991487,-0.160753032561542,-0.0743979761199547,-0.157890300433452,-0.10462364571143,-0.00707798585167878,0.104686954238969,0.0177619101042909,0.0229809000824091,0.060282808415564,0.157890300433452,0.109741551698653,0.112706422966457,0.27236521825452
"miR141",-0.032569358508977,-0.264777500372177,-0.260931164201859,-0.00123172847425751,-0.149491461626671,0.114495217401211,-0.0772157022239626,-0.114517912911084,0.0283487132047475,-0.00521572555206876,-0.153789140568798,0.149491461626671,0.126106687200178,0.0609916696844602,0.264193414175495
"TWIST2",-0.0321303011870158,-0.312184250641502,-0.10346236834584,0.0640889666041912,-0.175357443074278,0.0119113024357774,0.111229445100537,-0.0119118683443152,-0.204100157347888,0.245008157191993,0.18396876661043,0.175357443074278,-0.0372486302064758,0.0820335846399983,0.31134343409958
"TGFbeta",-0.00863171157439779,-0.0104539275580363,0.0993383372786267,-0.00785691358299733,-0.00961444796862825,-0.18721677864485,0.0527125115280643,0.0871328914408751,-0.0135087853148589,0.0167913010529239,0.113317905539705,0.00961444796862825,0.00454345765771526,0.0702574787507229,0.0104881280355879
"SNAI2",-0.0028050678753382,0.109830851695365,0.0185978286872574,-0.0930508773823151,0.0541077151191494,0.00152832759981646,-0.0584826397702213,-0.00150694308049768,0.122686237930499,-0.146491829896223,-0.126920622667211,-0.0541077151191494,-0.0108842806273778,-0.046144341039173,-0.109314736924301
"miR200c",0.0388109276613756,0.297685711406544,0.177192728602209,0.080748201012323,0.16978820300253,0.109206309842774,0.00763394535310164,-0.109166891325627,-0.0191143936957937,-0.0247903138291655,-0.0655554732411711,-0.16978820300253,-0.12023799932378,-0.159751473164061,-0.297021093515549
"miR200a",0.0388109276613756,0.297685711406544,0.177192728602209,0.080748201012323,0.16978820300253,0.109206309842774,0.00763394535310164,-0.109166891325627,-0.0191143936957937,-0.0247903138291655,-0.0655554732411711,-0.16978820300253,-0.12023799932378,-0.159751473164061,-0.297021093515549
"TWIST1",0.0657063543536023,-0.34459286718792,-0.144780726830348,-0.0340751161363586,-0.154115082897282,-0.0133383567197846,0.0966862088865352,0.0131739358022356,-0.347047424765698,0.217031855251691,0.227558670341102,0.154115082897282,0.128075920218496,0.171966259764191,0.34352592879551
"SNAI1",0.0820704651479118,-0.25296998068411,0.0107692913558021,0.0804683548701872,-0.0956303703093962,0.000741670424167119,0.200734408751695,-0.000774580421272626,-0.239753658610659,0.194953070033021,0.120317008023661,0.0956303703093962,-0.0515396255124431,0.0970869309841485,0.252406724059199
"FOXC2",0.0890527517531637,0.373343730939074,0.351085013299437,0.117598579777576,0.335496278409328,-0.00600898573173255,0.1212156070912,0.00608094012371793,-0.108546995662356,-0.0222158010997499,0.126094460396869,-0.335496278409328,-0.275452444356941,-0.262048435287008,-0.371903122658513
"ZEB1",0.0893012302297152,0.274147769176005,0.352151184558325,0.117771579901532,0.336472670216203,-0.00608094012371793,0.121472755704138,0.00615388145073822,-0.108493012474263,-0.0225443750886381,0.126224976464455,-0.336472670216203,-0.27641111331244,-0.262578014207184,-0.373343730939074
"GSC",0.0908502619409054,-0.369778499404211,-0.15197105820568,-0.011009839416706,-0.155772726600517,-0.0140914302875397,0.153668391143519,0.0139734380485265,-0.346042612538163,0.32891141695874,0.219965074895915,0.155772726600517,0.071937619223695,0.219314904269046,0.368491654312058
"miR34a",0.104274623930598,0.186699987516734,0.150523933508688,0.0855470192204811,0.191135890051549,0.00680740321640192,0.0817501268952947,-0.00673398845942904,-0.0732831612890146,-0.0595321251792901,0.0828656635343802,-0.191135890051549,-0.251802178561393,-0.100677141584529,-0.186218254220518
