"","ZEB2","SNAI2","SNAI1","TWIST1","TWIST2","miR200b","miR34a","miR200c","miR141","miR200a","ZEB1","TGFbeta","GSC","FOXC2","miR101"
"GSC",-0.113028488300152,-0.113203826043198,-0.116876353580953,-0.207167713337179,0.00858983136546445,-0.041265934055302,-0.134153888135872,-0.0212161516032706,-0.146924408932681,-0.13241201788494,0.146902789542053,-0.0387921886006157,-0.0391625706556998,0.0743296117304016,0.164841412670917
"ZEB2",-0.098762161314941,-0.0827839281303472,-0.0813009083684059,-0.0653237348159578,-0.0319198938778366,-0.0258514998954882,-0.0247517043999939,-0.00740095012018326,-0.00711884164684014,-0.00228529249845866,0.00716413082571249,0.00957976277614595,0.00988676028971981,0.0547909025266293,0.0820665763930829
"TGFbeta",-0.0913672617408127,-0.133398443873634,-0.11840466754122,-0.0901188186545727,-0.0655301018069366,-0.115165015694334,-0.16333937011471,-0.00899567599225828,-0.109049027739507,-0.101228617254605,0.10908950353404,0.0683179308586294,0.168453440957358,0.0652101011144463,0.126583517316931
"TWIST2",-0.080038548208478,-0.0514525116631994,0.0406784894020795,-0.00356779992023662,-0.0936508531708462,0.0300569709340069,0.0503063847368595,0.0723241349653681,0.0666047798373604,-0.0057963212327065,-0.0666549122043997,-0.0225009734192744,-0.0220861624610215,-0.0366406679923782,-0.00721067809303463
"miR200a",-0.0370132455780757,-0.0644699182823951,-0.0667570828225883,-0.0417822328696426,-0.0376867144875849,0.0181926650900854,-0.00310734255231955,0.0116286661233292,-0.0126831758979898,-0.0250490742713541,0.0125517333624448,0.0894480740675986,0.0897168366845104,0.0401336733159477,0.0659607285942515
"miR141",-0.0370132455780757,-0.0644699182823951,-0.0667570828225883,-0.0417822328696426,-0.0376867144875849,0.0181926650900854,-0.00310734255231955,0.0116286661233292,-0.0126831758979898,-0.0250490742713541,0.0125517333624448,0.0894480740675986,0.0897168366845104,0.0401336733159477,0.0659607285942515
"miR101",-0.0272109568432069,0.133412685731261,0.0527335092582591,0.0465248628929763,-0.00693233538687524,0.097203163541002,0.0793927808036904,0.0623210431437998,0.101090863769743,0.03879032363634,-0.101159399659022,-0.0215496611848637,-0.0209585177798073,-0.0591589508089319,-0.14390274318537
"SNAI2",-0.0233348214347432,-0.0827572806925335,0.0084453843866246,-0.0523736840269155,0.00587331100353157,0.0182489112527431,0.00882068602340154,0.0164781979068558,0.00890748201611636,-0.00690618725500788,-0.008806670500159,-0.0109781468052617,-0.0106094776922061,-0.0344184350467495,-0.0135627625984072
"miR200b",-0.00213602634436108,0.163461971796996,0.150843910169014,0.135389373858503,0.021435694589258,0.0960229960655029,0.136736951731814,0.0178505524601767,0.0308557760389445,0.0146021819276876,-0.030985367271172,-0.124048775203899,-0.123851682618164,-0.0914473108774933,-0.156831455574749
"ZEB1",0.0202471829906356,-0.10597699541267,-0.0829548483916911,-0.0847013209869334,0.00831032130364501,-0.0332004227910128,-0.0225942142676364,-0.0152348747980608,-0.0142798478619187,-0.00304604603689816,-0.085890584183316,0.00984964248712136,0.0100863818818363,0.0879178199693509,0.0958895318700559
"FOXC2",0.0206034638098149,-0.106167241654902,-0.0834310556653163,-0.0835602731346125,0.00906827719959113,-0.0327252779410294,-0.0221428261559309,-0.014826839099278,-0.0139904447158608,-0.00314038620555291,0.0142798478619187,0.0100863818818363,0.0101583362738217,0.0866052573102933,0.095108605898046
"miR200c",0.0228337644391331,0.0912262180701801,0.094164615926307,0.0687307631718269,0.0503900272823227,0.02783604061818,0.00965259853494237,-0.00561770622642211,0.0100526330383469,0.0168563605044233,-0.00993137267104828,-0.10900774339177,-0.108748536779015,-0.0623808769696981,-0.0930509694282377
"TWIST1",0.089986550399041,0.108311877467874,0.0180681125773752,0.0233472812582405,0.0690971962472,0.0278744064700689,0.0591688348647616,-0.0114016854804953,0.0742520650910872,0.0801130564960331,-0.0743607035325015,0.0211203374517794,0.02099468244162,0.0670837640487235,-0.0804527705567166
"SNAI1",0.0918413411025515,0.101444042736296,-0.0757828586676191,0.0140972062837876,9.87189229976384e-05,0.0273996080701216,0.100978772371345,-0.00972860268577,0.0784831200288226,0.083156065565983,-0.0785369107273598,0.0221738317412337,0.0218982600787237,-0.0333575572127946,-0.113848744712889
"miR34a",0.105435172643491,0.111547223567997,0.0197553034635186,0.00791136435723218,0.0109718838000971,-0.00904953389527425,-0.0164803052611672,-0.125296806619485,-0.0718633894774567,-0.0406464312595188,0.0718784878765546,0.00720560275722359,0.00746346450692174,-0.0385447995862037,-0.0782732982468027
