"","SNAI2","ZEB2","TWIST1","FOXC2","miR200c","miR200a","ZEB1","TGFbeta","GSC","miR141","miR200b","miR101","miR34a","SNAI1","TWIST2"
"TWIST2",-0.131211024356906,-0.121200812939845,-0.0970964928354193,-0.0401165263598727,0.094821637983791,0.094821637983791,-0.066592776491866,-0.0790111868654221,-0.0785080941752626,0.06672954110721,0.105974884953738,0.0954375640535376,0.00982030132236814,-0.0350957305193203,0.1222963279642
"miR34a",-0.225587312245183,-0.103177004026604,-0.0679352277811773,-0.0991745942903082,0.00614659445261108,0.00614659445261108,-0.00865924540395626,-0.0565278055323103,-0.0574190970859729,0.00855166931038393,0.110702834215306,0.167151913844843,-0.0294174522226747,-0.0861284790757909,0.261071420027013
"ZEB2",-0.0938318244006583,-0.0821106398565392,-0.0133154001051323,-0.00806010849984765,-0.00746697023690979,-0.00746697023690979,-0.00573078068321649,0.000576507187842086,0.000815001124006901,0.00599604587375454,0.0143969432573827,0.0151713804150147,0.039113237841034,0.064226259573275,0.0654333170912442
"miR101",0.0949438304593704,-0.0167276960699276,0.0014903041120417,0.00848072005077186,0.00791042570187807,0.00791042570187807,-0.000430172880616899,-0.0044246601648202,-0.00342006824729878,0.000588726057306514,0.00512806513622785,-0.0888690124799915,-0.00594840190607528,-0.0189609182172425,-0.00285031955800063
"miR200c",0.166553590838456,-0.0156356340050256,0.0286465122889515,0.0250513821955933,0.00211792352814472,0.00211792352814472,0.00994577346159609,-0.0891107975328473,-0.0899959224178767,-0.0101151677151506,-0.0409942534025303,-0.0487355500088216,-0.0991625153053293,-0.0700121833157048,-0.138780827702793
"miR200b",0.0689466548310819,-0.00585193801778821,0.0145141739371142,-0.00883455560850155,0.00326889859108406,0.00326889859108406,-0.000757753705683972,-0.0895268518517351,-0.0891673071953332,0.00077534108720056,-0.0275128662223128,0.0218804743231394,-0.000517147054111002,-0.112632843171395,-0.0215117150378686
"miR200a",0.136332300562745,-0.00535806822613338,0.0232887208827426,0.02143620537979,0.00110668110345071,0.00110668110345071,0.00189315453548317,-0.0792875451597082,-0.0808822033533845,-0.00227822562553056,-0.0665822074722282,-0.0427216437035596,-0.0834265734724535,-0.0508037703858064,-0.114689493265132
"FOXC2",-0.100747345574035,-0.00493390876633647,-0.010024985066788,-0.088860081004923,0.0116416247677959,0.0116416247677959,-0.0145917997025959,-0.00911045687296535,-0.00684666100204046,0.0150563398078917,0.0114293969972592,0.0981819227884919,-0.0111118170402004,-0.0964765242852342,0.0933143064905058
"ZEB1",0.100506438859367,0.00547025503693812,0.0100219980305254,0.089268810857626,-0.0109986068084374,-0.0109986068084374,-0.0850021710131685,0.00836952655112774,0.00911045687296535,-0.0145917997025959,-0.0108785980158221,-0.0984272212349351,0.0116527366781946,0.097013874221152,-0.0931716945797703
"TWIST1",-0.262839320174907,0.0102680681214515,-0.0238854142987464,0.0618340458570563,0.0593428524148049,0.0593428524148049,-0.1399294662653,-0.0521728497623991,-0.0520899709259111,0.140004916829624,0.115787722226531,0.176070190203271,0.0489908521344245,-0.0214784367366906,0.206048377294482
"miR141",-0.0991679451067931,0.0161295037966804,-0.0198719653433232,0.00521937879269833,-0.00428014101577807,-0.00428014101577807,-0.00729486522042895,0.0993501042248743,0.0982810262598253,0.00706160100241948,0.00192491215261482,-0.0158665680178775,0.0162530888869868,0.131841256101293,0.04560304947553
"SNAI2",0.224823446387558,0.0470194577446629,0.173610130998566,0.049351816437214,-0.0655948379997116,-0.0655948379997116,0.0844329841076528,0.250535950998135,0.250707882533458,-0.0845934117360368,-0.279773496988874,-0.274287215408328,-0.0432805505581747,0.0228272373918487,-0.332998604909129
"SNAI1",0.10608140919432,0.0532636108519692,0.00658804213936366,0.0266274969530571,-0.0787326712230158,-0.0787326712230158,0.0948571066290072,0.0602824801470448,0.0598625803044577,-0.0949782902716886,-0.0860546599762741,-0.111263554186767,0.00868504100824926,-0.0830205552976075,-0.0331281086770371
"TGFbeta",-0.14441468022375,0.0734598189100289,-0.0384457605062437,-0.0221331843502949,-0.031511460832049,-0.031511460832049,-0.0123169668966405,-0.0787422262142924,0.0213997367462806,0.0122978271798455,0.091132837731707,0.0321655380938861,0.100530585576125,0.0817716181704135,0.16136775224961
"GSC",-0.0606099618641989,0.115301481584065,0.0736703171961031,-0.0766595264508793,-0.0261120906416722,-0.0261120906416722,-0.0662183644424284,0.0254061425321113,0.0255657790907761,0.0661254993326854,-0.00863911583623074,-0.0235928137391459,0.0487191639018441,0.0123007314487036,0.0591977679298095
