"","miR141","ZEB2","SNAI2","miR200c","miR200a","miR101","miR200b","TGFbeta","TWIST2","FOXC2","SNAI1","TWIST1","GSC","miR34a","ZEB1"
"TWIST2",-0.149372759232452,-0.117974197437675,-0.113654476516467,-0.0156620414239509,-0.0156620414239509,-0.0171464919162776,0.0186983668423698,-0.0117838356828488,0.0601594702867284,-0.0580690951358531,-0.0736010226520852,0.0329947947841314,0.0117425243595849,0.124460475502207,0.149444439722166
"ZEB2",-0.120094469035192,-0.0948516659282102,-0.0715149279941801,-0.0554284805001446,-0.0554284805001446,-0.0403365149940387,-0.0344387750600893,-0.0262062535805441,-0.0184218963202319,-0.0127495433142928,0.00864002208132858,0.0180768832931344,0.0261910305633421,0.116479753631491,0.120145730413476
"TWIST1",0.116245463598317,-0.0572768603558921,0.241449949197789,0.0889445864915134,0.0889445864915134,0.160232371954249,-0.011175531477929,0.0118436192462421,-0.159722242930782,-0.0991709034528225,-0.0104335058120802,-0.130445718294973,-0.0117714344531718,-0.0334339119235091,-0.116394549764936
"ZEB1",-0.335991647016705,-0.0411513992177553,-0.205117750398899,-0.262023976421626,-0.262023976421626,-0.15920319445468,-0.217332592259131,-0.126270288198629,-0.0794534087212058,0.0743713624425314,0.108036117684454,0.0347356094040392,0.126170473751127,0.288617547660604,0.23617811972502
"TGFbeta",-0.00657870981472193,-0.00470889253283313,0.134390201984441,-0.00183105714616719,-0.00183105714616719,0.055332773618963,-0.111085288604895,-0.104752483335216,-0.105809760892821,0.0842142002563813,0.0221420326988836,-0.0847453966295002,0.00476538905890484,-0.0546736422030357,0.00658529889755298
"miR200b",0.231056810717731,0.00902928246906956,0.180353998119066,0.112560465808628,0.112560465808628,0.0868840727858184,0.0282957219364867,0.141924782642435,-0.00569673964272757,0.0611487719757872,0.00781105411887155,-0.0658778846517268,-0.141801749088915,-0.20348163287404,-0.231186401949958
"miR200a",0.231056810717731,0.00902928246906956,0.180353998119066,0.112560465808628,0.112560465808628,0.0868840727858184,0.0282957219364867,0.141924782642435,-0.00569673964272757,0.0611487719757872,0.00781105411887155,-0.0658778846517268,-0.141801749088915,-0.20348163287404,-0.231186401949958
"miR200c",0.236197196510188,0.0147611469620406,-0.0491111465110615,0.112711386404521,0.112711386404521,0.0150652643027891,0.103458294787742,-0.0294635914345123,0.0816294808929434,-0.0842913097123668,-0.0788099717720393,0.0424866992572821,0.0295484009714045,-0.127872904403771,-0.236299018192652
"SNAI1",0.0993975783670256,0.0195397218659512,-0.0454306267883226,0.0309786427735211,0.0309786427735211,-0.0698251647285346,0.0396280308929099,0.0272331869850714,0.062872988927087,0.0116313396381305,-0.106426826293186,0.0135752245326153,-0.0272074140957719,-0.0975885086291495,-0.0994003606445362
"miR141",0.294193945305432,0.0201450447047147,0.205846307784875,0.139968819332259,0.139968819332259,0.101865047798095,0.077997164783782,0.159892518657439,0.000387680771345265,0.066564276321694,0.00345512239889822,-0.0731327813626001,-0.159685870067547,-0.2524394846587,-0.294542915980788
"miR101",0.125522464877996,0.0316556393845459,0.10181673139881,0.0500186511813645,0.0500186511813645,0.110748547176146,0.0176922291892156,0.0239529909679657,-0.0149113896411856,-0.0232848711244083,-0.0182406979679021,-0.0243049956169355,-0.0238984509514278,-0.0468186259961354,-0.12558281737751
"FOXC2",0.335471575680431,0.0411463644929622,0.204787379445673,0.261856710723827,0.261856710723827,0.158730372811536,0.217339973150005,0.126170473751127,0.0796646856259991,-0.0744160913698083,-0.108034941864025,-0.0344906724305043,-0.125832841604119,-0.288324331912008,-0.335991647016705
"SNAI2",0.0556619535804477,0.0486749233745047,0.22704387638389,0.0041157866809498,0.0041157866809498,0.265350184562013,-0.22813892474996,-0.202475730913783,-0.302011521679683,0.0312239812628357,-0.00222144410854214,-0.142947943582324,0.202517644571648,-0.0339730633111826,-0.0557212347708943
"GSC",0.159865887365336,0.0599093815285066,0.0915780358869963,0.0505391889025518,0.0505391889025518,3.56315210998137e-05,0.0232470002991735,0.0308885298699279,0.00255158054257405,-0.172067457290214,-0.00229419156769997,0.101829649656306,-0.0308083961033254,-0.106019960177619,-0.15992583203935
"miR34a",0.237167877191461,0.0847449004836658,-0.10209945766124,0.147339682285973,0.147339682285973,-0.0936915374280768,0.139422316395476,0.0940332068622992,0.0696532978238201,0.085829411479848,0.078947123968538,0.0351054136096513,-0.0939512978359245,-0.17848598804374,-0.237304234608313
