"","ZEB2","SNAI2","miR101","SNAI1","miR200c","FOXC2","TWIST1","TWIST2","GSC","miR200b","TGFbeta","miR141","miR200a","ZEB1","miR34a"
"ZEB2",-0.0866815443643589,-0.0223938043130507,-0.0205388700559946,-0.0175190910658872,-0.0137962542083371,-0.00630913460164388,-0.00589286225985343,-0.0050665454419021,-0.00105108823140497,-0.000585356143660594,0.00122361575969441,0.0130868236880516,0.0137962542083371,0.0142787751539777,0.0301503908352583
"miR34a",-0.0745315392330349,-0.0786082830842243,-0.0170373113231513,0.0303228587975034,0.143960457634761,-0.0977996225961936,-0.00847002696625091,0.0164848722083578,0.0270001982332897,-0.00698277876456117,-0.026936491212776,-0.124710919762949,-0.143960457634761,-0.124973726272246,-0.0849241527138608
"TWIST1",-0.0293061540362244,-0.0381941389050643,-0.0146619979485969,0.00897846126594795,0.0222061212503647,0.191336403617966,0.0829621516627766,0.0630767631746565,0.0106313856200146,-0.0286734757727803,-0.0104241885287944,-0.0163635007884852,-0.0222061212503647,-0.0154101271629948,0.0352574336647996
"SNAI1",-0.0235677252094028,-0.0272213659446482,0.0407306536505586,-0.0876712255012455,0.057198546136747,-0.0811733494896158,0.00538124420087522,0.0450671553683216,0.00962674418493352,0.00108272282137645,-0.00956369973264707,-0.0789889685248218,-0.057198546136747,-0.0788285238550473,-0.0920859122174957
"TGFbeta",-0.0206615885494946,-0.036082181848001,-0.0533590931270671,-0.0717442493256931,-0.0419065550449194,-0.0261692029578101,-0.0106733424046944,0.0112722529374981,-0.00713378815663087,-0.116171470431809,-0.092861372196986,0.101463035452861,0.0419065550449194,0.101088085263189,0.137643580047886
"FOXC2",-0.0166657808920366,-0.0932994360869671,-0.00291320529174294,0.0826160350128755,-0.00665904619006066,-0.101490962517835,-0.0830712950573652,-0.0159789987318059,0.00359697163137567,-0.0301838572515501,-0.00443274956905209,0.0199409094164533,0.00665904619006066,0.0164371023234065,0.0239458955514435
"ZEB1",-0.0155329678135986,-0.0927513328905068,-0.00423212882261855,0.0838447673608713,-0.00390003033743968,-0.100980435796157,-0.0817241417029235,-0.0168082605831198,0.00443274956905209,-0.0295131187934182,-0.0039695081588531,0.0164371023234065,0.00390003033743968,-0.0813803649561472,0.0220739405559574
"miR200a",-0.00906615814833004,0.0220939874310293,0.070163069766839,0.116516711286907,0.0083887417198813,-0.00975873523543943,-0.035242154242167,-0.0116649551829524,0.0925775926572702,-0.00982971573085077,-0.0929610273240642,-0.00727058428434858,-0.0083887417198813,-0.00852391663032014,-0.00159049911883663
"miR141",-0.00219831191665818,-0.0831555179393701,-0.0715508724934787,-0.06061962266816,-0.022929847939158,-0.0316600280378831,-0.0308793529205924,-0.0231964035076395,-0.0894816815700437,-0.0538058653084738,0.0891436379229947,0.0449254713422512,0.022929847939158,0.0431417405958057,0.130666077395221
"miR200c",0.00219831191665818,0.0831555179393701,0.0715508724934787,0.06061962266816,0.022929847939158,0.0316600280378831,0.0308793529205924,0.0231964035076395,0.0894816815700437,0.0538058653084738,-0.0891436379229947,-0.0449254713422512,-0.022929847939158,-0.0431417405958057,-0.130666077395221
"miR200b",0.00906615814833004,-0.0220939874310293,-0.070163069766839,-0.116516711286907,-0.0083887417198813,0.00975873523543943,0.035242154242167,0.0116649551829524,-0.0925775926572702,0.00982971573085077,0.0929610273240642,0.00727058428434858,0.0083887417198813,0.00852391663032014,0.00159049911883663
"TWIST2",0.0299980030132085,0.0422219070282222,0.0265152851708308,0.00806391960065952,-0.0270061171649618,0.0372722283596149,0.0422001371046978,-0.0676566231184044,-0.00616945871476826,0.00796100801892503,0.0060240202205377,0.0244134214116553,0.0270061171649618,0.0235528157774809,-0.00452084936457094
"SNAI2",0.0350342458057313,-0.0820036160460567,-0.0189816246609425,-0.0557901656308635,-0.00685618632854522,0.0179790142344399,-0.0437964829767927,-0.00892337582096728,-0.00772676132663245,0.0319781838334904,0.00736151373666778,-0.0214124292006679,0.00685618632854522,-0.0234296642857548,0.00286393237585734
"GSC",0.0369328789644222,-0.0260682164931903,0.0456267046092218,0.0117129534196901,0.0244996287363759,0.153234193527536,0.117990619505738,0.0448605802629889,-0.0035682194447186,0.0669825907320284,0.00376319057763338,-0.0946024359029947,-0.0244996287363759,-0.0942068993244598,-0.0659710605306434
"miR101",0.0945127666351793,0.0502649388671085,-0.0359303282961593,-0.02217123015647,-0.038159599663846,0.0993789141762928,0.00406428297053782,-0.0100838148889953,-0.0178661418209944,0.078580138868456,0.0180790238210296,-0.01637639040838,0.038159599663846,-0.0153817675774045,0.0254933002101282
