"","miR200b","miR200c","miR200a","miR141","miR34a","FOXC2","GSC","TGFbeta","miR101","TWIST1","SNAI2","TWIST2","SNAI1","ZEB1","ZEB2"
"miR200b",0.260802944927264,0.0294289734664291,0.0294289734664291,0.232925452001176,0.220527134844209,-0.0970042171588897,-0.201738686493018,-0.202009838110969,0.020520325640106,0.024536903675321,0.114410767870102,-0.156127876551108,0.0748199781112614,-0.233244801823451,-0.300986954547356
"miR141",0.260802944927264,0.0294289734664291,0.0294289734664291,0.232925452001176,0.220527134844209,-0.0970042171588897,-0.201738686493018,-0.202009838110969,0.020520325640106,0.024536903675321,0.114410767870102,-0.156127876551108,0.0748199781112614,-0.233244801823451,-0.300986954547356
"miR200a",0.212690164926881,0.0100707277504009,0.0100707277504009,0.26199207013652,0.145877301192919,0.0917243190395152,0.00328868954092188,0.00323732601857874,0.0655974699801806,-0.00429208850599542,0.0191382417943242,-0.0901060587296169,-0.111150236940616,-0.262107776593866,-0.293095247813556
"miR101",0.205110984429713,0.0289184981834431,0.0289184981834431,0.20954831374497,0.138052172202682,-0.0168126345026295,-0.0766240317563021,-0.0767313524340058,-0.0553960687260194,0.0097976969110377,-0.020698696154653,-0.0954972061287928,-0.00807418682982794,-0.209646173447572,-0.27584383425424
"GSC",0.165088409063796,0.0144974498111551,0.0144974498111551,0.15457995777038,0.068571295053025,0.132649942468647,-0.064730087473558,-0.0648114831892409,0.0680143791323128,0.0855024507592603,0.0123971233982711,-0.0379068496835525,-0.026195194506702,-0.154763722590718,-0.205680299421179
"TWIST1",-0.0147729672665546,0.118705618704123,0.118705618704123,-0.0858845314352433,-0.0183333222234793,0.0944208218342223,0.0751530704689874,0.0751490602027057,-0.0757470921776519,0.00175629092797103,-0.125573023855379,0.123155540359504,-0.00943397123054109,0.0859781316198509,-0.172686868907593
"SNAI2",0.0846765385712098,0.0522376430305262,0.0522376430305262,0.0359817169131156,0.0324294166954836,0.013238316500644,-0.00621894848656125,-0.00652260866088785,0.0282037980488105,0.0897345758391859,-0.0255637307020556,-0.0991300108123473,0.0176850255896819,-0.0360965951522298,-0.144255299454926
"FOXC2",0.304409205350037,-0.170562693989931,-0.170562693989931,0.251346045949386,0.245742323605272,0.0292150936914729,-0.226167486409237,-0.226256045660911,0.115193635428076,0.0228998042751486,0.179460502785366,-0.261811968875038,-0.0428677830415592,-0.251703795225878,-0.138616408010859
"SNAI1",0.0177948599390647,0.0392009763604893,0.0392009763604893,0.0357723305343327,0.0613301158495136,-0.0163479602067191,0.00979771982278513,0.00956259177117591,-0.0814509469444872,0.00512310731372297,-0.0632494391769824,-0.00892993600723759,-0.102075891012131,-0.035839723478477,-0.101505333707826
"miR34a",-0.0312923318064991,0.163049741579505,0.163049741579505,-0.197375426268568,-0.150561501337275,0.104414303792464,0.115861868157937,0.115654972024649,0.0848729766380664,0.0387922020019502,0.086570672686099,-0.135036092555913,-0.0783650984755138,0.19738910919275,-0.0104639754442468
"TGFbeta",-0.0616940105835847,-0.0254391437644435,-0.0254391437644435,0.0388924734038836,-0.0683102090693917,0.0844994099605794,0.167270882668751,0.0671450518627884,0.0271195850418368,-0.0186692702580038,-0.0322934425454101,0.0761036418832511,-0.0861471063045303,-0.0389567954029486,0.00850860736727267
"ZEB1",-0.304838219632061,0.170431312282664,0.170431312282664,-0.251703795225878,-0.245857968493395,-0.0297780612244412,0.226256045660911,0.226148553178987,-0.115446043974416,-0.0227056469180783,-0.179514935846175,0.261930812133984,0.042828980967412,0.151748408320072,0.138777223043955
"TWIST2",-0.0100762584430454,-0.1654228987255,-0.1654228987255,0.179737235547458,0.109012883627845,-0.0430511107815481,-0.101587032173118,-0.101520820874188,-0.0284505399688973,-0.0748529688426673,-0.0326584978494068,0.0173376931979216,0.013917756221383,-0.179724922334501,0.155847138761609
"ZEB2",-0.301319548474223,-0.227211479683881,-0.227211479683881,-0.0951903356972611,-0.062447522219134,-0.0410177359872752,-0.0382672861868827,-0.0380313294202515,-0.0199461694759884,0.000485066526082461,0.00643662438537569,0.0276255882592382,0.0459307625464302,0.0953560642309369,0.236169176216898
"miR200c",-0.260802944927264,-0.0294289734664291,-0.0294289734664291,-0.232925452001176,-0.220527134844209,0.0970042171588897,0.201738686493018,0.202009838110969,-0.020520325640106,-0.024536903675321,-0.114410767870102,0.156127876551108,-0.0748199781112614,0.233244801823451,0.300986954547356
