"","miR200c","miR200b","miR141","SNAI2","TWIST2","TWIST1","FOXC2","miR101","SNAI1","GSC","TGFbeta","ZEB1","miR34a","ZEB2","miR200a"
"miR141",0.287794931940451,0.283290625153983,0.276277259743618,-0.19248816445232,0.185330624087849,-0.0880110136273528,-0.0481452448223775,0.11494723325309,0.0358666326037659,0.0449399098049231,0.0448694342742662,-0.275908850383428,-0.170073034793342,-0.300187092648275,-0.287794931940451
"miR200c",0.232301943293397,0.154484697933722,0.2194889341621,0.142296656126364,0.029827180801269,-0.04396136791952,-0.0475099336196064,-0.155083378486524,-0.168750454166301,-0.118295566169099,-0.118270481658188,-0.219250116034138,-0.234914015344886,-0.247593380792765,-0.232301943293397
"miR200b",0.232301943293397,0.154484697933722,0.2194889341621,0.142296656126364,0.029827180801269,-0.04396136791952,-0.0475099336196064,-0.155083378486524,-0.168750454166301,-0.118295566169099,-0.118270481658188,-0.219250116034138,-0.234914015344886,-0.247593380792765,-0.232301943293397
"miR200a",0.232301943293397,0.154484697933722,0.2194889341621,0.142296656126364,0.029827180801269,-0.04396136791952,-0.0475099336196064,-0.155083378486524,-0.168750454166301,-0.118295566169099,-0.118270481658188,-0.219250116034138,-0.234914015344886,-0.247593380792765,-0.232301943293397
"GSC",0.0134435557785698,0.0251120310535993,-0.146906150246208,-0.058154307058735,-0.03032219447964,-0.0384194401678867,-0.0772974924389065,0.114941493429676,0.0815744273156847,-0.0296938058545035,-0.0298988725800611,0.146813776486252,0.116872761330828,-0.19429189340172,-0.0134435557785698
"miR34a",0.211338110328167,0.0915691609480526,0.195362455265269,0.0591920623874054,-0.154429189764781,0.132672289487219,0.175635213023084,0.0336493126920744,0.119828435316725,0.000912819628555276,0.000728979369358713,-0.1952765831204,-0.0553184813923036,-0.138326874725929,-0.211338110328167
"TGFbeta",0.101128332206136,0.206397156989975,0.0759945206532532,-0.201530565250462,0.154480512264258,-0.0399621490171536,-0.00188322643069709,0.151818118275397,0.0999422825968541,-0.0272181468194889,-0.127376241934673,-0.0758366964311572,0.0519448449071214,-0.119399733081286,-0.101128332206136
"SNAI1",0.171242363489263,0.147392216747342,0.222753490273484,-0.0822041262705321,0.0420216788514138,0.0163322388801194,0.134401338120771,0.113753507730788,-0.0631520835549688,-0.0225163084499562,-0.0224318526742517,-0.222551311441051,-0.0578269769701484,-0.0951140112456102,-0.171242363489263
"FOXC2",0.272828583450068,0.271131402411093,0.259588095251341,-0.103222569024469,0.235444828098878,-0.152014145809879,-0.155739571853672,-0.0214546730711097,-0.148709050710337,-0.0129783706752078,-0.0129562308622892,-0.259087246264252,-0.275126051022826,-0.0902993319860407,-0.272828583450068
"SNAI2",-0.0609453362493832,-0.241984547296726,-0.157098793135948,0.0884791371469318,-0.241029778745403,0.174766271123664,0.0830972882924381,-0.162732114409524,0.0661434151726755,0.194259192919557,0.194232676115602,0.156847936572985,0.117523814308663,-0.0346131769941539,0.0609453362493832
"TWIST1",0.0876787648730186,0.0346577470093302,0.235898432289263,0.0893842332118265,-0.0504474907985974,0.0979506082369198,0.215789100657179,-0.0158003754218628,0.0209897442570431,0.0219892815928232,0.0218101563655748,-0.23582298172494,-0.12088064463437,0.082623818459133,-0.0876787648730186
"ZEB1",-0.272494630828511,-0.270802952767221,-0.259087246264252,0.103179992669975,-0.235133194664308,0.151834923634121,0.155738029476869,0.0215790998193055,0.148731391298482,0.0129562308622892,0.0129703072587317,0.158850145213087,0.274753749092675,0.0902321036020393,0.272494630828511
"miR101",0.0892962712642052,0.0940843500302476,0.265247124865055,-0.10528034546176,0.0907267202565991,-0.0135954062808335,0.105179330526628,0.115857266786868,0.0218585270434403,0.00603528253954701,0.0058065663411621,-0.265087207790071,-0.144110331543991,0.0927193993796946,-0.0892962712642052
"TWIST2",-0.0761620928004888,-0.0957293076645503,-0.0106307524704679,0.106058316104099,-0.0894265637156904,-0.192907899986622,-0.157252574480376,-0.118518954376965,-0.127330559785417,0.031614676635359,0.0317997287272399,0.0105507165862473,-0.0318941578741346,0.134139612817005,0.0761620928004888
"ZEB2",-0.302273769306325,-0.281715322106203,-0.0819093752675588,-0.0569075829745002,-0.00959388000793069,0.0142993629325844,0.0153914214133323,0.0614594538093102,0.0664654905392571,0.0814507759950777,0.0814888335380828,0.0816849201063343,0.0871210147029045,0.220391448183378,0.302273769306325
