"","ZEB2","FOXC2","SNAI1","TWIST2","TGFbeta","ZEB1","miR200b","TWIST1","miR101","miR34a","miR141","GSC","miR200c","miR200a","SNAI2"
"TWIST2",-0.141601965230896,-0.0158102904503174,0.11631991955425,0.0540981485258762,0.0589743139591778,0.0771275463556083,-0.0149107968912363,-0.214394316049055,-0.051274403920419,0.0168251689464989,-0.0771565703575784,-0.0587813391477668,-0.109353606107362,-0.109353606107362,-0.0310465577940792
"GSC",-0.111630661075969,-0.161148381303783,0.0532916894025943,-0.0777753929973369,-0.0437076074403496,-0.0937716449759471,-0.118104715337989,-0.14413485858759,-0.113292057668104,0.0830795217200484,0.0938964478218451,0.0432880093711317,-0.00870448564126029,-0.00870448564126029,0.0725623987312219
"SNAI1",-0.0894497584492873,0.0349186657031471,-0.098117709914785,-0.0451889954189848,0.049201336098586,0.094350639397375,-0.0219089449335713,0.017229112169464,-0.0863735971565012,0.0047371775454051,-0.0944183414834649,-0.0489170413043131,-0.0922031007881332,-0.0922031007881332,0.0682643291606531
"ZEB2",-0.0855648033149932,-0.0245959901791086,-0.0213798256708925,-0.0111349147581919,-0.00837238074660404,-0.00825399090900212,-0.00385327156151225,0.00173148758680502,0.00421886737406872,0.00828135803841235,0.00829928008787447,0.00842058696774374,0.0110130255585277,0.0110130255585277,0.0121031832616386
"FOXC2",-0.0315151973349812,0.118098393181585,0.109745643697372,0.0155847579600295,0.0214555711409634,0.0262286382847304,0.0040201909920329,-0.0711022343834752,-0.0821684550386502,0.00294709294022015,-0.0264945474484515,-0.0201327173190782,-0.0267613232093953,-0.0267613232093953,0.0592617399449186
"ZEB1",-0.0314373071808298,0.118945158046241,0.109392897568761,0.0171666937846697,0.0209705752998987,-0.0736084487308541,0.00430251006794536,-0.0713173009943838,-0.0816719330625164,0.00358052848871266,-0.0262286382847304,-0.0214555711409634,-0.0267086547716801,-0.0267086547716801,0.0602463855102409
"miR200a",-0.00837547809614251,-0.0501248163064359,-0.014051621289447,0.00546300223710059,-0.110116695224052,-0.00891683766595952,-0.00630605854149805,-0.0441228675795601,-0.0291002642872677,-0.0730788972609567,0.00870949169439554,0.110645858954238,4.54262990919344e-05,4.54262990919344e-05,0.0718174044728385
"TGFbeta",-0.00260139592258448,0.0862009221520973,0.0293725188370005,0.0617688689507457,0.137476009195755,0.0918844873837511,0.108902626186787,0.0251209782073068,0.00771035755637116,0.0159258416292982,-0.0919136676077171,-0.237679274343848,-0.0465937328807101,-0.0465937328807101,-0.0473372422661651
"miR200b",0.00837547809614251,0.0501248163064359,0.014051621289447,-0.00546300223710059,0.110116695224052,0.00891683766595952,0.00630605854149805,0.0441228675795601,0.0291002642872677,0.0730788972609567,-0.00870949169439554,-0.110645858954238,-4.54262990919344e-05,-4.54262990919344e-05,-0.0718174044728385
"miR200c",0.0103718845281939,-0.0955247138807525,-0.0774998606493747,-0.026279631026484,-0.131327426210986,-0.0213201588978279,-0.0685935560130778,0.00981271227612234,0.0216342273726328,0.0169691133190379,0.0213312667177332,0.130841264499505,0.0164586581956728,0.0164586581956728,0.0344041516235241
"miR141",0.0180864861028273,-0.105491748208762,-0.084606086587192,-0.030914788405907,-0.141971457411886,-0.0308056551488452,-0.0390751680928229,0.0104815622601954,0.0231466765329753,0.0230309053344568,0.0308287964403144,0.141358678645327,0.0247685399919324,0.0247685399919324,0.0391003193820322
"miR101",0.0208080925564294,-0.00411084045538994,-0.0259879930219049,-0.038564548267588,-0.0224376408897675,-0.0151568830486487,-0.0166099158517321,0.032426271078186,-0.071389134406571,0.00341035177686887,0.0152438315648979,0.0218007542450342,0.0176126017991782,0.0176126017991782,0.0659136084790437
"SNAI2",0.0392684509762389,-0.0161887421041221,-0.0653273702001996,-0.0642455142860906,-0.00682609745959961,0.00226801126484379,0.00624284217743634,0.108101796777981,0.0072341579482487,-0.0275680091627246,-0.00234470839824657,0.00679102684791682,0.0185416852515717,0.0185416852515717,-0.0416425111647146
"TWIST1",0.0769025085978616,0.107866933039514,0.0391454247716691,0.120540304935989,0.0327496979212472,0.0675069123207691,0.0762921598167373,-0.0294218466161092,0.0433682148822268,-0.0392402544584595,-0.0676031053082744,-0.0323032216085534,0.00950205862585314,0.00950205862585314,-0.0916416343731574
"miR34a",0.0871477422086033,-0.0408228933658787,-0.0754626827328083,0.0114346078308225,0.0368932710759574,0.00863946248059285,0.0792410396532188,0.049759404729615,0.0786862445183402,-0.0375055246249312,-0.00869325052737901,-0.0365225568899208,-0.0103927139580755,-0.0103927139580755,-0.0860962153940921
