"","SNAI1","miR141","miR200b","ZEB2","miR34a","TWIST2","FOXC2","miR200c","GSC","TGFbeta","miR200a","TWIST1","ZEB1","miR101","SNAI2"
"TWIST2",-0.231361809463039,-0.150963957570846,0.00853974646914661,-0.125187195664052,0.0161974112113294,0.0651648548526524,-0.141945540302616,0.139380717392851,-0.0161505844419324,-0.0160481549965794,0.0133619517232791,0.0614836493381146,0.151003975512956,0.0826194552985772,-0.0516546446639465
"miR101",-0.232486090403383,0.135581211188573,0.110377722859993,-0.110510560530671,0.165822505120025,-0.0941837955908175,-0.124028261892783,-0.0149987618306763,-0.0818598366451844,-0.0822205044964836,-0.124200335908632,0.24202537848983,-0.135627924705146,0.18836164618549,0.0439406958244629
"ZEB2",-0.11845330788125,-0.114957542713634,-0.0857509849608485,-0.0836808341458563,-0.0717938280175589,-0.0524935388267722,0.0158420287923808,0.0421106586715153,0.0456856663584291,0.04569327786703,0.059271134411932,0.114804760783307,0.114953063564075,0.144398228699626,0.17060263803652
"GSC",-0.108019940535133,0.135743356036599,0.124998835714434,-0.080355357740199,0.127269389259569,-0.0183120995978792,0.112380253970522,-0.0288095215011502,-0.0800720629430902,-0.0803932289840404,-0.111821275651543,0.205285299908515,-0.135786594817855,0.0614006649101047,-0.0792499287013835
"TGFbeta",-0.235126365408435,0.00748100785606805,-0.113156563481162,-0.0752123363949937,0.168483412021932,-0.246178099881534,0.0236407542439509,0.0351295870368588,0.184130856871234,0.0841147247166233,-0.0432402604375553,0.268420610497077,-0.00749136212908826,0.234632386471521,0.234027644166306
"FOXC2",-0.0495025506942231,0.276619581828404,0.28241765834307,-0.0488908931792687,0.25659421254667,-0.0741714266589104,-0.0972911637120316,-0.224525125633674,-0.147147660948282,-0.147911484493973,-0.263432420881153,0.0384373070684006,-0.276721033115767,-0.070749363304608,-0.190507988802958
"miR200b",0.190464945212877,0.265086689753488,0.196647800524643,-0.0123779273112761,0.122776472948605,0.0974142524032825,-0.0302499607244188,-0.128809104092284,-0.203610893095849,-0.20403494078031,-0.140090534832806,-0.195261986819799,-0.265090392360123,-0.236487153706482,-0.28218576892282
"miR34a",-0.0938471586334265,0.144752710580382,0.123698278103362,-0.0118028302786792,0.126373218321633,-0.027683192573526,-0.0625745231153896,-0.12113469142758,-0.0767975879989461,-0.0769935629287167,-0.131410366730073,0.0678469818989396,-0.144751295105466,-0.0174855723075787,-0.132644793079264
"miR200c",0.149178824126502,0.204007105989375,0.120212529439447,-0.0043145633866738,0.08969276553454,0.078482870726382,-0.0238965196936888,-0.100357758446994,-0.168778155680339,-0.1688366862058,-0.104332496781906,-0.148236360534275,-0.203969154271365,-0.186826574256357,-0.224465396031464
"miR200a",-0.149178824126502,-0.204007105989375,-0.120212529439447,0.0043145633866738,-0.08969276553454,-0.078482870726382,0.0238965196936888,0.100357758446994,0.168778155680339,0.1688366862058,0.104332496781906,0.148236360534275,0.203969154271365,0.186826574256357,0.224465396031464
"miR141",0.214061106819422,-0.20764983770592,-0.0426406106898334,0.0265737816467602,-0.231411441076605,0.175582019362739,0.00745726686904016,0.0913960231971515,-0.0534754282984513,-0.0532401116960885,0.117176563823875,-0.22118980962473,0.207734072006868,-0.175678018800726,-0.137218998427539
"SNAI2",-0.0142641058045455,0.0513205715447629,-0.238547605479095,0.0419827703814846,0.035696680464442,-0.356411723479344,0.0662603930949656,-0.0470097568620976,0.217801484487444,0.217742463214124,-0.00486124387151199,0.198259224700939,-0.0513517192888959,0.294503458346419,0.270664176455183
"ZEB1",0.0492250570730489,-0.276721033115767,-0.282657537296459,0.048910735918159,-0.256533778766426,0.0735191092153609,0.0976073509565754,0.224552328013593,0.147911484493973,0.148058646820417,0.263515185568992,-0.0377861331631494,0.17673005598875,0.0714046775117726,0.190826503049869
"SNAI1",0.161963469774347,0.133702338643792,0.0591522487075216,0.084154700979879,-0.10325065407263,0.117255395186286,0.0983660045616238,-0.113200541614454,-0.0174073640525094,-0.0174712015167743,-0.0270988340636509,-0.281267133310678,-0.133697083230717,-0.245631161416655,-0.12815154574207
"TWIST1",0.224070014398243,-0.091647273688953,0.00118841975845353,0.096748863371307,-0.123636645365974,0.217080155381712,0.195598986115288,-0.00459503632940579,0.0352949691384319,0.0355289013381966,0.0922273472015242,-0.24987323984887,0.0917061303147312,-0.217683944889843,-0.209979364325433
