"","ZEB2","miR101","TWIST2","TWIST1","FOXC2","miR200c","miR200b","ZEB1","miR141","TGFbeta","GSC","miR200a","miR34a","SNAI1","SNAI2"
"miR101",-0.101599621567136,-0.0812652666581459,-0.03320505900565,0.0255594868853574,0.0431248992839181,0.0554307240779753,-0.0784879204044784,-0.00849919263977788,-0.00854931590208621,0.0482313802518639,-0.0483087918882403,-0.0459256089419781,0.00824036431300143,0.0110542793958859,0.0498540983260942
"ZEB2",-0.0821989578547693,-0.06074992686373,-0.0548602919109563,-0.0410394477670845,-0.0386116600828891,-0.00831540705335407,-0.00679379485345283,-0.0064436115222443,-0.00642022040788166,-0.004942417702367,0.00459482547625445,0.012844651162866,0.0372403864009786,0.0454828740358051,0.0761080090166391
"TWIST2",-0.0792240043951291,0.0910478080884365,0.115184633869308,-0.0346527198126151,-0.0751952006341601,0.0288790047084561,0.00720352715434207,0.018323630242844,0.0183746421250945,0.0199100225432443,-0.019927565707918,-0.0491467585261546,-0.054377753868745,-0.104055864769201,-0.0838823696094805
"SNAI1",-0.0517287089608,-0.089924682183135,-0.056233701762606,0.0134050314714737,0.0363530732442976,0.00946399799772287,-0.0291659181045987,0.0533876461644519,0.0534507111213575,0.0319590949018967,-0.0320070721265926,-0.0521256624212447,0.0283408239737638,-0.0909741602607702,0.0689891047322961
"miR141",-0.0249367358747948,0.0750729565590929,0.0581432904854459,0.0497062138055493,0.0898678788172037,0.00580651177085501,-0.00154385556680194,0.0127836207558168,0.012687352983305,0.101995581425034,-0.102214175020122,-0.0186103034343821,0.00250994887570387,-0.0186892511884712,-0.131834108903943
"TGFbeta",-0.0180021396572684,0.0541708044584173,0.118701471907491,0.00167907926734397,0.0623012059214662,0.00265565942725166,0.097194115874114,0.00892974191180383,0.00893444839954029,-0.0938603697307179,-0.00616705493212008,-0.0129669622416377,-0.0578775125105599,-0.011907333908026,-0.097355279270519
"FOXC2",-0.0137795833547431,-0.00752461414811609,-0.0147942742148227,0.00168821416370109,0.0905715297129284,0.00448815554305687,-0.00374573925938992,-0.00196106532297167,-0.0021714432557148,0.0048999952609119,-0.00499962441904551,-0.00424188054953591,0.00258564265449287,0.0812642437574649,-0.0695441530741363
"miR200c",-0.0112419649023804,0.0803042881114888,0.0919164702337901,0.0478104870123339,0.0580576951149712,0.00218086231569381,0.033432832793175,0.00508914093793704,0.00517522654220244,0.0957868437854058,-0.0959194333430823,-0.00816284242290743,-0.0965239503804542,-0.0702282751143899,-0.0902704687699935
"miR34a",-0.00448695671542709,-0.0475126449245627,-0.0700229779092493,-0.0134559098893427,0.104676703758882,0.0831205421191448,-0.0192947275683154,-0.0688189338790885,-0.0688845175501699,-0.00697058989273066,0.00698939863212041,0.079332514745923,0.0851460753283798,0.110825029534661,-0.0339752815891345
"miR200a",0.00197193540974214,-0.0559991874044653,-0.0378717397615926,-0.0327475657022505,-0.0746350544646707,0.00128572939610813,-0.0318170127352555,-0.00444141805230861,-0.00420537687932283,-0.0840449085164772,0.0840461030169968,0.00298680965173649,-0.017582324645186,0.00532699158342236,0.107710849327152
"miR200b",0.0112419649023804,-0.0803042881114888,-0.0919164702337901,-0.0478104870123339,-0.0580576951149712,-0.00218086231569381,-0.033432832793175,-0.00508914093793704,-0.00517522654220244,-0.0957868437854058,0.0959194333430823,0.00816284242290743,0.0965239503804542,0.0702282751143899,0.0902704687699935
"ZEB1",0.0138450347770528,0.00772962202847681,0.0149606547773474,-0.00147314755279244,-0.0908075133637342,-0.0043567738357892,0.00368945996647927,-0.0980218914725049,0.00196106532297167,-0.00488591886446939,0.0048999952609119,0.00433853581435397,-0.00248939626373253,-0.0812983425498973,0.0696427793130274
"TWIST1",0.0203244193473294,-0.0203785154333305,0.0632809050145317,-0.089589538386293,0.0942927781229971,-0.0404330896243449,0.0320058720789798,0.0522770371637603,0.0522591468237661,-0.0180252396640714,0.0181749562719208,-0.00283317831115449,0.0128810107785877,0.00138870319763457,-0.0274129077510687
"SNAI2",0.0266097877686823,-0.0281767825022487,-0.0725230830722945,0.0832731428412536,0.0361056474733841,-0.0231934359170637,0.00766900602444778,0.0202927274863176,0.0202890433445384,-0.00716312865430702,0.0071879346967168,0.00303777425747083,-0.0112264549431516,0.00194554404312295,-0.0407714079383952
"GSC",0.0654942227033217,0.0869606454757954,0.00286837417327339,-0.0223019872842214,-0.154855861696847,0.00396953902374961,-0.00295810928570772,-0.0815774497396285,-0.0816880034417035,-0.0311763231441822,0.0311895736095259,0.0745171124999232,-0.00777024420033263,-0.0716808620960599,0.000517475994887221
