"","ZEB2","FOXC2","TWIST1","SNAI2","miR34a","miR200a","SNAI1","miR200c","miR141","miR101","TWIST2","TGFbeta","GSC","ZEB1","miR200b"
"miR101",-0.126840696657732,0.0280043287240006,-0.0135689975466024,0.0616446834388312,-0.0282914301223709,0.0140858091193129,-0.00948259642007638,0.109165056916197,-0.0955733135285411,0.0865249252618199,-0.0165972081762365,0.0119182279851351,-0.0118601692578527,0.0954774996733802,-0.123708567934567
"TWIST2",-0.125247827689258,0.0936460387987735,0.0217974245636286,-0.0541202202676261,0.0878818969972839,0.0977131876099958,-0.123559433973244,0.0286100626913869,0.0688289300027259,0.0423502364425403,0.113274454636412,0.0186853294030488,-0.0186134590187403,-0.0688821406730045,-0.00869929496765006
"miR34a",-0.113104579792129,0.118022980820243,0.0256053655674131,-0.0773751055444063,0.0242677545303084,-0.0342071030794597,-0.112347091809635,0.125492434972834,-0.0663915958068477,0.0202544316696033,0.196627288266613,0.0270975940092858,-0.0270860660722405,0.0663647017834546,-0.0265958845801852
"TWIST1",-0.0975294465212463,0.127292238891965,-0.102028711900104,0.0688242747248264,0.0553330054791007,0.0770119664853674,-0.0326398404414996,0.0212121141826054,0.0629453889859996,0.0681932544396237,-0.04446532529924,0.00107194891905412,-0.00105858136478185,-0.0629622422048348,-0.0437725646347902
"ZEB2",-0.0883360521943029,-0.0177023560832531,-0.0147861802785189,-0.0118020253056734,-0.00967012396486265,-0.00945435048160237,-0.00728135189971785,-0.00605853387164988,-0.00553166314396384,-0.00273352245089245,-0.00169613257300516,-0.00093818295658556,0.00100922370352827,0.00542864270411136,0.0118468694373261
"miR200c",-0.0166220861014704,0.0512396439941356,0.0450892144376753,0.0865250051890644,-0.0913629999695672,0.0100176620351601,0.0721876316180919,0.00597834788695502,0.0040637473340777,0.00674027794889359,-0.0871388954756564,0.0908136947847648,-0.0907742762676177,-0.00417945379142367,-0.0747270197390268
"ZEB1",-0.0152935047695315,-0.0969890351779073,-0.00195963052093757,0.0851319066767935,-0.013626127739169,0.00116772040694817,0.0924589139195154,0.00637980837312122,-0.00442849997632168,-0.00450659349944575,-0.0994426785442657,0.000594108592518362,-0.000605625644153143,-0.0955218742222717,-0.0163797922812139
"SNAI2",-0.0121689700271392,-0.0424487092561558,-0.084525504335474,-0.0426051746395221,-0.0158769565205302,-0.00558759684122218,0.00823026838628757,0.0169333258627654,-0.0224925516300885,0.0224689757679474,-0.0834468596546579,-0.00149320654332993,0.00156249238592276,0.0224446577869592,-0.0238117019167074
"miR141",-0.00357619162882184,-0.0883393644786223,-0.0469110770108694,-0.0317124735375552,-0.022136730866893,-0.00120613025035371,-0.0104603686454197,0.00636037059658369,-0.00725641968737931,-0.0105040360593468,-0.0114770913719607,-0.0887691793071992,0.0886963147755031,0.00732676921344566,0.0225496780886151
"GSC",-0.00097749944375131,-0.16544909404571,0.016278902574073,-0.0621553709551933,-0.0243955818441321,0.036996693429817,0.105547225162349,-0.0218499957870561,0.0638004813305571,-0.132172861346556,0.018265909909451,0.00861237976983049,-0.00859408150816535,-0.0637994986309831,0.0331078026489212
"miR200b",0.00295659286128913,0.0441995996997885,0.0390781941712481,0.0821451489031621,-0.0978987791139391,-0.00354207561247597,0.0705377667613449,0.000636252037359467,-0.00416290848443642,0.00587152843319922,-0.0878423202792244,0.0850766840455776,-0.0851017685564893,0.00414809805789614,-0.034771187585834
"FOXC2",0.0156515625504025,0.0965247797603088,0.00239872485154274,-0.0856412061071326,0.0135164516194653,-0.000839555525799418,-0.0926094189343895,-0.00610836334797349,0.00448082748243545,0.00476137207908479,0.0990597391543277,-0.000605625644153143,0.00064437031676066,-0.00442849997632168,0.0159738432831698
"miR200a",0.0231548705915814,0.0812993201842752,0.0409000567444422,0.0273326172516529,0.0156009517225211,-0.0123536073972824,0.00881050378867275,-0.0117024664461792,-0.000970236131134813,0.00963528654365243,0.0107736665683927,0.083032168568012,-0.0830238070643747,0.00100078263587415,0.0174061540645776
"TGFbeta",0.0609994768268757,0.0624865016348439,0.00769279494967929,0.0552967341621435,-0.0550346239546933,-0.0314520685391459,0.0145971870192115,-0.0347610861104534,0.00284989232966917,0.0179910589501388,-0.0944280890415569,-0.101362219602295,0.00130253063023623,-0.00278996305249155,-0.0604085222310275
"SNAI1",0.0858789577513374,-0.0393021507089657,0.011742033702594,-0.0477139477119648,-0.016204787900407,0.00235899351834455,-0.0726392683825386,-0.0935045958647497,0.0963131624559504,-0.0910467599576337,-0.0140746929308281,-0.00566253448389288,0.00570020255286906,-0.0963406760891102,0.0779429316185976
