"","ZEB2","ZEB1","FOXC2","miR200a","SNAI1","miR101","TGFbeta","GSC","SNAI2","TWIST2","TWIST1","miR200c","miR200b","miR34a","miR141"
"SNAI1",-0.0965242581036542,0.0918638059661324,0.0303425053619477,-0.00346781146941064,-0.0660438870681176,-0.00891331528930915,-0.00154542053202817,-0.00166635485874117,-0.116466717886328,0.0879306551046151,0.0474947352483026,0.00346781146941064,-0.0259748245924823,0.021087708927752,-0.0932775120834332
"TWIST1",-0.0945649352522097,-0.179622493348314,-0.0854492748767118,-0.143261660872476,0.0297876281064316,0.0469664098877553,-0.00404597482984925,-0.00399250461276017,-0.158955038553985,0.203771341510936,0.153206156424029,0.143261660872476,0.0811197937606378,0.140832955787988,0.179803730270864
"ZEB2",-0.0895485938746195,-0.0457345005613983,-0.0154039447293993,-0.0146758123915041,-0.00415704225699494,-0.0036181421304992,-0.000475743167267707,-0.00047066882820037,0.0125648265096432,0.013701065735667,0.0144847969680476,0.0146758123915041,0.0211150995932917,0.0370106816177584,0.0453030091539003
"SNAI2",-0.0241860422206008,-0.00950631428006119,0.0758263709336457,-0.0161123617492387,0.0734825340406971,-0.0544706989715878,0.00545021359417599,0.00527143901267103,-0.0573580096499356,-0.05199366754604,-0.0353178327217733,0.0161123617492387,-0.0121881488544784,0.0277212027181292,0.00781931226718009
"miR200c",-0.00971204679189827,-0.25880997464729,-0.0471112298280352,-0.135888592837718,0.00124480400810051,-0.0189910922648859,-0.0880811525853082,-0.0879915650463376,0.0361922284666386,0.0637517814631795,0.0752675534302188,0.135888592837718,0.0668249614381894,0.164167209552863,0.258984922810797
"miR200b",-0.00971204679189827,-0.25880997464729,-0.0471112298280352,-0.135888592837718,0.00124480400810051,-0.0189910922648859,-0.0880811525853082,-0.0879915650463376,0.0361922284666386,0.0637517814631795,0.0752675534302188,0.135888592837718,0.0668249614381894,0.164167209552863,0.258984922810797
"miR200a",-0.00971204679189827,-0.25880997464729,-0.0471112298280352,-0.135888592837718,0.00124480400810051,-0.0189910922648859,-0.0880811525853082,-0.0879915650463376,0.0361922284666386,0.0637517814631795,0.0752675534302188,0.135888592837718,0.0668249614381894,0.164167209552863,0.258984922810797
"FOXC2",-0.000702500146997925,0.351570020595777,-0.0779548315883558,0.286382211116544,-0.102871049088015,-0.0290164231946988,0.00714122491998451,0.00696964136986551,0.160632621061894,-0.289939901215848,-0.145704341608753,-0.286382211116544,-0.29513911495446,-0.328992423966745,-0.351244308567926
"ZEB1",-0.000686211331490973,0.252401127451657,-0.0760931827875538,0.286535586237363,-0.104104484717726,-0.0302097349607292,0.00719753050575455,0.00714122491998451,0.160832568245656,-0.291484863582149,-0.144850049237643,-0.286535586237363,-0.295444499314352,-0.328705176986569,-0.351570020595777
"miR34a",0.00192095148938073,-0.103900756998409,0.0179573357694847,-0.100458724961088,0.0226344750430836,0.0602219546167968,-0.0269705366976126,-0.0268825603359508,-0.158567350699161,0.269676868613813,0.111675776018499,0.100458724961088,0.122900875594471,0.0744647458365288,0.104780710570832
"miR141",0.0103101432695136,-0.285826481758694,0.0678079622393368,-0.14070459261531,0.0694668332932621,0.0432104099884888,0.0817990770500086,0.0818576075754694,-0.155035103873878,0.195980281131116,0.0453368574250803,0.14070459261531,0.18313738010673,0.256371394124079,0.285369209839262
"TGFbeta",0.0195874521233476,-0.00178644796374204,0.0543588811691718,0.00703878038559895,-0.00286396629111848,0.0447826760107346,-0.101651734105787,-0.00160495085741645,-0.0922675580480458,0.112998836878162,-0.0258063677926811,-0.00703878038559895,0.105614923568985,0.0530468933988272,0.00250026527043874
"TWIST2",0.0724439318061331,0.0821873073579896,-0.0728829814992883,0.0786171292667533,-0.0674608560381171,0.0699389262629018,-0.0165879345792641,-0.0167062094636772,-0.058729180072538,0.0460699857574804,0.0346735208879943,-0.0786171292667533,0.014505073232845,-0.0704737720661188,-0.0834929476890391
"miR101",0.0995837168242014,0.140502984557709,-0.0682673714489802,0.122745172447381,-0.0674276200706424,0.0113833242032224,-0.00436803154281348,-0.00449470512961128,0.150024525545128,-0.136011051761492,-0.0937575035590299,-0.122745172447381,-0.0491181241399352,-0.112628372890663,-0.141549435523861
"GSC",0.131836349903456,-0.113604878973972,0.120351282899107,0.00627143547484767,-0.119802122367555,0.0605093471276347,-0.0103143559066563,-0.0103566312008482,0.0988488778633601,-0.0469466014466322,-0.230942263518374,-0.00627143547484767,0.0942169909466309,0.00509943231414022,0.113102719491658
