"","TWIST1","ZEB2","SNAI2","miR101","ZEB1","miR200a","miR200c","TWIST2","TGFbeta","GSC","miR200b","miR141","miR34a","FOXC2","SNAI1"
"ZEB2",-0.0959560368962112,-0.0938283848574391,-0.0422787688733162,-0.0395040510948033,-0.0165382379387593,-0.0135513786923865,-0.00591406830517201,-0.00166724015473561,-9.32655522113537e-05,0.00022773553749577,0.000581469301839085,0.0164411896983186,0.0378386234430072,0.0546821496711256,0.120966552984501
"miR101",-0.230018731956959,-0.0926762918573309,0.211012483884718,-0.247635048720669,-0.0338251475360883,0.0280826681777405,-0.0653778875942218,-0.14323506741183,0.0278267303784835,-0.0279023826594878,0.0040527341461721,0.0337661589348683,0.0381646215370179,0.215489393355884,0.183387666838606
"SNAI1",-0.271612571490437,-0.0908741038331218,0.227018154269217,-0.277793176439961,-0.195791795224774,-0.0601072523669315,-0.152298548847349,-0.159583256476573,0.0100727490662048,-0.0100771106320863,-0.112042932528327,0.195750988487953,0.0477973870809844,0.259600923202048,0.128160456285221
"FOXC2",0.00782209302083326,-0.0142626180162335,-0.076024721086502,-0.00468720663835478,-0.0157185615740545,-0.00394316590971457,-0.0159652035273037,0.0921386197501291,0.00511928073641741,-0.00499751176536521,-0.00398709907780791,0.0158456426603308,-0.00952465104901368,0.0888689240332922,0.0827654239368537
"miR200c",-0.122557077302243,-0.00897628863457845,-0.0251950780006526,-0.055214939341111,-0.0247783215826111,-0.00910816753627375,-0.0173430952929065,-0.039750560162307,-0.0835261869207142,0.0835656054378613,0.0452594519819797,0.0246940872816633,0.0902829306548473,0.0718578268629264,0.134569549380958
"TWIST2",0.274929076102689,0.000250943561242848,-0.012177607403787,0.11794090399773,0.176561940154814,0.0902908008221685,0.0904198788059557,-0.0326751597484174,-0.00330084086427803,0.00327197952884707,0.05657677101719,-0.17653027760721,0.000805731234442353,-0.242797378129803,-0.234625853006219
"GSC",-0.372161670586505,0.00362070772802353,0.200193151691041,-0.279520237256367,-0.160006487237567,-0.092652827049268,-0.0751644052988298,-0.107245329850509,-0.0240674638084436,0.0240744045283855,-0.136068212070918,0.159968161954181,0.00351724643409909,0.176560113824089,0.25575254304012
"miR141",0.161146830484399,0.0052633465333188,0.0347778541417589,0.0705472270364699,0.0263785296164096,0.0119849044104882,0.0167944537669301,0.0408621884567177,0.0943855180997435,-0.0944321036200081,-0.0141525078236154,-0.0262433844742295,-0.105690848202075,-0.0946328771556157,-0.176122012439656
"miR200b",0.122557077302243,0.00897628863457845,0.0251950780006526,0.055214939341111,0.0247783215826111,0.00910816753627375,0.0173430952929065,0.039750560162307,0.0835261869207142,-0.0835656054378613,-0.0452594519819797,-0.0246940872816633,-0.0902829306548473,-0.0718578268629264,-0.134569549380958
"ZEB1",-0.00785793745598471,0.0142362597511404,0.0760209484981291,0.00471446202129291,-0.0842423393096858,0.00383377761599832,0.0159368435993032,-0.0921254149435796,-0.00506681416785896,0.00511928073641741,0.00392436150538292,-0.0157185615740545,0.00945824850034956,-0.0888180255988047,-0.0827560173734241
"miR200a",0.154422190947473,0.0149912312295268,0.0812672946287471,0.0742125426677995,0.0490305977679844,0.0192225227693618,0.0328181441310425,-0.0522023171480732,0.0900805892058737,-0.0902322907718639,0.0239165222704759,-0.0490056051731977,0.00530275761275266,-0.124894073993338,-0.22906265270095
"SNAI2",-0.192570049998053,0.0154937419057138,0.103139067894312,-0.23551483491487,-0.0623015855410706,-0.0398644616938552,-0.0238130403715747,-0.19547924512521,-0.206102371872081,0.206079276591217,-0.229811767022689,0.0622302471593466,-0.0144847266703687,0.090779310149324,0.0726569894314581
"TGFbeta",0.185495370682123,0.0307693078035552,-0.0147699836058135,0.12666809189243,0.151046750312094,0.0651637785000058,0.0917639175688554,-0.00308516517455676,-0.100666082086095,0.000727384273614994,-0.0267489585222643,-0.150957954576799,-0.0789851912416066,-0.152053180120516,-0.236470966800507
"miR34a",-0.0391029540283567,0.0768378015978266,0.0419627971819869,0.0136546106067484,-0.0691148794420048,-0.111127858373349,-0.0515025646856922,-0.133745205471851,-0.0337691007760795,0.0337769883119526,-0.0870621761318062,0.0691200695166947,-0.0683190728793753,-0.0635603804769578,-0.0590508267583
"TWIST1",0.237205339706577,0.0964611706487866,-0.26154404690515,0.243744266388078,0.181270965033554,0.0481195981069013,0.145084989880776,0.175366439226961,-0.0100627527073817,0.0100828040387901,0.110833523117388,-0.181255667496458,0.0276334616127166,-0.351402087178296,-0.225201370987179
