"","miR200a","miR200b","miR200c","ZEB1","miR141","TGFbeta","GSC","TWIST2","miR34a","SNAI1","TWIST1","FOXC2","miR101","SNAI2","ZEB2"
"miR200c",0.0275342718368446,0.21117539278951,0.319971983945093,-0.286234483166801,-0.286221524043578,-0.0727649790652291,-0.0736262139398663,-0.214879045104384,-0.186002229097256,0.0132517615969166,-0.00200483980325854,0.0297589678493553,0.123060143533264,0.23243160760706,-0.362145581442048
"FOXC2",-0.215684742694901,0.345202014360713,0.410204260362747,-0.399253300992702,-0.398359461755616,0.016288000488508,0.0148821223681781,-0.320019772490386,-0.375236066540009,0.148295802279699,-0.0221635561227505,-0.124471619834208,0.163728996588523,0.179467757290673,-0.227276427263572
"miR200b",0.289402307651985,0.00495241618910984,-0.070132847626261,0.35043517810309,0.348781038588872,0.151062160354285,0.151452762024197,0.254594920507836,0.228898771133357,-0.0102557436056754,0.00262624713545791,-0.0437225787582675,-0.141496730733206,-0.272723920513847,-0.21626704425852
"miR200a",0.289402307651985,0.00495241618910984,-0.070132847626261,0.35043517810309,0.348781038588872,0.151062160354285,0.151452762024197,0.254594920507836,0.228898771133357,-0.0102557436056754,0.00262624713545791,-0.0437225787582675,-0.141496730733206,-0.272723920513847,-0.21626704425852
"SNAI1",0.0443540370405744,0.1238338417102,0.151581384000538,-0.106183116943606,-0.106452070436292,0.0318158712489772,0.0315815362093464,-0.0415532228577788,-0.112344566027526,-0.0730512466693476,-2.91915817655504e-06,-0.100782667140397,0.0403483823785124,-0.0448256092665461,-0.212984010225101
"TWIST1",0.0387763109441239,0.0216178712327139,0.125357304049648,-0.0905649902445056,-0.0906762214888176,-0.00354617497660823,-0.00379213797521801,-0.177219228005832,-0.0206281421268389,0.013285424195368,-0.116638503304592,-0.00640220324007538,0.122157961987334,0.229959769850521,-0.172054158552261
"TGFbeta",0.0891689235591191,0.14779231343471,0.0119108198475342,0.0699696511442969,0.0692759148519424,0.128669739477845,0.228747173819975,0.194061154207054,-0.0119241449236942,0.0175666665670183,0.00157772470983774,-0.0708331338714134,-0.117256889585205,-0.250054206351493,-0.100268492958242
"SNAI2",0.00289041936041255,-0.18738242587734,0.0758279054346057,-0.0710645806647,-0.0707942986269006,-0.205687585642235,-0.205987824293471,-0.371373543562214,-0.0493354612202483,0.0144556284756808,-0.153120995673497,0.0530544158315862,0.302649551362298,0.286733062997683,-0.0830646269176688
"miR101",0.178998708948729,-0.100444366371153,-0.12278475121649,0.293539379054291,0.292842768000577,0.00812536083384869,0.00863029582566768,0.141573542580092,0.213153928737932,-0.0478825363434635,0.00806772666184016,0.112375230685394,-0.075472816738272,-0.00353910786657615,-0.049708929396981
"GSC",0.162103926151233,-0.0952314704593884,-0.147539820238874,0.286310147957214,0.285704313669843,0.0104684443055478,0.0110470479588904,0.162809547772963,0.211746455221301,-0.0626984384097702,-0.0892587402740122,-0.0196152325878164,-0.141315628664248,-0.117338226461908,-0.00153370580438956
"ZEB1",0.213580899056496,-0.347483632251992,-0.413276971745496,0.299512457955603,0.399253300992702,-0.0172349580673678,-0.016288000488508,0.321350816990584,0.376151526396311,-0.148803756704899,0.0226086245258809,0.125145638496967,-0.164621314125584,-0.179735611065148,0.230709221091591
"miR34a",0.101169958437773,-0.114069711174222,-0.30734192470682,0.280069147634687,0.279941754892299,0.00581234574612395,0.00655195391761112,0.361365496553643,0.226433454990185,-0.138170648123668,0.0593282575140155,0.109663272810637,-0.183664327499914,-0.22025725342256,0.243115998839388
"TWIST2",-0.0323931274117073,-0.118421156752548,-0.210539358495853,0.173962019954331,0.174187615606007,-0.0191340263727508,-0.0186252745972127,0.173580543839922,0.154986778781945,-0.119282424773064,0.0456584680391259,0.0354767908866667,-0.115997024790349,-0.1175003761124,0.255688651463403
"ZEB2",-0.427644898200228,-0.299158812932504,-0.287457155545727,-0.145226926239307,-0.142931113248778,-0.116617613892253,-0.116171072054327,-0.105419647393586,-0.103903244598635,-0.0117318112879552,-0.00161885236811887,0.0341682033478255,0.0488053252426243,0.110946159062218,0.396586888927171
"miR141",-0.0752109437564881,-0.296913074952981,-0.311644285147297,0.233666888346111,0.234546257421941,-0.16510183982512,-0.16427882896711,0.0308306446038362,0.229578735704293,-0.0975196432454237,0.0168849067861516,0.105257933482097,0.0202044927879957,0.137403638118179,0.402337920602773
