"","ZEB2","SNAI2","SNAI1","miR200b","miR200c","miR141","miR200a","TWIST1","GSC","TGFbeta","ZEB1","TWIST2","miR34a","FOXC2","miR101"
"SNAI1",-0.18459138780441,0.195000437558384,0.10830860785005,0.144420443571164,0.126381542648214,0.0865835544339654,0.0442426237293815,0.192354333698975,-0.0419200688766494,-0.0419236374305524,-0.0865340917226669,-0.0274384631936494,-0.196600054259674,-0.0918500908846983,-0.252802824316515
"SNAI2",-0.149835787082631,0.387589863092473,0.0649375839427489,0.37540615982279,0.14050971566384,0.135189932230632,0.00341514552160038,-0.152228062669629,-0.24120088289519,-0.242034879148622,-0.135763653582243,-0.366437176269512,-0.106513307716772,-0.107251530627582,-0.37869917091393
"miR34a",-0.106655237272077,-0.0498389683103094,0.0884262301581745,0.0461590004470082,0.149601466400174,0.110180082950182,-0.0641004883873566,0.0294525844581001,0.00372156582689876,0.00354986023827623,-0.110336728840823,0.0071768526510561,-0.100845303206077,-0.0839080557484636,-0.0233885947256121
"ZEB2",-0.0736885798038319,-0.0618742060283697,-0.0400939934087584,-0.0354165467334534,-0.0188429279388385,-0.0107000794602534,-0.0101320511161209,-0.00371870037990569,0.00782281497832635,0.00826174530765096,0.0110678674073596,0.0162960569481183,0.0330225260445461,0.0339695543963461,0.0509589220462527
"miR200b",-0.0618311142872869,0.267651547419959,0.165804099812817,0.135348027124667,0.0471020904355497,0.0328867561555351,0.0125422230301088,0.0184979425300623,-0.13078290466155,-0.13072198513505,-0.0327016258237815,-0.0803234034878269,-0.144175124672499,-0.142153660306331,-0.216785949650071
"miR141",-0.0618311142872869,0.267651547419959,0.165804099812817,0.135348027124667,0.0471020904355497,0.0328867561555351,0.0125422230301088,0.0184979425300623,-0.13078290466155,-0.13072198513505,-0.0327016258237815,-0.0803234034878269,-0.144175124672499,-0.142153660306331,-0.216785949650071
"miR200a",-0.0340921328758102,0.246388082777932,0.151650198420807,0.0788281816432953,0.0277465554062823,0.0218740717168273,0.00439723041150231,0.0170014625691242,-0.121816166104496,-0.121939199658015,-0.0218879564917089,-0.0744003109940477,-0.12904948025408,-0.128535169658099,-0.19911893242448
"FOXC2",-0.0174829109228298,0.0799790389348327,-0.0826029909985707,0.0159412153937995,0.00539338486654041,0.000560198574353056,0.00525831641372174,-0.00486509368534114,-0.00320533898832234,-0.00254114460076491,4.95770581156277e-05,0.00663896210029139,0.0068426930807136,0.0879105508690722,0.00278065273231492
"GSC",-0.011275602383161,-0.200979505909589,-0.206272161755066,-0.0699012250709059,-0.0368000278718905,-0.0985408400560326,0.0607338519915689,-0.0920496609370728,0.0087282089683217,0.008914346457674,0.0986484456593855,0.0400310887257733,0.133307722556012,0.214934979118109,0.256569631237147
"ZEB1",0.0183521413503371,-0.0800927555272153,0.0827840673445912,-0.0151394661226624,-0.00437879397297117,4.95770581156277e-05,-0.00490468547477661,0.00493080848311879,0.00254114460076491,0.00290969025307792,-0.0997167332991867,-0.0068924943860434,-0.00715083075035719,-0.0875295837988169,-0.0025756448519542
"miR200c",0.0340921328758102,-0.246388082777932,-0.151650198420807,-0.0788281816432953,-0.0277465554062823,-0.0218740717168273,-0.00439723041150231,-0.0170014625691242,0.121816166104496,0.121939199658015,0.0218879564917089,0.0744003109940477,0.12904948025408,0.128535169658099,0.19911893242448
"TWIST2",0.0479398304421208,-0.205005672458139,0.084161946142596,-0.110298993678381,-0.0692714847574691,-0.0924972224747018,0.025858559718134,0.245798207325637,0.0269485831738032,0.0268325719235414,0.0923217591900643,0.160443011690998,0.00369738507251775,0.0591490266968647,0.0648696049220785
"TWIST1",0.0536168578533201,-0.313317842176111,-0.204463383855968,-0.12624161026844,-0.0557395330106432,-0.0884371703799176,0.0280648747306537,-0.0830757451794552,0.0327223679658291,0.0328306451554345,0.0884415781448437,0.16219834811382,0.117135407393917,0.208242133569086,0.258935722982124
"TGFbeta",0.106068746382161,-0.367392741048057,-0.246492293896825,-0.250578332543539,-0.109404699899018,-0.123264476756695,0.0163358051146664,-0.0319839758141426,0.236779820711607,0.137249266410774,0.123530863962578,0.188917953885261,0.231493720513428,0.17947298673089,0.308520312485137
"miR101",0.162199458727395,-0.185172481169761,-0.196167455684143,-0.15921684401394,-0.129088826937315,-0.102594460803045,-0.0264884143354098,-0.194874583018148,0.0329147744925914,0.0328971809388695,0.102519105422296,0.00566170262327256,0.134781337681755,0.082980392753012,0.240529074888731
