"","miR200b","miR200c","miR200a","TGFbeta","miR101","TWIST2","ZEB1","TWIST1","miR141","SNAI2","miR34a","FOXC2","GSC","SNAI1","ZEB2"
"miR200b",0.151171579437982,0.124386099598788,0.126150243112588,0.141853743738653,0.12472068729572,0.0913556975184227,-0.00140535459060875,-0.00748719439880075,0.00134055897449501,-0.069936997214037,-0.122484302449657,-0.146411197982977,-0.141823881225663,-0.181272796498378,-0.253521085547205
"TWIST2",0.0905466310350165,0.104491494458883,0.117537246824584,0.0389923401402857,0.169096499335218,0.119635689182414,-0.0119692824704155,-0.0903213607506297,0.0119376199228117,-0.0593028883414967,-0.103474672857605,-0.192890941622012,-0.0389566879024004,-0.312244135231389,-0.224677361419065
"TWIST1",0.0120481294808913,0.00997760775247198,0.154644935532872,0.0594054419465569,0.101465992901133,0.0618877893609111,-0.137769047006598,-0.145957346333835,0.137762564999354,-0.00687678774747056,-0.0153267361413511,-0.245186783289543,-0.0594615856745004,-0.264370411534762,-0.182901540685207
"TGFbeta",0.104703431519844,0.0459116319007157,0.0763781555378266,0.113402872672106,0.10040817436295,0.091052971309997,-0.0270626691963863,-0.0168650828050887,0.027068003215821,-0.0260697552356015,-0.110357777734916,-0.153136424825836,-0.213338344053664,-0.178455741475924,-0.125536281374285
"FOXC2",0.0230215964498737,0.0283670479714164,0.0234523435007581,0.0048748347684501,0.0868384047891375,0.0925977360738491,0.00412015100925118,-0.0192485002501694,-0.00418315759824532,-0.0685264398287598,-0.0176424843173299,-0.0917080722078015,-0.00474199589093862,-0.107821536232155,-0.0638699398763605
"ZEB1",0.022974543270555,0.0282947012163131,0.0234482920824723,0.00482748688950711,0.0868988406382612,0.0926769649131466,-0.0958768413664212,-0.019314215047947,-0.00412015100925118,-0.0685097326516799,-0.0176193553397053,-0.0917312078598413,-0.0048748347684501,-0.107832118616013,-0.0638613512281841
"SNAI2",-0.0311740548299355,-0.023588914757078,-0.0465699511444216,-0.019274847743131,-0.111604847156025,-0.0980029503344342,0.022884347888869,0.0142441044506344,-0.0228954003142065,-0.0416328762219775,0.0508851568541301,0.122623143621272,0.0191747681927191,0.172506339302549,0.0703614298178323
"SNAI1",0.0615200694428801,0.0318620853671426,-0.108169593543008,-0.0304271144074575,-0.120283337205642,0.0101822266327517,0.133457033859669,0.242467855684275,-0.133454251582158,-0.121226489629945,0.104277022621961,0.118994558451869,0.030474298620175,0.164641663111942,0.0732690019554133
"ZEB2",-0.217250582968397,-0.21072338529841,-0.188402405669954,-0.0617693604996412,-0.0465525981361755,-0.0382736934443075,-0.0273675080390001,0.00309587532338736,0.0273879130536568,0.0310407319947537,0.0479434520852686,0.05279930629495,0.0617592118215065,0.0625420555895858,0.100919656238778
"miR34a",-0.0140736073545716,0.0514103360916066,-0.145618912801859,-0.0659410185504986,-0.161729073875125,-0.19813452500179,0.0998225607309055,0.0914718356098999,-0.0998381309549752,0.0563394492075129,0.0699260688737261,0.202651482014343,0.0659270636793384,0.300059010357203,0.116217945577277
"miR101",-0.145543752754564,-0.126243158556918,-0.00420689389553257,0.00827288394260416,0.0962171011763858,-0.0406228004956368,-0.119781995984632,-0.222650847318404,0.119826663653764,0.124129400096524,-0.0226609872748702,-0.0948907762045145,-0.00827992136409293,-0.216633521899274,0.133853246319998
"miR200a",-0.0251858977493993,-0.0836752546523082,-0.0656564666039493,0.0919302688492188,0.108796657281268,0.0774794223156715,-0.0169644236819446,-0.00594547270693237,0.0169394310871579,-0.0603870898053727,-0.102666888116102,-0.124852834453276,-0.0918597933185619,-0.158352777018632,0.146298680688962
"GSC",-0.127879103564787,-0.108393919791647,-0.0482211902048099,-0.0101793010591657,0.0495076303579206,-0.035407286538941,-0.0649094512769244,-0.209077097787141,0.0649585862556244,0.0888954896803087,-0.0179165818534954,0.144655933261404,0.0101647886447416,-0.0862236425863353,0.166075927055663
"miR141",-0.0801040046588763,-0.10872391748487,-0.0873114575778045,0.093682034906937,0.0515060249649266,-0.0147222708533807,-0.0200085568205096,0.0111642552508097,0.0200381776735902,-0.0199197770113907,0.0145904072791692,-0.0917640242292559,-0.0937262314261625,-0.0831844310632776,0.195684238027381
"miR200c",-0.151171579437982,-0.124386099598788,-0.126150243112588,-0.141853743738653,-0.12472068729572,-0.0913556975184227,0.00140535459060875,0.00748719439880075,-0.00134055897449501,0.069936997214037,0.122484302449657,0.146411197982977,0.141823881225663,0.181272796498378,0.253521085547205
