"","ZEB2","miR34a","TWIST2","miR200b","miR200a","TGFbeta","miR200c","FOXC2","TWIST1","miR101","GSC","ZEB1","miR141","SNAI1","SNAI2"
"GSC",-0.124111929086769,0.0271449016255915,-0.00365941692601342,0.0648618761508361,0.0595156132252745,0.0121514126977257,0.0610164124810877,-0.151331288946274,0.106442766394345,-0.0737880077191842,-0.0122126172281229,0.0137069794899946,0.0136136230304646,-0.0149647025938237,0.0307208607019534
"miR101",-0.0966858279909405,0.073889026344284,0.0493275353894344,0.0111110354993659,0.100611665393417,0.0485806074157041,-0.003445907693619,-0.09736708230925,0.0321164058170774,-0.037895399716409,-0.0483114260437588,-0.103983504728041,-0.103763576128117,-0.0196073055041795,-0.040445036577946
"ZEB2",-0.0856368218868917,-0.0263007497470709,-0.0244737169315738,-0.0130192487700147,-0.0120931568186438,-0.00709342359124748,-0.00625571893374174,-0.00483412539424983,-0.00315519588275596,-0.00148388975272946,0.00727102545860426,0.00794351248143156,0.00801368582451948,0.0202802806797069,0.0229876212435605
"miR34a",-0.0792531616160604,0.00952245492772855,0.0223495244763646,0.0113124226891094,-0.0179562959718767,-0.0192651305953802,0.0801438398735274,-0.0802775797885313,0.0131533036158498,-0.0300278089776399,0.0193761628311325,0.0159499111457035,0.0159895444433354,-0.00112976771993994,0.056885239812779
"TWIST2",-0.0746868063397786,-0.0057558030038223,0.0713530095729128,0.00747551662765579,0.075987549445039,0.0321184751574872,-0.00245181973913278,0.0145698967070945,0.0269084039918591,0.0554791365257428,-0.0321699728344326,-0.0772613923097696,-0.0772759043107546,0.0770310022462438,-0.0497337512840672
"miR200b",-0.0152986489244334,-0.00580231972948441,0.0490713775161711,0.0707123583068083,0.0094496081986916,0.113809839216672,0.00593076971825945,0.049341630837736,-0.0397813753110246,0.0480170660114645,-0.113839701729662,-0.00405766943937864,-0.00426316410762508,-0.0234304118598594,-0.118769332151971
"miR200c",-0.006333196802327,0.0178909790211076,-0.0397097454329154,-0.0299281006471276,0.00593309542628919,-0.103598444280387,-0.000272357559592945,-0.0472961164103757,0.0410136248126081,-0.0474375785508738,0.103711921829749,-0.00559794612882964,-0.00537856668570168,0.0170161680057445,0.111212189690094
"FOXC2",-0.00328047514020982,-0.0184844352401239,-0.0269602703585421,0.00680024895465177,-0.00997970874140403,-0.00701853374001316,0.01014427170879,0.0830053244865842,-0.071709145787707,0.0678890275466138,0.00660894720101942,0.0179574610374601,0.0175356372636858,0.0777521360517221,-0.0605991977287247
"ZEB1",-0.00317178431673616,-0.0186418615071815,-0.0266671236531413,0.00704935402163336,-0.0102141122279389,-0.00679075205212526,0.0103670997145083,0.0828310359078844,-0.0717240809690201,0.0678546620637787,0.00701853374001316,-0.0821919176374809,0.0179574610374601,0.0778720697354499,-0.0604326648991218
"TGFbeta",-0.00141460640328726,0.0937840320048624,0.125429393838687,0.0763814077082694,0.0354007703165525,0.11671447603488,-0.0340133244200134,0.0387028309951962,-0.0132750500592932,0.0366112075326957,-0.216772551791478,-0.0731132259779858,-0.0731254628461006,-0.0247027957997775,-0.0959892780006802
"TWIST1",0.00492464290562808,0.00386678114787664,-0.0884005611523757,-0.0472511282744996,0.038505700685799,0.00582466148547064,-0.0228980631122572,-0.00811046699115583,-0.0924641495039394,-0.0306432833261244,-0.00575515020325483,-0.0678718612288582,-0.0678249314964095,-0.0104425537200614,0.0842023070527013
"miR200a",0.014097165652105,0.0991358517681591,0.0857383955340414,-0.0130579825402974,-0.00284828570085686,0.114315327091933,-0.0116112257487562,0.0221090288229602,0.0148761512856106,0.00583633159653512,-0.114075232487492,-0.00851432190447924,-0.00836806894239393,-0.0654857198536333,-0.0769574460828081
"miR141",0.0152986489244334,0.00580231972948441,-0.0490713775161711,-0.0707123583068083,-0.0094496081986916,-0.113809839216672,-0.00593076971825945,-0.049341630837736,0.0397813753110246,-0.0480170660114645,0.113839701729662,0.00405766943937864,0.00426316410762508,0.0234304118598594,0.118769332151971
"SNAI2",0.0568857364990685,-0.0190500241405999,-0.0937565708328459,-0.0273567463708472,-0.0426050341770793,-0.0205893103744829,-0.0136679288681104,0.0172478307702123,-0.0756750106286574,-0.0344887600137532,0.020489230824071,0.0285858861497198,0.028509189016317,0.00272347584342031,-0.0260789308376055
"SNAI1",0.0641638482261434,-0.0919854558802162,-0.0537379227075691,-0.0125351972788207,-0.0739393098291251,-0.0337718918529436,0.00188452677035837,0.0890515500661966,-0.0171953740736545,0.0295181850783332,0.0338333502812732,0.0806400012581002,0.0806619503362389,-0.0930896815087432,0.043400568019719
