"","miR141","miR34a","ZEB2","SNAI1","TWIST2","miR200c","FOXC2","SNAI2","miR101","GSC","TGFbeta","TWIST1","miR200a","miR200b","ZEB1"
"ZEB2",-0.122152709916771,-0.0925762466633601,-0.0860778643946537,-0.0821556380247912,-0.0682550846250745,-0.0632776038781882,-0.042501259774064,-0.0419457251873504,-0.0195554595025633,-0.00598445010985682,0.00604026783959752,0.0375588333057146,0.0456180633412368,0.056118079203715,0.122305498685054
"TGFbeta",-0.179002458261818,0.05831066642649,-0.0602048653848204,-0.231922107001273,-0.258240584721535,-0.0615313855707047,-0.117832534041115,-0.371374457588081,0.0726838700073742,-0.217816775108683,0.118084568875218,0.110030902446005,0.126978169681906,-0.12751321140048,0.179363602754129
"miR101",-0.0422855775065462,-0.0855823872709313,-0.0274415458594721,0.180777037557078,0.0548652125308306,-0.005926940828315,0.193012622007117,0.231023104617646,0.0242070899216222,0.0178735809721584,-0.018044238443261,-0.182214585072279,0.0302117612758258,0.0452063381393976,0.0421120214486215
"TWIST2",0.184912219298227,0.00177874216137142,-0.0237168089962103,0.252394054306816,0.188989443164497,0.105527387218054,0.142455784210592,0.24365294397416,-0.0132521665285605,0.026508022546196,-0.0266704382965624,-0.0431185557287162,-0.0844293772931707,-0.00935950875180565,-0.185169917255113
"SNAI2",0.0692086609529816,0.0168986960546589,-0.0224521599999902,0.0814220285122264,0.369724535187282,0.046827352119459,-0.00135245210046945,0.306827292357482,-0.268067318831357,0.21986147674085,-0.220012879137627,0.108128701880211,-0.0243896606580086,0.213804239046547,-0.069491670026018
"miR200b",-0.128211602061185,-0.154104252616415,-0.00617543933935394,0.135895702550629,0.0765492675079968,-0.0591162751847476,0.0570037044583954,0.265088312229113,-0.0655688829895437,0.123715852652873,-0.123862776216785,-0.106140193596388,0.0647238581565178,0.0933728141710151,0.127971858281564
"miR141",-0.128211602061185,-0.154104252616415,-0.00617543933935394,0.135895702550629,0.0765492675079968,-0.0591162751847476,0.0570037044583954,0.265088312229113,-0.0655688829895437,0.123715852652873,-0.123862776216785,-0.106140193596388,0.0647238581565178,0.0933728141710151,0.127971858281564
"miR200c",0.289609034046183,0.128132189874891,-0.00517285901772499,0.24975131105646,0.181690509596467,0.150077017642807,0.132999424203311,0.220504109390895,0.0123930373822277,0.122310642303596,-0.122505345888292,-0.133069491635934,-0.145370977784655,-0.0846340859741679,-0.289999659046183
"miR200a",0.289609034046183,0.128132189874891,-0.00517285901772499,0.24975131105646,0.181690509596467,0.150077017642807,0.132999424203311,0.220504109390895,0.0123930373822277,0.122310642303596,-0.122505345888292,-0.133069491635934,-0.145370977784655,-0.0846340859741679,-0.289999659046183
"ZEB1",-0.221175671510034,-0.180936091760183,-0.00106039556941728,-0.15860027655865,-0.106440153829422,-0.211149037560253,-0.141291087925622,0.0745149433138686,-0.11443885210244,0.00126486197773721,-0.00124438721927538,0.0308618052273074,0.21214559188126,0.212838277137833,0.121283444715108
"FOXC2",0.221001602459084,0.18093833004834,0.001067207255902,0.158474463772779,0.106268491344277,0.211077848353231,0.140981070188288,-0.0747623173228904,0.114418706819399,-0.00132021151003366,0.00126486197773721,-0.0306467386163988,-0.212028100750972,-0.212850271085503,-0.221175671510034
"miR34a",-0.0304606173126713,-0.0967312073673056,0.0042929604710741,0.203243315093776,0.0240896679521291,-0.0615872650841334,0.178547995949511,-0.00147739670247105,0.0873282509970883,-0.0107283257618182,0.0106816072801082,-0.0959712998153479,0.058040935944814,0.000765582991657528,0.0303601185936761
"SNAI1",0.192570038210437,-0.0466076849151178,0.0484083520327226,0.116171673049568,0.12464661452905,0.075093025385364,0.22102988757758,0.26170196445346,0.0248890365540723,0.0192835643735612,-0.019400533640382,-0.17180124300202,-0.133594338702989,0.0199846000203806,-0.192715025782931
"GSC",0.168153033940239,0.0414689231404968,0.061977678594679,0.117011447929218,0.102694348547497,0.0550381445263903,0.0386379234744222,0.161950040503431,0.025120487306171,0.00087296264758034,-0.000958144210504276,-0.176079684612018,-0.122315656970682,-0.00967287039717405,-0.168270466539332
"TWIST1",-0.142963917250047,-0.140994885420206,0.0992266346041644,0.145904025104188,-0.140394311407874,-0.124865462151265,0.0857219396339832,-0.0622864958872934,0.0887300263198927,-0.022792493558585,0.0228432902648197,-0.179200331301821,0.0257373599372453,0.0581729347634057,0.143031070845098
