"","miR200a","miR200b","miR200c","GSC","SNAI2","miR141","ZEB2","TWIST1","miR101","TWIST2","ZEB1","miR34a","FOXC2","SNAI1","TGFbeta"
"TWIST1",0.104942650738723,0.00262387189804523,0.0596781475353429,0.0465987208748725,0.257380890215429,0.0224895875784507,-0.182924216207732,-0.0408807893429333,-0.207202812371653,-0.202307057385361,-0.0226656388952056,0.0210625086797989,0.0448514857353302,0.154589634708256,-0.046642833803971
"miR101",0.0896693031824654,0.0529537963827876,0.0752294829138405,0.0294262339983983,0.0918383520471668,0.0127947746166012,-0.160892494353859,-0.133199896964207,-0.163258977447104,-0.0694059700532962,-0.0129240039799676,0.0397076227669841,0.144177597975409,0.133657580002139,-0.0293752126926047
"miR141",0.0724119839958383,0.0362539268974938,0.0735639004547884,0.134263498026369,0.145494585460603,-0.00140876564889998,-0.142560679337166,0.0275727704010587,-4.22399250177137e-05,-0.0232011492648183,0.00144856867022699,-0.108821839091025,-0.137730114254055,-0.146076452371363,-0.134224079509222
"TGFbeta",0.0908334818603325,0.163145063461468,0.00578145069734932,-0.189091160780319,-0.116912486869777,0.0868513765631379,-0.0965972341694914,-0.081220604726707,-0.0336002145768693,0.0749786422872134,-0.0867349694331228,0.102637086529221,0.163368489394296,0.184366896208271,0.0891363308132284
"SNAI1",0.107878252285295,0.0363542612948422,-0.0263508697997424,0.023105028764604,0.108537956982275,0.128063429861421,-0.0787474157302865,-0.129105715512185,-0.172587456291908,-0.0876118180971472,-0.128192032910797,0.0593321366841329,0.143548544844093,0.0345188008368539,-0.0231379387617095
"SNAI2",0.0876446240962012,-0.195565168875739,-0.018410553768385,0.229944617439542,0.356137181757062,0.104762976041354,-0.0694129018619309,0.155756942863218,-0.332418974433446,-0.365143411238878,-0.104851060522074,-0.0647736069862113,-0.0659205815360054,-0.000383149381057481,-0.230162739536593
"miR34a",0.0768214252007305,0.0942747733073172,-0.0641932333109568,-0.0219730270366144,-0.120405374007565,0.0501463086518107,-0.0144068443680963,0.0238095183624209,0.0898809868437406,0.0323675575383444,-0.0499674869874953,-0.0525976611188991,-0.0897188274484117,-0.0506207872430655,0.0219202412196173
"ZEB2",-0.146070871373434,-0.144982538768265,-0.129376309595624,-0.0518503350831624,-0.0473365411486023,-0.0216967811979002,-0.0110859774841786,-0.00676078056854697,4.9899072139935e-06,0.00577916949890622,0.0216654271509886,0.0386060581868335,0.0447285176428275,0.0472781036672597,0.0518097403706237
"FOXC2",-0.00422270727556924,0.00514698922514747,0.00646362674130859,-0.0022073606995867,-0.0958514322707011,-0.00957534852175198,-0.00251138274635274,0.0706690575692827,0.0859532828853076,-0.00165894693118184,0.00933293334036776,0.000158897276035114,-0.0929059462508721,-0.0751638404606566,0.00222950051250528
"ZEB1",-0.00405544157777032,0.00530475576756914,0.00636812902457218,-0.00222950051250528,-0.0959640709806915,-0.00933293334036776,-0.00247199342885411,0.0709408778691811,0.0860895597999982,-0.00173289384785951,-0.0906871174884834,-5.6724483110158e-05,-0.0928519630627793,-0.0752873016056706,0.00217959328875456
"miR200b",-0.0724119839958383,-0.0362539268974938,-0.0735639004547884,-0.134263498026369,-0.145494585460603,0.00140876564889998,0.142560679337166,-0.0275727704010587,4.22399250177137e-05,0.0232011492648183,-0.00144856867022699,0.108821839091025,0.137730114254055,0.146076452371363,0.134224079509222
"GSC",-0.129107557305927,-0.0905226843970011,-0.0390146290477319,-0.0339790613389948,-0.159411370508001,-0.0910542302188417,0.180258425684839,0.0550639980022089,0.21754529840462,0.0959360225199694,0.0909854412486617,-0.0271490902458322,-0.191000365362532,-0.170723485584502,0.0339531913828475
"miR200c",-0.100235816261604,-0.105086919339515,-0.0858434609228063,0.0885939111844227,0.130284160522385,-0.0141943983226483,0.184737046642568,0.0248567334972869,8.26663195382374e-06,-0.0210973023968154,0.014255491332127,-0.0931524640463259,-0.119827371646084,-0.129843046432758,-0.088547325664158
"miR200a",-0.100235816261604,-0.105086919339515,-0.0858434609228063,0.0885939111844227,0.130284160522385,-0.0141943983226483,0.184737046642568,0.0248567334972869,8.26663195382374e-06,-0.0210973023968154,0.014255491332127,-0.0931524640463259,-0.119827371646084,-0.129843046432758,-0.088547325664158
"TWIST2",-0.157047170169928,-0.0219091360532662,-0.0364996777723128,-0.0554863763185755,-0.299171076752579,-0.115496897810646,0.19305842439003,-0.0128650634990457,0.241069621148683,0.223862070385144,0.115501295386702,-0.0176210111513267,-0.0760797735800563,-0.176827637614639,0.055533346727218
