"","ZEB2","TWIST1","miR101","SNAI1","miR200b","miR34a","miR200c","ZEB1","miR141","GSC","TGFbeta","miR200a","TWIST2","SNAI2","FOXC2"
"GSC",-0.0964197070706276,-0.109514553806315,-0.0990420076365642,0.00349107945744301,0.0738679399974202,0.0289648731893414,0.0940193836885847,0.0928158868656782,0.0928247311618442,-0.0329709684824803,-0.0329400507300116,-0.0940193836885847,0.0367133762364149,0.100921674457814,0.136062455830291
"TWIST2",-0.0924399287267619,-0.0973711976172348,0.0240088601330832,0.00162862634453992,0.0794730421869666,0.0231935181165554,0.0801877332438885,0.0704193283116849,0.0704254849181634,-0.0380611699764795,-0.038022122287367,-0.0801877332438885,-0.0912001050348894,-0.0728714636016145,0.0314639345343352
"ZEB2",-0.0833705360921151,-0.0406496341545193,-0.0367722636029504,-0.0324389128929684,-0.0250093242033938,-0.0237686983185454,-0.0103305781405481,-0.0022944676934379,-0.00228103024476149,0.00663482698966453,0.00672616509287658,0.0103305781405481,0.0335983971842026,0.0408809461307864,0.0417141327928442
"SNAI1",-0.0558005054924468,0.0277271850708496,0.100403880852646,-0.0941328372761267,0.0329524250011641,0.0191957403958502,0.000616879880367938,-0.0700842353424383,-0.0700882541877313,-0.00436926950746625,-0.00437442408532615,-0.000616879880367938,-0.072858700480059,-0.0960290846461675,-0.0946327498629849
"miR101",-0.0317311900075567,0.0109270740055865,-0.0885478923136132,0.0225055315766098,0.0489017564605926,0.0317163476136581,0.058335955725125,0.089741649583404,0.0897542656426245,-0.0241251549229398,-0.0240706149064018,-0.058335955725125,0.0233060095685547,0.100556241283107,0.0560552058225303
"miR200b",-0.0159271861567152,0.175453718647756,0.149289484761731,0.128929974992282,0.0838684710281462,0.100009438089245,0.00418856841903451,-0.00746742399876702,-0.00745816748217934,-0.12213114978741,-0.122091731270263,-0.00418856841903451,-0.140204131713303,-0.168393301123264,-0.180427977763017
"ZEB1",-0.0128479868821101,0.103594265119018,0.0198254326788871,0.101305378142315,0.00327150594396757,0.0118778074131707,0.000341954559818971,-0.10626940960404,-0.00628494899639964,0.000315831741038709,0.000300475672192334,-0.000341954559818971,-0.0260908965422199,0.063209159655495,-0.12760579438958
"FOXC2",-0.0128299211049115,0.10358530401023,0.0198029173625469,0.101326542910032,0.0032991842847433,0.0118904910460616,0.000387677709044282,-0.00628494899639964,-0.00626679455550303,0.000238342395823676,0.000315831741038709,-0.000387677709044282,-0.0260539230838811,0.0632226331853981,-0.12753021792625
"TGFbeta",-0.00870546645836908,-0.149455300584673,-0.154729406043211,-0.0791432463443115,-0.114878443515917,-0.0569872141952498,0.04000364377889,0.0755204415321667,0.075515107512732,0.196175148343195,0.0961557897576624,-0.04000364377889,0.205987679931032,0.230296613710849,0.15078263978079
"miR200c",-0.00286094523438242,0.0925184743255768,0.133236613646708,0.0626734430850446,0.0464063651488248,-0.012138600780534,0.00010768385389557,-0.00247931810745644,-0.00248579766906781,-0.114543842518464,-0.114571316030415,-0.00010768385389557,-0.0970155453954417,-0.203774093338927,-0.116840983388667
"miR200a",-0.00286094523438242,0.0925184743255768,0.133236613646708,0.0626734430850446,0.0464063651488248,-0.012138600780534,0.00010768385389557,-0.00247931810745644,-0.00248579766906781,-0.114543842518464,-0.114571316030415,-0.00010768385389557,-0.0970155453954417,-0.203774093338927,-0.116840983388667
"miR141",-0.00286094523438242,0.0925184743255768,0.133236613646708,0.0626734430850446,0.0464063651488248,-0.012138600780534,0.00010768385389557,-0.00247931810745644,-0.00248579766906781,-0.114543842518464,-0.114571316030415,-0.00010768385389557,-0.0970155453954417,-0.203774093338927,-0.116840983388667
"SNAI2",0.0251529229046389,-0.165213163672726,-0.221556006682861,-0.0108781487734113,-0.231243244310306,-0.0263262722204893,-0.0320198644020997,-0.0395023915332578,-0.0395054058310771,0.215913014340775,0.215930977337003,0.0320198644020997,0.228977947935266,0.130904330734979,0.074124707125329
"miR34a",0.0279462542823342,0.029152718980133,-0.0342810716260325,0.0659156119101147,-0.129065574919355,-0.0252715020003824,-0.127050963732472,-0.124212138523248,-0.124210251223361,0.0743015752149698,0.074327664756704,0.127050963732472,0.0250789670811734,0.129698959621189,-0.098837593839982
"TWIST1",0.0890555066488359,0.00856871007972782,0.0374350546953612,0.00750420869851448,0.0230442130000915,0.000723114447859174,-0.0159477965289513,0.0656064067591074,0.0656019989941813,-0.0161220945657425,-0.0161194210548881,0.0159477965289513,-0.0987800501145218,-0.099366415098978,-0.0345662661002191
