"","miR200a","miR200b","SNAI1","ZEB1","miR141","SNAI2","miR34a","TWIST1","TWIST2","miR101","FOXC2","TGFbeta","GSC","ZEB2","miR200c"
"miR200b",0.109066500616966,0.122522141623629,0.0724838615581183,-0.0384130808391773,-0.0435634066685612,0.0195944607462946,-0.135322093773997,0.0111532648668905,0.0633414360627635,-0.0439699368429303,-0.0871947956127822,-0.124335293602491,-0.12500779739503,-0.265373210657906,-0.109066500616966
"miR200c",0.118761978331153,0.147461443432704,-0.122138666560655,-0.00388202596538026,-0.00600732217391106,-0.0511822346353632,-0.00529848998433225,-0.00824334166890467,0.0332534322962529,0.0875966648163933,0.10745677761115,0.0579304762812124,0.0576688806674183,-0.244634883946851,-0.118761978331153
"miR200a",0.137138360427845,0.0582127846134223,-0.0520465725067674,0.0625869675662511,0.0681732753269146,-0.0102887649669216,0.147658466270648,-0.0102670079474704,-0.0739285117017659,0.0291718370872578,0.0650441957426382,0.0626564232686245,0.0634364321079284,-0.205730617914645,-0.137138360427845
"SNAI1",0.00661915093406411,0.173104516187336,0.211999528499333,-0.155942101677902,-0.157092418857538,-0.172940297506357,-0.278635493346261,-0.336830165446843,0.212593188557079,-0.116250726630323,-0.344676567582647,-0.0412344023791493,-0.041299825867371,-0.191202747189145,-0.00661915093406411
"GSC",0.124132176160369,0.0527270965841162,0.314525710727336,0.0922921776162883,0.0940015835252608,-0.137166094871536,-0.066766004557171,-0.397598028062422,0.100106438514872,-0.134507036243055,-0.231499957815464,-0.0310970699532633,-0.0307645463705899,-0.163159449118348,-0.124132176160369
"miR34a",0.146173228966638,-0.0351778829327579,0.116664235245299,0.092586517793675,0.0960884027344373,0.0181327119100302,-0.00576249189121524,0.00492522374760864,-0.151725541385294,-0.0589921632702266,-0.112598369041278,-0.00504692243681583,-0.00453423260506304,-0.12263199306352,-0.146173228966638
"TWIST1",0.075513925701357,-0.0230530724942367,-0.262452059241037,0.0247059979087682,0.0221912383782729,0.14053746670214,0.131808498456191,0.25738311907595,-0.172944396261364,0.0438999508113086,0.38187242538086,0.00188081665421538,0.00147043273805668,-0.107848747824856,-0.075513925701357
"SNAI2",0.0467814858004819,-0.0155131436829525,-0.0182160932009234,0.0589296096689213,0.0541941477947649,-0.0751580442694068,0.0471169355538251,0.0846183887020791,-0.0364153820001557,-0.00300448059221024,0.0447514772533843,-0.00259788836567915,-0.00329331293392571,-0.0353414149854529,-0.0467814858004819
"TGFbeta",0.0396042827991713,0.0218591898517847,-0.0922853725463443,0.108519052260952,0.105406808803755,-0.00414131899423371,0.153748214221071,-0.00440780003791791,-0.015551864995294,0.0500881538458251,0.094288653003353,-0.0842075209680955,0.0153117408245095,0.0309272068161249,-0.0396042827991713
"FOXC2",0.0121915081198465,-0.0539531350737444,0.102200043259062,0.0426891829416465,0.0515859268892763,0.0693166958026288,0.0449870062975407,-0.0020201554765649,-0.107884342387905,-0.0883658743565151,-0.102740286085935,0.00380341621338725,0.0050100360174499,0.0451136187463996,-0.0121915081198465
"ZEB1",0.00842079524386044,-0.0483335092849117,0.104229509319005,-0.0512018307781332,0.0426891829416465,0.0724926762713998,0.0396248139689003,-0.000783522463840127,-0.108420457533818,-0.0845987064278057,-0.101208705920901,0.00466847475839972,0.00380341621338725,0.0467706355238796,-0.00842079524386044
"TWIST2",-0.119799587659551,0.0176096878288395,0.249390614811384,-0.120306811664858,-0.12098843595355,-0.0407083837683975,-0.173115308877161,-0.318113936510246,0.0553595465340165,-0.0815059598446108,-0.260589327011465,0.0116367951602795,0.0116271747151358,0.111180142518903,0.119799587659551
"ZEB2",-0.281521873283181,-0.229134047307218,-0.0571365442483425,-0.0468235864357375,-0.0461402672863778,-0.0308769946035346,-0.0261451439642147,-0.00244228078979753,0.0289198178316142,0.0435646181611573,0.0540533467680078,0.0817200376384648,0.0817733181986718,0.211730374175403,0.281521873283181
"miR141",-0.118761978331153,-0.147461443432704,0.122138666560655,0.00388202596538026,0.00600732217391106,0.0511822346353632,0.00529848998433225,0.00824334166890467,-0.0332534322962529,-0.0875966648163933,-0.10745677761115,-0.0579304762812124,-0.0576688806674183,0.244634883946851,0.118761978331153
"miR101",-0.125730847942213,-0.119842964329914,-0.300989909138433,-0.00207538664904134,-0.00633313614866115,0.139749622929716,0.119263653964333,0.284618625108869,-0.101124076880386,0.130667766816236,0.317951037794807,0.0427875425313519,0.0420890784485918,0.250112864128883,0.125730847942213
