"","ZEB2","miR34a","miR200b","miR101","TGFbeta","miR200c","miR200a","SNAI1","GSC","TWIST2","TWIST1","FOXC2","SNAI2","miR141","ZEB1"
"ZEB1",-0.108891594540012,-0.177389080154094,0.222010415586448,-0.107282597787183,0.00774727732835514,-0.238171880487408,0.238171880487408,-0.100131059921151,-0.00770632781143147,0.0833587928693334,-0.00611138939900988,0.0955693100028443,0.11367429487841,0.189381543958034,0.0893755287093787
"FOXC2",-0.108832658643905,-0.177261497729133,0.221981814634313,-0.107485235634245,0.00770632781143147,-0.238211815896225,0.238211815896225,-0.100114598435149,-0.00782809678248367,0.0831686436550194,-0.00603073941991913,0.0955831913940682,0.113661899230899,0.189241647972301,0.189381543958034
"miR200a",-0.0839302588667382,-0.0977642916487188,0.153867674226149,-0.0304855864749733,0.12200118434722,-0.135607143253244,0.135607143253244,-0.0712793692066342,-0.121947431823838,0.0448009919240405,-0.0558885175426566,-0.0570267384063016,-0.0100038706471596,0.191770213628262,0.191764659718309
"ZEB2",-0.0780125971663448,-0.0426486209895289,-0.0134152771916962,-0.0096951724862958,-0.00726918917062663,-0.00211356368075969,0.00211356368075969,0.00639737585080912,0.00717531389788091,0.00841998167518872,0.0170445444367512,0.0203752403890026,0.0255755632196645,0.0377107284436976,0.0377609944554131
"SNAI1",-0.0775936258655391,-0.0627289513917439,0.0631929835246306,0.0590220340074633,0.0178289556176039,-0.0685609618337967,0.0685609618337967,-0.127000354855263,-0.0179134113933083,0.0492845057810129,-0.00404769981334569,0.00188557537957444,-0.0471785611993893,0.0608864634361102,0.0609368535732456
"TGFbeta",-0.0461324680127911,0.0455311575156702,0.0940120184786113,0.00695406996824074,0.0948530800943523,-0.0283796618001379,0.0283796618001379,-0.0128978666474997,-0.195025694148685,0.0354205507151505,-0.0258988921288601,-0.0751502435774417,-0.0252846733395182,0.0145048770397075,0.0145459803659393
"miR200c",-0.0429866806322537,-0.115308622317491,0.107099675647312,-0.0340976087672177,0.111783946595942,-0.125986918036592,0.125986918036592,-0.0699408103430701,-0.111584465009167,0.0473412793782955,-0.0488205297843545,-0.0486975982304682,-0.00139787375762682,0.212284904470625,0.212176603226549
"TWIST2",-0.0298137729980015,0.00293983132792692,0.0149820651584485,-0.0669045674307591,-0.00509968404448533,-0.0529033650081867,0.0529033650081867,-0.0652319128218436,0.00510138177009892,-0.0842006029462793,-0.00418311532343966,0.0376846009180129,0.0729615949282497,0.0781643421092617,0.0781234446519402
"miR200b",0.00412895868827178,0.181289729002758,-0.0339840160140579,0.0413509660991245,0.114340927749703,0.101449067665952,-0.101449067665952,-0.00611832817562265,-0.114182059180595,-0.0398491450240796,-0.0507239519736272,-0.0928668719396441,-0.0877431015353486,-0.199190763901977,-0.199317578179229
"miR34a",0.0131831635433612,0.0396319858473587,-0.0150543856675957,0.102128125990012,0.0221262854391896,0.135386719479331,-0.135386719479331,0.0762974797045641,-0.0221402403103497,-0.00396177827506402,0.0158353499136335,-0.0797352032285252,-0.120870804149498,-0.15020456365716,-0.150143698235797
"miR101",0.0177368688331804,0.113120384173996,-0.0876582880670614,-0.0410707044968085,-0.00387191933621444,0.100898003920284,-0.100898003920284,0.0464887952365915,0.00375932059239418,-0.0613683604291567,0.00106412528221667,-0.0261841513733093,0.0307757442375919,-0.187133465116925,-0.187158356260792
"SNAI2",0.0191155522083957,-0.0538993248887537,0.0056383655713232,0.0129447867390445,-0.00456392769123404,-0.0191240701323588,0.0191240701323588,0.0446697649694299,0.00439028539436559,0.0102720859200187,-0.0233184610506925,-0.0314945180660865,-0.0796299618965829,0.0567077555776856,0.0568152655332414
"miR141",0.0429866806322537,0.115308622317491,-0.107099675647312,0.0340976087672177,-0.111783946595942,0.125986918036592,-0.125986918036592,0.0699408103430701,0.111584465009167,-0.0473412793782955,0.0488205297843545,0.0486975982304682,0.00139787375762682,-0.212284904470625,-0.212176603226549
"TWIST1",0.130601198327768,0.0829183981475254,-0.0706575689931113,-0.00379804318592348,-0.0109826018845308,0.123516607301979,-0.123516607301979,0.0138226388494514,0.0109023965588972,0.0355656681430109,-0.0172613718239495,0.10884781969672,-0.0447220413202295,-0.115240084749545,-0.115253826604902
"GSC",0.180142728845384,0.100916298141168,-0.133920573862721,-0.0607634287692567,-0.0218960262218274,0.148546238977667,-0.148546238977667,-0.0411464932287282,0.0219584927013049,-0.0389303074295539,0.0215572677329565,0.129383224571603,-0.022497869221161,-0.124837100821901,-0.124942249676319
