"","ZEB2","miR101","ZEB1","TWIST1","miR34a","TGFbeta","GSC","miR200a","TWIST2","miR200b","miR200c","SNAI1","miR141","FOXC2","SNAI2"
"SNAI2",-0.110304913819058,-0.169428079096813,-0.175298922531756,0.164628959420366,-0.127911327715858,0.123184900647347,0.124162600870601,-0.141663113358876,0.150275280736975,-0.174546960470565,0.0331139591475974,-0.0673454950972608,0.17505677394027,-0.0974779047943761,0.102400715803649
"ZEB2",-0.0931580030185656,-0.0367092235015675,-0.0327206142911171,-0.0296510567782942,-0.0204941909289091,-0.0158533069780663,-0.0153560217494674,-0.00873552247328415,0.0103896146123997,0.015792117764222,0.0193350344286391,0.0316535646942492,0.0327559498043032,0.041944793815707,0.042028637790298
"TWIST2",-0.0811255781176907,0.155386339347235,-0.173640865820445,0.279796897570844,-0.215207444049517,-0.0840154752896009,-0.0831751011108756,-0.125633091334316,-0.134589171615358,0.0490174867867836,0.0457712695908585,-0.317496938548113,0.173949575659582,-0.290947390177087,-0.0182943790271793
"FOXC2",-0.0674188356004551,-0.0906458183322991,-0.188223063698239,-0.0465423146418326,-0.187189518491079,-0.17333684305971,-0.172362691291293,-0.221975153623715,-0.0300074178378934,0.132407180005026,0.165855947742911,-0.0423547963258559,0.189029334455707,-0.0191360385288865,0.221558530491836
"miR200c",-0.0522651702982756,-0.135937133644905,-0.179664233791962,-0.107950152952256,-0.074240168832485,-0.171357389045681,-0.171638096667789,-0.114382385579032,0.0450417096399202,-0.00775372968212439,0.0648888296032569,0.115243252953474,0.179936375379639,0.163960475850722,0.158863745669528
"miR141",-0.0522651702982756,-0.135937133644905,-0.179664233791962,-0.107950152952256,-0.074240168832485,-0.171357389045681,-0.171638096667789,-0.114382385579032,0.0450417096399202,-0.00775372968212439,0.0648888296032569,0.115243252953474,0.179936375379639,0.163960475850722,0.158863745669528
"miR200a",-0.00258421203686705,0.0611698697110283,-0.210170377464398,0.0677625117309087,-0.217641879896879,-0.0198902953288718,-0.0187686593409601,-0.106465861387271,-0.0830260037288299,0.116401071572075,0.104098555510069,-0.135462551802725,0.21059710287909,-0.133091193993945,0.0107723519942796
"TWIST1",0.010974608050607,0.12144861744084,-0.109757606116478,0.140430725644947,-0.158531637717948,-0.0655892035351805,-0.0653191789388806,-0.0424139573206737,-0.10689378277089,0.0577495043322523,0.0717972034790531,-0.291959793687512,0.110087151364778,-0.366810508557018,0.0118564284412558
"miR34a",0.0117874761643474,0.037384198293456,-0.109077287614282,-0.0972589627462443,0.0127577913258221,-0.121326947237478,-0.120489048234342,-0.101675335860952,-0.0572565040069798,0.144952325088571,0.112130971424372,0.152537292792214,0.10950476103874,0.170451193418412,-0.203832602131648
"miR200b",0.020725020597063,-0.0740644464223259,0.192364232334755,-0.0800382532620495,0.208005283100734,0.00481814966128315,0.00375623869935188,0.106400874699836,0.087223076377297,-0.068919830627208,-0.0854643512150221,0.146890533467203,-0.192749303424803,0.150568923477033,0.00347205785155981
"miR101",0.0215519060637845,0.146573366365833,0.0825392825126202,0.305147901148477,-0.0857395291613543,0.0528500699559089,0.0526776531294341,0.050225768341493,0.024988089490003,-0.0512131583643882,-0.0309988815971058,-0.343280123641153,-0.0828737785692492,-0.349859099550156,0.144282162614456
"TGFbeta",0.0362693313297463,0.109762777734397,-0.0692235928860988,0.106149663397497,-0.156773019958146,-0.132780333116718,-0.0322850759701733,-0.0170818409626059,-0.124137228685622,0.120982970183035,0.048345911433969,-0.174903941718756,0.0693475303964923,-0.199124414034091,-0.0486772214256153
"ZEB1",0.0675364112323871,0.0915452459692574,0.0878651564032466,0.0473637496140532,0.186536684445224,0.173453293248462,0.17333684305971,0.221444417828276,0.0292177704062283,-0.131838851407764,-0.1655127347367,0.0421290388035447,-0.188223063698239,0.0181442902447807,-0.222203643103599
"SNAI1",0.0967378600751295,-0.128635424336654,0.113708049265134,-0.354053408211747,0.288376799063548,0.0200662991573246,0.0200841419268397,0.108125101956564,-0.0249205643499451,0.0663127917173852,-0.00694687745711794,0.332216213715442,-0.113684245335322,0.426832763027267,-0.259115254235952
"GSC",0.122091647621298,-0.0826113453314638,-0.0922145847101801,-0.0761938401006922,0.0264617190832386,-0.0774821853586426,-0.0770348244096569,0.0136696627656641,-0.0434026210254572,0.127602633234939,0.105754417333653,0.17934283599352,0.092541332318535,0.0157858347666307,-0.108378948395931
