"","ZEB2","TWIST1","FOXC2","miR200a","TWIST2","ZEB1","miR141","TGFbeta","GSC","miR200c","miR200b","miR34a","SNAI1","miR101","SNAI2"
"SNAI1",-0.104003914733647,-0.182982196733719,-0.200276896320527,0.0462147558485895,-0.0154590768724395,-0.0255195775397515,-0.0255180318300234,0.0268637839703221,-0.0268332530091519,-0.0462147558485895,0.00891342837788258,0.145681208346814,0.0707111060088959,0.204369980628546,0.136824798075446
"ZEB2",-0.0904818558499308,-0.0276073956911189,-0.00949229037588997,-0.00621869877970727,-0.00462033898892117,-0.00398064025825976,-0.00390150861605423,-0.000386006064328743,0.000276907774381009,0.00621869877970727,0.00735186634011457,0.0240969449882219,0.0287665681726981,0.0316826976478647,0.0345655182179492
"TWIST1",-0.0874457336647518,-0.114458371309167,-0.109448952647396,-0.0113208246796527,0.0843215339938263,-0.10861080802648,-0.108629735487633,-0.0166453709858247,0.0165277365082288,0.0113208246796527,-0.0620576248282888,0.135029838044089,0.211296634624928,0.127094707725987,0.0431761090668409
"SNAI2",-0.0321385216816587,-0.0384816140094054,-0.00482689085170386,0.028269628218516,-0.00800392658414507,0.0251275116467041,0.0250307191945058,0.0110541943114613,-0.0109643793303224,-0.028269628218516,-0.00323318154618816,-0.0286074296612328,-0.0320283468443599,-0.0174561100848266,-0.105476002535378
"miR34a",-0.0255231155208345,-0.0167280995797719,-0.0951505529787969,0.06890308941238,0.00272813579472739,0.031743024357794,0.0317081093098802,0.0464749776605856,-0.0465993580339695,-0.06890308941238,0.0751791867889995,0.0325387825315621,0.0802355134412229,0.0993088197590533,0.111706824112355
"miR141",-0.0232313995869627,-0.0880308464132793,-0.00812483849859949,0.018000145050498,-0.0447097674931691,0.0122306466501833,0.0122269440435482,-0.0775969256753758,0.0775742301655033,-0.018000145050498,0.0212141798294226,-0.0218510024226735,0.043137778571552,0.0511611752063963,0.0586548339176373
"miR200c",-0.0150988091684893,-0.111951431047268,-0.0472099419375854,0.00709202717858272,-0.0224234236185303,0.000182606710676857,0.000209450608781122,-0.0854749247369977,0.0855047872499879,-0.00709202717858272,0.000679593130568226,0.101022493042008,0.111613804807092,0.125254426996062,0.138387318657253
"ZEB1",-0.00762342018445285,0.0282302241959421,0.0986686021586623,0.0103826832257459,-0.00346892262117102,-0.0846322795981599,0.0152704738819121,0.000606676045649401,-0.000551650132283223,-0.0103826832257459,-0.0121047474845782,-0.025885442464115,-0.103813830226771,-0.110109534728195,-0.115574262507643
"miR101",-0.00567755654339291,0.206707502815133,0.223812439294724,0.0387626104845318,-0.000535030132124544,0.075501799912477,0.0755669260560205,0.0129434981523298,-0.0127992310118101,-0.0387626104845318,-0.00375229961213176,-0.117450932712947,-0.20983799107104,-0.236468004810294,-0.162774721272615
"GSC",0.00399724947766285,0.090960819000539,0.219143142558425,-0.0271494827031738,-0.000674832746369066,-0.0701445775832029,-0.0700767713125969,-0.0193018976129893,0.0194640580698148,0.0271494827031738,-0.0594619398708371,-0.0490685797523335,-0.189693858468436,-0.167720076797481,-0.0421754820898739
"FOXC2",0.00781562820743489,-0.0279733390773567,-0.0987380091147817,-0.0103195968552958,0.00359832972535695,-0.0152704738819121,-0.0152352329084069,-0.000551650132283223,0.00061253461780932,0.0103195968552958,0.0120586169166186,0.0257951648417739,0.103777379793482,0.10993770731402,0.115652408981081
"miR200b",0.018087504886817,0.0990425882120897,0.0118569117336103,-0.0118405989528873,0.0463100695203071,-0.00458214727887351,-0.00452753383100621,0.0830657402312473,-0.0830597677286493,0.0118405989528873,-0.0548416762149226,0.0106704645366866,-0.0522214538946637,-0.0612193051274064,-0.0697180290272707
"miR200a",0.018087504886817,0.0990425882120897,0.0118569117336103,-0.0118405989528873,0.0463100695203071,-0.00458214727887351,-0.00452753383100621,0.0830657402312473,-0.0830597677286493,0.0118405989528873,-0.0548416762149226,0.0106704645366866,-0.0522214538946637,-0.0612193051274064,-0.0697180290272707
"TWIST2",0.0697055342362066,0.16072293242591,0.102603209166856,-0.0799698692497686,-0.0538516431111721,-0.0880886690822869,-0.0880798739301747,-0.0295447016373566,0.0295826175093934,0.0799698692497686,-0.00242762199963424,0.00539914153492913,-0.0651742263712488,-0.0279338354316671,0.0294580974547009
"TGFbeta",0.0865122645040773,0.0934147568030108,0.0198963936382403,-0.0227750320644172,0.0762950792791543,0.0493757528329102,0.0495047105968892,-0.101482691829114,0.00169240983905113,0.0227750320644172,-0.0616933162384593,-0.103742064481543,-0.05548338488376,-0.0812930414125362,-0.10701842221059
