"","ZEB2","miR34a","miR200b","miR200c","miR200a","ZEB1","TWIST2","TWIST1","FOXC2","GSC","TGFbeta","miR141","SNAI1","miR101","SNAI2"
"miR34a",-0.134164364068301,0.0638702642922919,0.108030786909966,0.124424260857805,0.124424260857805,-0.0481584867760273,-0.0284548362402675,0.12165926293343,-0.0701623186129993,-0.0552384440087668,-0.0552354103411233,0.0481650923256326,-0.175523048202863,-0.118675803751637,-0.0863331490817777
"ZEB2",-0.0809158258567355,-0.0246658554572962,-0.0172471673959991,-0.0100277109855008,-0.0100277109855008,-0.00462166513590624,-0.00338920964133217,-0.00207214234014957,0.00238017486882642,0.00443429859226368,0.00444698443993202,0.00462913038517091,0.030542397493737,0.0316663009920284,0.0327527260529259
"miR200b",-0.0302181014901332,0.104327411741733,0.0472455065070234,0.0117187785181373,0.0117187785181373,0.00428780365830817,0.0167405439308543,0.010480472866302,-0.0119225184053359,-0.114481552909728,-0.114391965370757,-0.00435167362276315,-0.120250502502863,-0.125681234347308,-0.130836544752643
"miR200a",-0.0302181014901332,0.104327411741733,0.0472455065070234,0.0117187785181373,0.0117187785181373,0.00428780365830817,0.0167405439308543,0.010480472866302,-0.0119225184053359,-0.114481552909728,-0.114391965370757,-0.00435167362276315,-0.120250502502863,-0.125681234347308,-0.130836544752643
"miR141",-0.0302181014901332,0.104327411741733,0.0472455065070234,0.0117187785181373,0.0117187785181373,0.00428780365830817,0.0167405439308543,0.010480472866302,-0.0119225184053359,-0.114481552909728,-0.114391965370757,-0.00435167362276315,-0.120250502502863,-0.125681234347308,-0.130836544752643
"miR101",-0.0185460932507064,0.041507365688043,0.0558943871295232,0.0465639702763684,0.0465639702763684,-0.0790700493015642,0.00932647978934063,0.172387803230294,-0.0652276894840046,-0.0299092186077598,-0.029910977963132,0.0790826653607847,-0.1733102011522,-0.181663694920474,-0.0887704244006091
"SNAI2",-0.0155060074365035,0.0175255879477819,-0.00455353418159099,0.0173467033838302,0.0173467033838302,-0.0189549435753444,-0.0948543224066946,0.143313889154626,-0.0124875101117287,-0.00137834622656495,-0.0012902420069716,0.0189070497322152,-0.0738204521955988,-0.000895721842556355,-0.0232577870483797
"ZEB1",-0.00136840449841982,0.00255485150441864,-0.000839014199334729,0.00167121204494788,0.00167121204494788,-0.0972619317554425,-0.0196854049050266,0.0895415311965554,-0.0854098536321931,0.000548930867169075,0.000545091849957481,-0.00272152631075537,-0.0783439089025002,-0.0691037723926679,-0.0616138752795335
"FOXC2",0.00129999147329062,-0.00259737897940577,0.000843627256130684,-0.00167757855939697,-0.00167757855939697,-0.00272152631075537,0.0197197374020555,-0.0894608812174647,0.0853157686472313,-0.000327532737983267,-0.000548930867169075,0.00285928647991204,0.0783474363637863,0.0689935658442659,0.0616284266918289
"GSC",0.00426776854258578,0.0281395050268164,0.00739246079132791,0.0118686998754081,0.0118686998754081,-0.049268276905038,-0.0186623262106846,0.187729095765989,-0.0470880291679439,-0.00922795644360034,-0.00926644589055115,0.049292844394388,-0.0737181682965137,-0.0823349784236181,0.0104008526650503
"TWIST1",0.0108102171522181,-0.0486017953553251,-0.0485216889768933,-0.0176087228004929,-0.0176087228004929,0.0541766821946318,-0.0923632623678988,-0.0723963117766954,0.171209190369975,0.0233661228683236,0.0233661228683236,-0.0541852384441943,0.160355801007138,0.121369348043759,0.115770468274454
"miR200c",0.0302181014901332,-0.104327411741733,-0.0472455065070234,-0.0117187785181373,-0.0117187785181373,-0.00428780365830817,-0.0167405439308543,-0.010480472866302,0.0119225184053359,0.114481552909728,0.114391965370757,0.00435167362276315,0.120250502502863,0.125681234347308,0.130836544752643
"TGFbeta",0.0992438919117194,-0.098842574015328,-0.133962197609075,-0.0436960907355163,-0.0436960907355163,-0.0105810584900792,-0.0814922927140982,0.047887612910272,-0.00550761222038417,0.211221667921212,0.111179724319224,0.0105939228898922,0.0802992644874995,0.0998452115253192,0.120388154759389
"TWIST2",0.141122533183953,-0.0870595676357079,0.00122718596199045,-0.0356703195728168,-0.0356703195728168,-0.0690257010006081,0.125229899490061,-0.257437027756543,-0.0304600243793453,-0.00901245954805384,-0.00904584815178771,0.0690450503352549,0.121120999268827,0.0219413851037088,-0.0817429053265037
"SNAI1",0.165524957724837,-0.123378354082088,-0.0998039846695929,-0.0999788699955225,-0.0999788699955225,0.0548184028016931,0.0103352390857026,-0.186872296964266,0.0668231576875842,0.0431327970733552,0.0431728441782667,-0.0548499352801459,0.0820235929123649,0.191403324708691,0.099239728492049
