"","miR200c","SNAI1","miR141","miR101","ZEB1","TWIST1","miR34a","TWIST2","SNAI2","FOXC2","GSC","TGFbeta","ZEB2","miR200a","miR200b"
"miR101",0.0946185495604214,0.0212312363093064,0.00126818690303392,-0.0242100772059177,-0.00126034448784282,-0.00136424886743879,-0.0406411520019806,-0.0336486838865502,-0.0734640888262819,-0.102404624643077,-0.0198772287896656,-0.0198508384590827,-0.190054872897896,-0.0946185495604214,-0.0623289513652282
"miR200b",0.0893287499839794,-0.0664458014999979,0.00253184070718393,-0.0485977664079925,-0.00253369201050147,0.0600426393757585,-0.00652667329549883,0.0770308820924219,0.164907442437465,0.10054558877726,0.057838697846933,0.0577873343245899,-0.180883432010386,-0.0893287499839794,-0.130354108831509
"GSC",0.0436341084479744,-0.0957835381983811,0.0543005741295704,0.116474851692115,-0.0543187540716894,0.194406639988217,0.0292953243474415,-0.00554009302748642,-0.0348515003421728,0.22432315076262,-0.0316371846921582,-0.0316428634630198,-0.140227987065722,-0.0436341084479744,-0.0865523940157419
"TWIST1",0.0956825470057931,-0.032164674753473,-0.0652025212688403,0.102862160433973,0.0652079661549255,0.114691177722256,0.0567784827367112,-0.0907301617288919,-0.139634484867198,0.233437598359488,0.0121980882955345,0.0122074455835251,-0.137359214667463,-0.0956825470057931,0.0110785761230557
"TWIST2",-0.00304048004375348,0.119348898834315,0.118167511790497,-0.00904124959604261,-0.11815124075909,-0.164272148022682,-0.114208102210855,-0.140799468545106,-0.0956543046018859,-0.14226335762611,-0.0282784775120096,-0.0283163933840463,-0.107958780678229,0.00304048004375348,-0.0359106571860747
"ZEB1",0.0184665076213115,-0.0857911012945719,-0.000361182380748036,0.0805216148227773,-0.0996157591660732,0.0141357445977435,0.00254822415181726,0.0129505349181944,-0.0758359117356871,0.106336286236785,-0.00555891253227648,-0.00561905713525811,-0.0485225992810966,-0.0184665076213115,-0.0185402627837729
"miR34a",0.0969269690170242,-0.0262529369689428,-0.0609686966671169,0.105924746146723,0.0609672811922015,-0.00835447721665586,0.0450935801800269,-0.0161738374487438,-0.158886694169926,0.0737172155625099,0.0504631978469912,0.0504989951251846,-0.0460360112463288,-0.0969269690170242,0.0884334410367508
"SNAI1",-0.016564348244497,-0.0709299588325682,0.0865315022312364,-0.0449174807754352,-0.0865234645406504,-0.000603636176002413,-0.104411526945412,-0.0643228644029184,-0.0417863777714121,-0.109064423030877,-0.0204791015590263,-0.0205199416759163,-0.040470552544298,0.016564348244497,-0.025788824510094
"TGFbeta",0.00728548652686686,-0.10313489333779,0.000174429276920165,-0.0254852198424253,-0.00018603861333677,0.0478597946626712,0.102291192917724,0.174352051659025,0.157130993740608,0.135713291065987,-0.0109407233262907,-0.110982666928278,-0.0168921857009102,-0.00728548652686686,-0.128739312938131
"FOXC2",-0.0184543533664541,0.0857993320375728,0.000349435389579638,-0.0805227998394268,-0.000361182380748036,-0.0140670427637033,-0.00253703271103118,-0.0129690216473638,0.0758827996197501,-0.10631006583114,0.00564193683072115,0.00555891253227648,0.0485347418526563,0.0184543533664541,0.0185384175610545
"ZEB2",-0.175731457083971,-0.0504378101387911,-0.0274427921583546,0.000946754679022921,0.0274253732434037,0.0367021637977007,0.0439209221520088,0.0465605060352199,0.0486703655930372,0.0586420298960917,0.0670449241217804,0.0671083533601221,0.074747941952945,0.175731457083971,0.19266496255534
"SNAI2",-0.0572799426307328,0.0424834175301604,0.0374589020371909,-0.210766367133224,-0.0374525385195723,-0.167434917833298,-0.037630490887779,0.174939024959944,0.083175234111213,-0.0920030327373662,-0.197894720259287,-0.197921237063242,0.0785877998324014,0.0572799426307328,-0.180189874761622
"miR200a",-0.0893287499839794,0.0664458014999979,-0.00253184070718393,0.0485977664079925,0.00253369201050147,-0.0600426393757585,0.00652667329549883,-0.0770308820924219,-0.164907442437465,-0.10054558877726,-0.057838697846933,-0.0577873343245899,0.180883432010386,0.0893287499839794,0.130354108831509
"miR141",-0.0893287499839794,0.0664458014999979,-0.00253184070718393,0.0485977664079925,0.00253369201050147,-0.0600426393757585,0.00652667329549883,-0.0770308820924219,-0.164907442437465,-0.10054558877726,-0.057838697846933,-0.0577873343245899,0.180883432010386,0.0893287499839794,0.130354108831509
"miR200c",-0.103434311292028,0.122098857415836,-0.0116906052821683,-0.00235625657171406,0.0116822744172394,-0.0719130421888533,-0.0924448695546379,-0.10814352165965,-0.118387015149228,-0.145973696576596,-0.0581491330615214,-0.0581694395703548,0.219508951568251,0.103434311292028,0.115134177753707
