"","ZEB2","TWIST2","miR200a","miR34a","GSC","miR141","ZEB1","TGFbeta","FOXC2","miR200b","TWIST1","miR200c","SNAI1","miR101","SNAI2"
"SNAI1",-0.143845600078246,-0.151138756169008,0.186483347396056,0.324272307750277,-0.0843509296362142,0.219296696843402,-0.219392221704597,0.0844504526395091,0.372710778056618,0.149260558997558,0.349296977469308,-0.186483347396056,0.243039045104641,0.242483974843947,0.048114825404503
"miR101",-0.105520842619782,-0.107811738715244,0.14136669558308,0.212862654907322,-0.0676186752464072,0.17044161396857,-0.170641084094083,0.0679300811472851,0.330401986642131,0.144814024767855,0.315805454765918,-0.14136669558308,0.302678013369608,0.218940803235523,0.0372549395531299
"ZEB2",-0.093773712369957,-0.0124810971568803,-0.00268647825278496,-0.00139308501188892,-0.000713991097207096,-0.000392693922114477,0.000347404743242128,0.000835775234823171,0.000840245323301337,0.00115712122877582,0.00196135003119714,0.00268647825278496,0.0259555732833102,0.0283296383330619,0.0311460941025638
"SNAI2",-0.0397101032932937,-0.105277990346812,0.051802722934843,0.0761653498639867,-0.0260307442907148,0.0621351202876326,-0.0621213884864557,0.0259700122558495,0.134710912205235,0.0514748313906531,0.169810307350391,-0.051802722934843,0.102879004656882,0.0774265622560742,-0.046097684270147
"ZEB1",-0.0174983953327891,0.0196623763498472,-0.0122424529321433,-0.0387974790917628,0.00668118424783818,-0.0305592598087363,-0.069455778312902,-0.00665687047216475,-0.124680805628776,-0.00317038711037677,-0.102178832188546,0.0122424529321433,-0.0944862527820698,-0.000657429453851276,0.0945905570567758
"miR34a",-0.0135445249290612,-0.107250740022557,0.158652306541211,0.218431341424048,-0.0577720904652134,0.192152982052413,-0.192283677569604,0.0579401556526637,0.273736847135866,0.0669732431243859,0.213343447527469,-0.158652306541211,0.258922260371547,0.0989547966554303,-0.0551004250101071
"TWIST2",-0.0100252910846371,0.136019565967626,-0.0837001451446128,-0.166419050388664,0.0506710311780668,-0.172607766001892,0.172708470493576,-0.0507960969649343,-0.209073717286924,-0.0771406790776885,-0.29225746631136,0.0837001451446128,-0.165411722284644,-0.101608531498566,-0.0491014909014685
"GSC",-0.00361406590945226,0.0267002641988274,-0.00368135842467188,-0.0807469656717222,-0.00070377396071543,-0.0103040254700773,0.0103207313628353,0.000762454592951919,-0.252604580763043,0.0224383828918876,-0.220575549533954,0.00368135842467188,-0.123908042477395,-0.101865130769929,0.0180210307938205
"miR200c",0.00989056796038541,0.104986513458182,-0.0284311762365263,-0.153211905010081,-0.0726363107148046,-0.0449750399736329,0.0451305494523059,0.0724081611155595,-0.0665034175535718,-0.0544307716779099,-0.092257687306232,0.0284311762365263,-0.17141022142011,-0.120502654006631,-0.0709477441741771
"miR200b",0.00989056796038541,0.104986513458182,-0.0284311762365263,-0.153211905010081,-0.0726363107148046,-0.0449750399736329,0.0451305494523059,0.0724081611155595,-0.0665034175535718,-0.0544307716779099,-0.092257687306232,0.0284311762365263,-0.17141022142011,-0.120502654006631,-0.0709477441741771
"miR141",0.0127211587148053,0.100771339122608,-0.0325991543362951,-0.156106855273951,-0.0678374088353942,-0.0509008462005821,0.0510517274209612,0.0675208661976981,-0.0659188016420863,-0.0895278065473555,-0.091150186538691,0.0325991543362951,-0.162645259697124,-0.11112256699674,-0.0613988729219469
"FOXC2",0.0175265305595738,-0.0200638024689546,0.0122441892542658,0.0385773807563031,-0.00643764630573379,0.0304385861721882,-0.0305592598087363,0.00668118424783818,0.124580551136604,0.00324050557367529,0.101874154489759,-0.0122441892542658,0.0945509229056486,0.000618323904418306,-0.0948799684790955
"TWIST1",0.0282235817086668,0.145806898872972,0.00402250285078618,-0.103427334626235,0.0108523896323219,0.0236858734762418,-0.0235476770817935,-0.0110141370390164,-0.19305514816998,-0.039914149725667,-0.261127784500686,-0.00402250285078618,-0.280332615602808,-0.175729698751574,-0.106994417957392
"miR200a",0.0298105042697368,0.0612583583751564,-0.0232721978155798,-0.0162846402258359,-0.0803753285448796,-0.0167138557267759,0.0167601383097143,0.0802690179986345,-0.00449177748542844,-0.0552086649970141,-0.00917307436082789,0.0232721978155798,-0.0992037080611192,-0.110921487054718,-0.124057354860205
"TGFbeta",0.0987312106250153,0.168515700289904,-0.119422884033059,-0.204651977933582,0.0471359054361071,-0.136066448857405,0.136201681938366,-0.147226245501926,-0.101397063812252,-0.180318789192879,-0.120113182040414,0.119422884033059,-0.186762372589384,-0.138093545846675,-0.0920443316281465
