"","ZEB2","FOXC2","SNAI2","miR34a","miR200a","miR141","ZEB1","miR200b","TGFbeta","GSC","miR200c","TWIST2","SNAI1","miR101","TWIST1"
"ZEB2",-0.091887546026346,-0.0398004253024393,-0.0350240805627677,-0.0241855918526747,-0.00531625389837744,-0.00348289476029398,-0.00348239707700967,0.000119155116534878,0.000920089302592821,0.000927700811193826,0.00390896451718979,0.0303704568614534,0.0314276708138028,0.0332341227774205,0.0383762443967044
"TGFbeta",-0.0765590401585336,-0.134190479055027,-0.106131326613288,-0.0884346609436863,0.0410525254256522,0.00243376402771258,0.00244662842752557,-0.129285952847012,-0.112214486756162,-0.0123322514848192,-0.0384544825511983,0.134452125870678,0.0760661795681956,0.0903138906834706,0.122225326113947
"SNAI1",-0.0628669074943338,-0.108895934252343,-0.0901694584970033,-0.0944350305287023,-0.00565940732240368,-0.0846789517876157,-0.0846437096058155,-0.0281863022958719,0.0201295204007877,0.0202306294280395,-0.0769069306552803,0.0925578925428462,-0.0806480888344736,0.103126338114196,0.0456800956752736
"TWIST2",-0.0586294362848146,-0.0423167882123156,0.039629279993907,-0.00807685635546009,0.0403963446656188,0.0191114377587825,0.0190454741179413,-0.0195210850502944,-0.0157222544811858,-0.0158507157192805,-0.0193115104618867,-0.0628178406037038,0.0046736840889079,0.00115427805597324,0.115985248041275
"GSC",-0.0568888135257573,-0.130068978235639,-0.0449162525766523,0.0146206595387662,0.0632970709307419,0.067704930542911,0.067631719424648,-0.0838364256074116,-0.051877074938545,-0.0519710901450314,-8.48267882128285e-06,0.0136987280766629,-0.00446882134350221,0.0683301438192111,0.0998726545857371
"miR200b",-0.0212415147042654,-0.171022374908383,-0.140416850455448,-0.10215621236945,0.0104458048009163,0.00103613745922122,0.00111944610851032,-0.0494569371949624,0.0872587801257727,0.0871906935961551,-0.00969183369750221,0.125012106409063,0.124126393022213,0.132471799999303,0.164521605075935
"FOXC2",-0.02002640037499,-0.157810598749515,-0.122690454585971,-0.0271912388162231,0.0049502231873647,-0.00657053441378969,-0.00637297138050299,-0.018997721998375,-0.00323366485927689,-0.0038591145742268,-0.0124225141389164,0.123899523701967,0.120118555912321,0.121225584127611,0.138319521940366
"miR101",-0.0163306927538555,0.0658404527378207,0.0720360525675174,0.0250388828947292,0.00230180904088674,-0.00900917567593032,-0.00890586038015193,0.0120717200563577,0.0107894525508258,0.0108439925673638,-0.0121506102985504,-0.0259457831225525,0.012681550676456,-0.07908269235924,0.00261728397726867
"miR200c",0.00203636399675894,0.0975440016106393,0.0659378230994723,-0.0107586956583626,-0.00100207299360061,0.000824977582319698,0.000934204478054295,0.0307562326929483,-0.0833769692744205,-0.0837795159495283,0.00159549795540358,-0.0148864452102279,-0.0546490900263308,-0.060246528291959,-0.0674201813783736
"miR200a",0.00203636399675894,0.0975440016106393,0.0659378230994723,-0.0107586956583626,-0.00100207299360061,0.000824977582319698,0.000934204478054295,0.0307562326929483,-0.0833769692744205,-0.0837795159495283,0.00159549795540358,-0.0148864452102279,-0.0546490900263308,-0.060246528291959,-0.0674201813783736
"SNAI2",0.00267065995327157,-0.00749300611592026,-0.100814593789173,-0.0166219563144027,-0.00543353498835324,-0.00791056660213638,-0.00792898731103224,0.00653989521143574,0.00562346174914931,0.00577486414592624,-0.00306615392912782,0.00816924007194545,0.0246829030002408,0.0113580209540817,-0.0380756928453817
"miR141",0.0061111244770203,0.0812837458102166,0.0546789215344884,-0.021896762156202,-0.00641845619552692,-0.00636313017202112,-0.00627519326443818,0.0665087419495615,-0.0760370239645629,-0.076508851669808,-0.000104900238330163,-0.00368007266512305,-0.0443668818704454,-0.0494189755089036,-0.0518833288100189
"ZEB1",0.0200118885211748,0.157747361300606,0.122862376827536,0.0270890236570435,-0.0051082285005104,0.00637297138050299,-0.0935197566851434,0.019070608295751,0.00323110551446916,0.00323366485927689,0.0123663730569562,-0.123685605835864,-0.120187929317614,-0.121146188012096,-0.138292638614002
"miR34a",0.0862115079318785,0.161584152441834,0.0986824299650232,0.0810873462325846,0.0482366184026115,0.0704279653882531,0.0703779519412414,0.026546851738425,-0.0373277109952169,-0.0371438707360203,0.116145065071937,-0.235889507207075,-0.0962708812041225,-0.0949380296716633,-0.146225412206826
"TWIST1",0.0885348304700749,-0.0290710296457355,-0.022659973994556,0.039075904471743,-0.0430387772264442,-0.0144130529119643,-0.0143458993169135,0.0162745632918809,0.0053846918020814,0.00543949877459771,0.0471485945249979,0.0498775008649105,0.00509930469064302,-0.0187670510967673,-0.00993404995703953
