"","miR200b","miR200c","miR200a","GSC","TGFbeta","miR141","miR34a","TWIST2","miR101","TWIST1","SNAI1","FOXC2","SNAI2","ZEB1","ZEB2"
"miR200c",-0.0232505279941695,-0.0051425600191764,-0.0051425600191764,-0.0741870728830638,-0.0742408254064462,0.259712179141884,0.244818879577223,0.123582420410955,-0.0552629665948321,0.129173751546083,0.118406042094561,0.0599760560356187,-0.00787541622559943,-0.259659416997334,-0.25662162934246
"miR200b",0.205976976054204,0.220040708515785,0.220040708515785,0.137503929063281,0.137574404593937,-0.227658477385039,-0.225224198271846,-0.106497667344342,0.0680498925355067,-0.140040579896331,-0.128539917888732,-0.0726869163874354,-0.00738667879278372,0.227636261745228,-0.211466401988084
"miR141",0.205976976054204,0.220040708515785,0.220040708515785,0.137503929063281,0.137574404593937,-0.227658477385039,-0.225224198271846,-0.106497667344342,0.0680498925355067,-0.140040579896331,-0.128539917888732,-0.0726869163874354,-0.00738667879278372,0.227636261745228,-0.211466401988084
"SNAI1",0.00987125117348563,-0.0399262751411177,-0.0399262751411177,0.0316594618796609,0.0315980034513313,0.198184035888039,0.25745819824169,0.175667754354124,-0.0756260357897543,0.243420188340602,0.0835319393130623,0.0515447232555025,-0.131014119049071,-0.198143538293163,-0.145188578513558
"SNAI2",0.0187246624224099,0.0456891520963969,0.0456891520963969,0.00252685321665176,0.00254652697442504,-0.0332420372782287,-0.00831410643476147,-0.0867338713078173,-0.0441400483690804,-0.0599438160182173,0.0231127233665886,0.0410308831224062,-0.0299919538416798,0.0332336642287306,-0.0602582067056711
"ZEB1",0.196214503305211,0.215176865638671,0.215176865638671,-0.00377755785216931,-0.00372765062841859,-0.218687028967502,-0.2286893073285,-0.226395418105236,-0.0128645195643076,-0.123436785228186,-0.102409118652193,-0.0777442402499304,0.125883113543278,0.11866697813865,-0.0107016920141327
"FOXC2",-0.196148075287349,-0.215124197200956,-0.215124197200956,0.00387718701030293,0.00377755785216931,0.218694504325518,0.22871392849823,0.226508979441563,0.0128965150138437,0.123508474098489,0.102424404317766,0.0777612063947596,-0.125933235074518,-0.218687028967502,0.0106646719788897
"miR34a",-0.0509802204169805,-0.197845871906457,-0.197845871906457,0.0213777665792954,0.0212897902176337,0.236244681831035,0.178159729160854,0.295663989311367,0.0361335299177941,0.151487797313364,0.0814766038922414,0.02177017107444,-0.147088548726383,-0.236188062834418,0.0391197479833102
"GSC",0.0437405067441194,0.0308372080287935,0.0308372080287935,-0.00218938662673736,-0.00221778048104534,-0.117879576221465,0.0196525699249671,0.0519079012086316,-0.100211428630514,0.112911152146825,0.186327141161896,-0.00237545402540658,-0.0875823585619311,0.117913970706555,0.0522397418286228
"miR101",-0.135799411929367,-0.178587500484652,-0.178587500484652,-0.00693202352634215,-0.00703582549330145,0.238943181101354,0.23229428526071,0.17500186547936,-0.0878935298983814,0.26811695381862,0.216557145737361,0.0838263349344479,-0.139482769124873,-0.23890124122881,0.115751483980858
"TGFbeta",0.0863928331499954,0.0166175716017255,0.0166175716017255,0.175369395961278,0.0754145659941871,-0.144266137992555,-0.169101369025921,-0.00647207289883893,0.0493134527250443,-0.0789296523341294,-0.0774717207560488,-0.0391534491723858,-0.0235556895380862,0.144223152071228,0.119198216322939
"ZEB2",-0.232721358814839,-0.226274072034853,-0.226274072034853,-0.0857004896229882,-0.0856878037753199,-0.0695514682579144,-0.047405023885655,-0.0457112999730349,-0.0379009668373559,0.0273032879249247,0.0311311425950261,0.0315921150823389,0.0443686711362528,0.0695211095775714,0.20487933925324
"TWIST1",-0.103856614434635,-0.102161411999279,-0.102161411999279,-0.0390691924068182,-0.0390197324560108,0.0162848383606046,-0.0784776615243924,-0.144781012930702,0.00905081480947434,-0.189113207271969,-0.173634165846794,-0.156226258192398,0.122672914938896,-0.0163540661979736,0.222819821716742
"TWIST2",-0.109237446168893,-0.166974258753417,-0.166974258753417,-0.0311662494358456,-0.0311475744540961,0.0866002877442088,-0.0500924622899271,0.0306200309105561,0.0829449076746002,-0.0501504986325607,-0.190174891685624,-0.110630079703929,-0.0142592179136642,-0.0866411852015303,0.25753593908011
"miR200a",-0.139904515181812,-0.207626151250813,-0.207626151250813,0.0776304111134217,0.0775981595993923,0.156183754879906,0.0813949427016904,0.0801852254907311,0.0661616794800716,-0.0287643589902142,-0.0511531328280969,-0.0396496099190913,-0.0806696863049846,-0.156230037462845,0.265833531390902
