"","miR200b","miR200c","ZEB1","miR141","GSC","TGFbeta","TWIST2","FOXC2","miR101","TWIST1","SNAI1","SNAI2","ZEB2","miR34a","miR200a"
"miR141",0.119424878819347,0.097698004189151,0.0279178840438437,0.0278336497428959,-0.0632010787550673,-0.0631664382399987,0.0250365783644988,-0.0107592196049259,0.00226608049525817,0.0187795087555997,0.0615928443205428,0.0661107453755981,-0.225246727163195,-0.0125173275565678,-0.126840984578642
"SNAI1",-0.0300257182108986,0.12481712048347,-0.0853997716877432,-0.0854340864437065,0.0197234936003106,0.019722304082343,-0.0492446103219259,0.136060991916218,-0.312352971681941,-0.28939594808119,0.210999080397986,-0.21357707159293,-0.179522067926538,-0.148256454432467,-0.0411160728516809
"miR200a",0.0328354179539507,0.0725280808185415,0.0288414786838257,0.0287794600226882,0.105258818872601,0.105255235371042,-0.112351409133532,-0.0196944820567635,0.00240278158354415,-0.026721724326796,-0.134650065416877,-0.130170931914078,-0.172965888657904,0.0863005246003901,-0.102745067989127
"miR200c",0.0615119515938526,0.068470077563659,0.0206122648408119,0.0206566961204327,0.100283034897019,0.100246005380911,-0.01134129858312,0.0161067214751732,-0.00355604527795836,-0.0199322324915741,-0.062721868797688,-0.0699480126347822,-0.156140504495154,-0.0249080502795069,-0.0899313075103028
"miR101",0.0653102954601378,0.0289644423653919,0.0124103693866063,0.0123820684970037,0.0188183724111712,0.0187831853037273,0.00472872074244652,-0.137515707087895,0.275055490098745,0.249601315943955,-0.295835701667072,0.154971025334529,-0.0688610640851657,0.0828933855613249,-0.0428817291469399
"TWIST2",-0.0205342581234646,0.0584300057135908,-0.0606742917275442,-0.0606593399689535,0.0145272570533219,0.0144667048397707,-0.102735662730308,0.0220226674253378,0.0307728675689082,0.1653574571011,-0.107048783754343,-0.0525077779612149,-0.0558920445802483,0.0775340339235091,0.00145511848694137
"FOXC2",0.0045401089014742,0.00161996740306286,0.0097140164448641,0.00959120699173993,-0.00311220983079154,-0.00307346515818402,-0.100779131548713,-0.0950507747872581,0.00729643020566262,-0.00777513022281475,-0.10768950811313,-0.0925710383685407,-0.020525741872002,0.0109380809446554,-0.0123289701977432
"SNAI2",0.203013213149852,0.00905570103018182,-0.0188149966294722,-0.0188461443736052,0.208317226653808,0.208412173919583,0.190940682811672,-0.0458037320080732,0.328711805554546,0.254897218442812,-0.214545395423821,0.148058723083734,0.00260083936563808,0.0913850739116001,0.00955840040550064
"ZEB1",-0.00457424552176427,-0.00152099704208149,-0.109731560920109,-0.0097140164448641,0.00307346515818402,0.00303251564126035,0.100816105007052,0.0950214696280076,-0.00733079568849765,0.00780201354917833,0.10771655198299,0.0925769667216981,0.0204904987984506,-0.0108627252433625,0.012363117866152
"GSC",-0.107856903909508,0.0241808406737733,-0.0941302389855815,-0.0941828134127904,0.00914864255526597,0.00920479928934175,-0.0754958909896973,0.0725962370457971,-0.189897370006518,-0.241491127503833,0.12245135697228,-0.154764692136492,0.0360805456944204,-0.0104245837038521,0.0696162170381248
"TWIST1",-0.0456615226256703,0.0394942342042256,-0.136105819300011,-0.136160527441153,0.0370138486342969,0.0371221258239023,0.0599908721943647,0.19104851393295,-0.0542439042044679,-0.104219268940074,0.18152061197343,0.0409368804189459,0.0599372977677105,0.00772382269893103,0.104066884275833
"ZEB2",-0.21803019641587,-0.145819243468666,-0.0865717508340359,-0.0865533365525164,-0.0394697114133761,-0.0393073325632213,-0.0379146094813346,-0.0130261604268101,0.00296639710052888,0.00312120982482251,0.00838515508815175,0.0145298157723483,0.0638095455180929,0.0856694571381272,0.217494834827542
"TGFbeta",-0.137798749821162,-0.0568025882604104,-0.000584702504720672,-0.000541089051696127,-0.0136789081921994,-0.113767635042558,-0.130203151537982,-0.0123662079763667,0.000207067376787427,-0.0406938412333768,-0.0947208149460283,-0.0950492097555463,0.116394862241706,0.0995040666473541,0.0572777435584473
"miR34a",-0.00627327661556076,-0.164076530737034,0.121370848123761,0.121432657195068,-0.0711801725074935,-0.0712851374079588,-0.15605410470855,-0.102375417747946,0.0291610800029675,-0.02117434501709,-0.0864258506546306,-0.0372746901364123,0.124565476444629,-0.0163430967706824,-0.0628043641944077
"miR200b",-0.119424878819347,-0.097698004189151,-0.0279178840438437,-0.0278336497428959,0.0632010787550673,0.0631664382399987,-0.0250365783644988,0.0107592196049259,-0.00226608049525817,-0.0187795087555997,-0.0615928443205428,-0.0661107453755981,0.225246727163195,0.0125173275565678,0.126840984578642
