"Nature","Strength","Type","Node"
"P",0.319417679095098,"TS","Patched,DSH"
"P",0.487846153846154,"TS","Patched,RAF"
"P",0.624166666666666,"TS","Patched,SHH"
"P",0.419230769230769,"TS","Patched,PI3K"
"P",0.215384615384615,"TS","Patched,ILK"
"P",0.752483374959179,"TS","Patched,SNAI2"
"P",0.479785377238546,"TS","Patched,cateninnuc"
"P",0.518468468468469,"TS","Patched,SOSGRB2"
"P",0.508262820512821,"TS","Patched,RAS"
"P",0.56243631778058,"TS","Patched,MEK"
"P",0.324908424908425,"TS","Patched,AKT"
"P",0.346666666666667,"TS","Patched,CD44"
"P",0.378148148148148,"TS","Patched,IKK"
"P",0.527544412300439,"TS","Patched,ERK"
"P",0.124642740771773,"NF","Patched,Csn"
"P",0.156627906976744,"TS","Patched,STAT"
"P",0.327272727272727,"TS","Patched,cMet"
"P",0.188730158730158,"TS","Patched,Jagged"
"P",0.387179487179487,"TS","Patched,DELTA"
"P",0.3557343550447,"TS","Patched,NFB"
"P",0.171851851851852,"TS","Patched,SRC"
"P",0.624166666666666,"TS","Patched,SMO"
"P",0.66928259766616,"TS","Patched,TWIST1"
"P",0.349067599067599,"TS","Patched,NOTCH"
"P",0.624166666666667,"TS","Patched,FUS"
"P",0.716034482758621,"TS","Patched,TGF"
"P",0.338556067588326,"TS","Patched,cfos"
"P",0.538556067588326,"TS","Patched,CDC42"
"P",0.351206636500754,"TS","Patched,NOTCHic"
"P",0.502555043522785,"TS","Patched,TCFLEF"
"P",0.705617816091954,"TS","Patched,TGFR"
"P",0.395603975535168,"TS","Patched,SMAD"
"P",0.681929590017825,"TS","Patched,ZEB1"
"P",0.459543721909313,"TS","Patched,PAK1"
"P",0.259543721909313,"TS","Patched,LIV1"
"P",0.259543721909313,"TS","Patched,EGR1"
"P",0.373787281662044,"TS","Patched,Csl"
"P",0.599870211242392,"TS","Patched,GLI"
"P",0.507812539113614,"TS","Patched,SNAI1"
"P",1.21049565374022,"DA","Ecadherin,Ecadherin"
"P",1.22692092227027,"DA","Ecadherin,cateninmemb"
"P",0.852503298178019,"DA","Ecadherin,GSK3"
"P",0.837985669638094,"DA","Ecadherin,miR200"
"P",0.898466769160684,"DA","Ecadherin,RKIP"
"P",0.978146236477382,"DA","Ecadherin,KLF4"
"P",0.392657588519582,"TS","Ecadherin,ZEB2"
"N",0.40532078269913,"NF","Ecadherin,Destcompl"
"N",0.490648394710805,"NF","Ecadherin,AXIN2"
"P",0.756372749966015,"TS","Ecadherin,Wnt"
"P",0.763984678267598,"TS","Ecadherin,Frizzled"
"P",0.80158975047445,"TS","Ecadherin,HEY1"
"P",1.09275118417009,"TS","Ecadherin,FOXC2"
"P",0.761232365957738,"TS","Ecadherin,DSH"
"P",0.940352626303363,"TS","Ecadherin,RAF"
"P",0.686937494708323,"TS","Ecadherin,SHH"
"P",0.872975406453521,"TS","Ecadherin,PI3K"
"P",0.57723739084594,"TS","Ecadherin,ILK"
"P",1.29875857721376,"TS","Ecadherin,SNAI2"
"P",0.905848726608682,"TS","Ecadherin,cateninnuc"
"P",0.856532360533067,"TS","Ecadherin,SOSGRB2"
"P",0.892018870400483,"TS","Ecadherin,RAS"
"P",0.974865757519165,"TS","Ecadherin,MEK"
"P",0.872967821445936,"TS","Ecadherin,AKT"
"P",0.659452131646561,"TS","Ecadherin,CD44"
"P",1.02275807347623,"TS","Ecadherin,IKK"
"P",0.978003012421126,"TS","Ecadherin,ERK"
"P",0.776743725919167,"TS","Ecadherin,Csn"
"P",0.501684462417159,"TS","Ecadherin,STAT"
"P",0.684466811623073,"TS","Ecadherin,cMet"
"P",0.829248758395922,"TS","Ecadherin,Jagged"
"P",0.913914979757085,"TS","Ecadherin,DELTA"
"P",1.03339358860613,"TS","Ecadherin,NFB"
"P",0.599550527751622,"TS","Ecadherin,SRC"
"P",0.744000629933484,"TS","Ecadherin,SMO"
"P",1.26462200550515,"TS","Ecadherin,TWIST1"
"P",0.947135746155595,"TS","Ecadherin,NOTCH"
"P",0.755764328563621,"TS","Ecadherin,FUS"
"P",0.988470808331812,"TS","Ecadherin,TGF"
"P",0.940079827809674,"TS","Ecadherin,cfos"
"P",0.952172519431777,"TS","Ecadherin,CDC42"
"P",0.977946929313681,"TS","Ecadherin,NOTCHic"
"P",1.00318593065009,"TS","Ecadherin,TCFLEF"
