"","miR200b","miR200c","miR200a","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.731401004084951,0.730412184247877,0.730412184247877,0.713323810656512,0.775762115533223,0.775762115533223,0.738761242383666,0.701672265261468,0.505886312359803,0.493794331561883,0,0,-0.456142518415228,-0.482142809883147,-0.492743544337595,-0.510020035815664,-0.450645058213736,-0.650770200922126,-0.562190460923123,-0.596006852247745,-0.836967566397187,-0.624150467271322,-0.717749781774273
"miR200c",0.723966658465825,0.72258244250189,0.72258244250189,0.70166312186628,0.762914298238048,0.762914298238048,0.711197796252181,0.698460282152061,0.570957505416505,0.496273735165868,0,0,-0.500179114419015,-0.494274876811735,-0.528551300209412,-0.552664436157631,-0.517166215477382,-0.636799300175682,-0.662012531251858,-0.686077923221494,-0.822671552596466,-0.722542255822352,-0.716906360855574
"miR200b",0.723966658465825,0.72258244250189,0.72258244250189,0.70166312186628,0.762914298238048,0.762914298238048,0.711197796252181,0.698460282152061,0.570957505416505,0.496273735165868,0,0,-0.500179114419015,-0.494274876811735,-0.528551300209412,-0.552664436157631,-0.517166215477382,-0.636799300175682,-0.662012531251858,-0.686077923221494,-0.822671552596466,-0.722542255822352,-0.716906360855574
"miR200a",0.723966658465825,0.72258244250189,0.72258244250189,0.70166312186628,0.762914298238048,0.762914298238048,0.711197796252181,0.698460282152061,0.570957505416505,0.496273735165868,0,0,-0.500179114419015,-0.494274876811735,-0.528551300209412,-0.552664436157631,-0.517166215477382,-0.636799300175682,-0.662012531251858,-0.686077923221494,-0.822671552596466,-0.722542255822352,-0.716906360855574
"miR101",0.656762547107583,0.65607202109641,0.65607202109641,0.617570924041125,0.692865414641395,0.692865414641395,0.587276812318185,0.638510440086504,0.524797759439476,0.466590726811394,0,0,-0.386476631738329,-0.392546082312685,-0.486154653746848,-0.433492770450506,-0.57707864308251,-0.555625043413952,-0.520931373206314,-0.607523789180967,-0.745170546311413,-0.573977009540986,-0.648145368463989
"CDH1",0.78578524727614,0.584283580476005,0.584283580476005,0.761304809745533,0.610188578951797,0.610188578951797,0.545128433590127,0.569550321288058,0.724870130647743,0.428272442958213,0,0,-0.542531385397836,-0.451607109364632,-0.471350385089774,-0.601915183538606,-0.664487095482268,-0.787552584725622,-0.629405305715131,-0.851499002902075,-0.676479830495973,-0.696633245236788,-0.604808095878319
"miR34a",0.67623324425,0.673789488365619,0.673789488365619,0.644288292859305,0.709759077000458,0.709759077000458,0.622382637916255,0.656729769322525,0.594887017145984,0.48914104584299,0,0,-0.512499105490202,-0.479796262443023,-0.537724981954319,-0.561315368392425,-0.545461310323611,-0.779385101796157,-0.537719611622248,-0.732470185764585,-0.763995042190369,-0.592849975046875,-0.56867301673846
"CLDN7",0.719207821861612,0.5178016154207,0.5178016154207,0.797424158990836,0.538649245301503,0.538649245301503,0.480148301139796,0.506046766439504,0.664487095482268,0.382695891780413,0,0,-0.478639807469471,-0.406882913365125,-0.415725795807261,-0.542531385397836,-0.600040664249963,-0.720174707128767,-0.556285856739239,-0.789514527566598,-0.610188578951797,-0.629405305715131,-0.549445267172657
"GRHL2",0.521482993513405,0.582604716537446,0.582604716537446,0.503928204060485,0.620876216189841,0.620876216189841,0.59177177080485,0.496633643313792,0.335708168643703,0.410110501381967,0.0255409753580788,0.0256364332958402,-0.306404010135873,-0.35273012382844,-0.364601217554205,-0.344628763011762,-0.296797125023825,-0.406936948908542,-0.513570857259652,-0.39088772996062,-0.663433212654652,-0.556517802053635,-0.353805046871708
"OVOL2",0.445429160299266,0.407048132280489,0.407048132280489,0.486365424800188,0.42020505323871,0.42020505323871,0.425363596865217,0.305746409679376,0.435055179532931,0.177441539301253,-0.0240834337367673,-0.0241428552949085,-0.331621244063664,-0.338760608669521,-0.350462998936927,-0.361153292117761,-0.404742511601409,-0.46176845023919,-0.327906456950653,-0.485745375967971,-0.454043634016934,-0.362144359287514,-0.316490741594399
"NP63",-0.0645050320023387,0.103453088066639,0.103453088066639,-0.0785139877883055,0.149357596568585,0.149357596568585,0.118591048259789,0.231577718408976,-0.25999769483161,0.177136855197145,0.0215802590359401,0.12148890048048,0.182141680713581,0.075903199501855,0.0883860182810175,0.17880498151017,0.262799383520683,0.204264242867312,-0.0799110173328139,0.250391772013582,-0.152836946094776,-0.0844674420285673,-0.0388421205795583
"miR141",0.303796516379159,0.256639775537307,0.256639775537307,0.341905078071318,0.512423045563338,0.512423045563338,0.485805829565631,0.476865087195324,0.378626345127523,0.33365150283409,0,0,-0.345051383159027,-0.332171766091788,-0.355363615424119,-0.373607811276216,-0.349488345775915,-0.42357664011467,-0.345156406479791,-0.44329155696251,-0.544711831634255,-0.378028418115097,-0.00780044795968333
"FOXC2",-0.69981061471641,-0.696465897329463,-0.696465897329463,-0.683691369517794,-0.752416936148844,-0.752416936148844,-0.716599469262968,-0.671775568425726,-0.483268328869902,-0.470241925004108,0,0,0.439881636956105,0.461528460355554,0.473577429894105,0.490788577019197,0.431153579541726,0.627056270531726,0.529768164115385,0.56723560767391,0.81003924896528,0.588105568181776,0.449905964449019
"SNAI1",-0.501404627783866,-0.500755705404109,-0.500755705404109,-0.550399348945277,-0.530640642121603,-0.530640642121603,-0.496719112800886,-0.494107129815583,-0.468476002874457,-0.38316287108478,0,0,0.331917205082192,0.219143565951385,0.420695852302412,0.365893977904453,0.43373483253325,0.49118103097837,0.406857222576768,0.538868787400054,0.569441789474622,0.446330110763102,0.490767037128229
