"","miR200b","CDH1","miR200c","miR200a","miR101","miR34a","miR141","CLDN7","GRHL2","OVOL2","NP63","miR205","ZEB1","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","GSC","TGFbeta","SNAI2","ZEB2"
"miR200c",0.490375962277094,0.504008123741652,0.432698633965433,0.432698633965433,0.456100299975932,0.369649631758702,0.254819149682279,0.254819149682279,0.222928385653671,0.246016483158362,0,0,-0.263994426052076,-0.384735728308832,-0.410552576771372,-0.427136397365557,-0.437591634996375,-0.425436779209389,-0.462129522493214,-0.441091585090557,-0.458440007961206,-0.532496646230568,-0.670903684204527
"miR200b",0.490375962277094,0.504008123741652,0.432698633965433,0.432698633965433,0.456100299975932,0.369649631758702,0.254819149682279,0.254819149682279,0.222928385653671,0.246016483158362,0,0,-0.263994426052076,-0.384735728308832,-0.410552576771372,-0.427136397365557,-0.437591634996375,-0.425436779209389,-0.462129522493214,-0.441091585090557,-0.458440007961206,-0.532496646230568,-0.670903684204527
"miR200a",0.490375962277094,0.504008123741652,0.432698633965433,0.432698633965433,0.456100299975932,0.369649631758702,0.254819149682279,0.254819149682279,0.222928385653671,0.246016483158362,0,0,-0.263994426052076,-0.384735728308832,-0.410552576771372,-0.427136397365557,-0.437591634996375,-0.425436779209389,-0.462129522493214,-0.441091585090557,-0.458440007961206,-0.532496646230568,-0.670903684204527
"miR141",0.490375962277094,0.504008123741652,0.432698633965433,0.432698633965433,0.456100299975932,0.369649631758702,0.254819149682279,0.254819149682279,0.222928385653671,0.246016483158362,0,0,-0.263994426052076,-0.384735728308832,-0.410552576771372,-0.427136397365557,-0.437591634996375,-0.425436779209389,-0.462129522493214,-0.441091585090557,-0.458440007961206,-0.532496646230568,-0.670903684204527
"miR205",0.429130292565049,0.465076259629899,0.398248048893843,0.398248048893843,0.360810455677876,0.250875484328973,0.214043947782584,0.214043947782584,0.184411604569385,0.225876368377072,0,0,-0.218397930962917,-0.343899772748478,-0.341605218812015,-0.364702325192953,-0.365899934845128,-0.332003897069703,-0.429013857100311,-0.304207360726796,-0.314908836682993,-0.407377964977435,-0.644479131487682
"miR101",0.469772080885457,0.450169072196669,0.440781357545177,0.440781357545177,0.425122525841104,0.302994394232648,0.321369485474801,0.321369485474801,0.296482424796524,0.250066780371118,0,0,-0.331245560752478,-0.296534433776717,-0.308707296414201,-0.398769347152534,-0.334045838365031,-0.497624320242571,-0.408866909630177,-0.352280438786167,-0.370060415142135,-0.474702057095895,-0.614797905198128
"CDH1",0.675234965400267,0.660774410095874,0.446234883669321,0.446234883669321,0.675540028559248,0.356471939333528,0.351379970875277,0.351379970875277,0.329940100742924,0.265889476781525,0,0,-0.37090155724482,-0.397691506251476,-0.511102350484635,-0.429339125660624,-0.552393187138022,-0.631850079997247,-0.704556305895504,-0.537028723372112,-0.570392064002675,-0.776005249394802,-0.606699387156156
"CLDN7",0.62775615403458,0.718089715338486,0.399348273474641,0.399348273474641,0.631850079997247,0.319274588340151,0.312792398187569,0.312792398187569,0.295686943582907,0.241305958992201,0,0,-0.351379970875277,-0.36724833050087,-0.460666726089669,-0.390513628319086,-0.511102350484635,-0.582274755902477,-0.661567816282927,-0.479153066312116,-0.537028723372112,-0.735195913645124,-0.562505314434551
"miR34a",0.512975883645529,0.495629808938639,0.476708973300112,0.476708973300112,0.506605335746016,0.373087303927135,0.378361288996445,0.378361288996445,0.353107839994315,0.281077347845473,0,0,-0.392906661334465,-0.393411086396896,-0.44424359137574,-0.460474810735319,-0.47287451891859,-0.476634530583139,-0.648846721782441,-0.387630471759183,-0.411930986454861,-0.612818025722419,-0.547631219624813
"GRHL2",0.323671416995398,0.32559316315799,0.317869290745992,0.317869290745992,0.226868414270858,0.279681272724578,0.264600094277845,0.264600094277845,0.210584774579928,0.224731027692999,0.0255409753580788,0.0256364332958402,-0.269597179220647,-0.247580260876768,-0.217601918148413,-0.266496127736794,-0.234571107118873,-0.207827963546795,-0.251970982025663,-0.334884645778006,-0.344722392525457,-0.250570160928364,-0.325648703728703
"OVOL2",0.335024959320783,0.386989095445417,0.216136582350726,0.216136582350726,0.376643045007653,0.239323585941782,0.169088391622033,0.169088391622033,0.104157977864949,0.0518319080912507,-0.0240834337367673,-0.0241428552949085,-0.174235203685472,-0.282381119378044,-0.286016077013174,-0.298029715795067,-0.301795517341208,-0.358525632770723,-0.375326977751291,-0.215332679228653,-0.225143773805372,-0.407254443397441,-0.300458067583384
"NP63",-0.126708747052268,-0.133938020610839,0.0294190550773826,0.0294190550773826,-0.297004380570978,0.0270811377344177,0.035085653985214,0.035085653985214,0.132038302585,0.115435335529666,0.0215802590359401,0.12148890048048,-0.0431643269806439,0.110470651313364,0.214498191554886,0.120093415079206,0.214832534649243,0.29384082993772,0.254244881422799,-0.0155562715193952,-0.0257046719781187,0.295943432360257,-0.0233835384399957
"FOXC2",-0.273275754638804,-0.391366504669096,-0.236685018356456,-0.236685018356456,-0.309765516634814,-0.208546158483479,-0.174034068249177,-0.174034068249177,-0.146359603925995,-0.195802050945134,0,0,0.173776880816928,0.295835504491432,0.29759686772763,0.316362648550086,0.315831432847053,0.2868276325823,0.369131483686344,0.211980772995672,0.215501142943893,0.346941446380735,0.35862694954715
"ZEB1",-0.284950751347255,-0.407163089761649,-0.244168008189914,-0.244168008189914,-0.330154215705316,-0.213706679488799,-0.173776880816928,-0.173776880816928,-0.146131085593536,-0.195640468127931,0,0,0.0962534609905805,0.307112439771219,0.315831432847053,0.339551416648892,0.339117111935072,0.309765516634814,0.392541948062934,0.215501142943893,0.248434277778771,0.3669332508085,0.385817759993679
"SNAI1",-0.387455828253014,-0.444111886441144,-0.366968442763069,-0.366968442763069,-0.404818263997786,-0.323666161476073,-0.304793274307628,-0.304793274307628,-0.288186776672807,-0.235398494668064,0,0,0.316554260444422,0.156889942072712,0.282657108851259,0.365334024938953,0.302375684973148,0.384112827217862,0.396948353126512,0.304320401933242,0.323302477009108,0.452654390166845,0.476470397135333
"TGFbeta",-0.546143060310688,-0.51692036706689,-0.424380752926396,-0.424380752926396,-0.501601999212378,-0.40637228393575,-0.349297184884518,-0.349297184884518,-0.330482595563524,-0.266662087054899,0,0,0.368195666892131,0.38823616126891,0.440713500220802,0.457546950819136,0.472122753051333,0.469976292029407,0.563872129571632,0.537568118022447,0.467889616873461,0.626578487114495,0.560955672119599
"TCF3",-0.62775615403458,-0.718089715338486,-0.399348273474641,-0.399348273474641,-0.631850079997247,-0.319274588340151,-0.312792398187569,-0.312792398187569,-0.295686943582907,-0.241305958992201,0,0,0.351379970875277,0.36724833050087,0.460666726089669,0.390513628319086,0.511102350484635,0.582274755902477,0.661567816282927,0.479153066312116,0.537028723372112,0.735195913645124,0.562505314434551
"KLF8",-0.62775615403458,-0.718089715338486,-0.399348273474641,-0.399348273474641,-0.631850079997247,-0.319274588340151,-0.312792398187569,-0.312792398187569,-0.295686943582907,-0.241305958992201,0,0,0.351379970875277,0.36724833050087,0.460666726089669,0.390513628319086,0.511102350484635,0.582274755902477,0.661567816282927,0.479153066312116,0.537028723372112,0.735195913645124,0.562505314434551
"GSC",-0.502328229728092,-0.481587962316445,-0.476759385692252,-0.476759385692252,-0.48620511897315,-0.375216551955653,-0.382222639279217,-0.382222639279217,-0.357393787829372,-0.28195121219256,0,0,0.397215097801088,0.388397889063554,0.507452236588302,0.531730321279183,0.535134002496812,0.457413903757623,0.434349786927972,0.385672099820847,0.410355647993036,0.497407386807886,0.639778534526402
