"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.792982176104545,0.792982176104545,0.77594968928463,0.734814224743231,0.783535757027862,0.783535757027862,0.708460167653596,0.72368015960438,0.480437813993921,0.498845955135122,0,0,-0.392454709470021,-0.424309782962983,-0.441963248498979,-0.471074743219974,-0.430378360961816,-0.647651580061949,-0.594554441063843,-0.594753318833364,-0.844195873051265,-0.660204337905614,-0.869244105785548
"miR200c",0.764864074150659,0.764864074150659,0.750702692545262,0.705902794246712,0.758381149152388,0.758381149152388,0.694421432897445,0.680092344640283,0.530534691864044,0.493484015576286,0,0,-0.383950038362106,-0.453732091001452,-0.460086957496064,-0.498101110626694,-0.483239925825357,-0.62142183587599,-0.682651801149254,-0.67161453488794,-0.815707375993235,-0.744816604348963,-0.83325896962488
"miR200b",0.764864074150659,0.764864074150659,0.750702692545262,0.705902794246712,0.758381149152388,0.758381149152388,0.694421432897445,0.680092344640283,0.530534691864044,0.493484015576286,0,0,-0.383950038362106,-0.453732091001452,-0.460086957496064,-0.498101110626694,-0.483239925825357,-0.62142183587599,-0.682651801149254,-0.67161453488794,-0.815707375993235,-0.744816604348963,-0.83325896962488
"miR200a",0.764864074150659,0.764864074150659,0.750702692545262,0.705902794246712,0.758381149152388,0.758381149152388,0.694421432897445,0.680092344640283,0.530534691864044,0.493484015576286,0,0,-0.383950038362106,-0.453732091001452,-0.460086957496064,-0.498101110626694,-0.483239925825357,-0.62142183587599,-0.682651801149254,-0.67161453488794,-0.815707375993235,-0.744816604348963,-0.83325896962488
"miR141",0.764864074150659,0.764864074150659,0.750702692545262,0.705902794246712,0.758381149152388,0.758381149152388,0.694421432897445,0.680092344640283,0.530534691864044,0.493484015576286,0,0,-0.383950038362106,-0.453732091001452,-0.460086957496064,-0.498101110626694,-0.483239925825357,-0.62142183587599,-0.682651801149254,-0.67161453488794,-0.815707375993235,-0.744816604348963,-0.83325896962488
"miR34a",0.682629955447388,0.682629955447388,0.671376693170247,0.617298214090839,0.679342904533819,0.679342904533819,0.629585991657852,0.560549570978176,0.522904495430937,0.46997317550507,0,0,-0.327823997819073,-0.431326636463531,-0.425217470702455,-0.469271571233988,-0.482671320876542,-0.73841209258833,-0.536934500940863,-0.690800208191531,-0.728049186674492,-0.589958413472767,-0.637560331716396
"CDH1",0.506523112640816,0.506523112640816,0.699650926267838,0.652405433827342,0.501895986449648,0.501895986449648,0.469837637308217,0.391443129524411,0.567725978379232,0.359144002015929,0,0,-0.191827021046555,-0.378210262858774,-0.265647420861204,-0.416961922885334,-0.526100019982544,-0.671478901980737,-0.571273730562633,-0.729479123539476,-0.552336377266417,-0.62568991813552,-0.56497505109289
"CLDN7",0.450053248725567,0.450053248725567,0.645021967728041,0.702690162695344,0.446258346102942,0.446258346102942,0.420449590689381,0.344433858001232,0.526100019982544,0.323698162178095,0,0,-0.16757351958847,-0.333147339335057,-0.231278581623496,-0.378210262858774,-0.479922103129616,-0.621134994063837,-0.509591656971913,-0.683002551955269,-0.501895986449648,-0.571273730562633,-0.512753991664243
"GRHL2",0.635624813463037,0.635624813463037,0.557031065820127,0.520414943465138,0.627047092819285,0.627047092819285,0.502016407425381,0.580634167815034,0.317034453502011,0.413990899398687,0.0255409753580788,0.0256364332958402,-0.287373940127946,-0.283015525848056,-0.326793395744514,-0.315896039172526,-0.28192463352754,-0.404579639462169,-0.540306031622096,-0.390027082023473,-0.669393593768043,-0.586060118441722,-0.496444051627495
"OVOL2",0.410332163680125,0.410332163680125,0.439457409128467,0.46552611750319,0.397776349537538,0.397776349537538,0.285845240802039,0.379861198445591,0.384593417180913,0.163382872534743,-0.0240834337367673,-0.0241428552949085,-0.224742578018709,-0.274953353327063,-0.271778269666654,-0.297854583454392,-0.360180971878608,-0.432287370793272,-0.326173138378385,-0.455961935038652,-0.427456285516582,-0.358275348475387,-0.360485973926832
