"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","miR205","NP63","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.811967786096024,0.811967786096024,0.803179129404598,0.766248723056464,0.801317803519737,0.801317803519737,0.760970671865755,0.720600324653024,0.539530361571634,0.508666953782726,-0.415029561109292,-0.462069034793502,-0.471375179474328,-0.500767611438725,-0.509324890337968,-0.53056151461674,-0.477548723444957,-0.687009941309898,-0.602155518411434,-0.649386085727897,-0.869819479878768,-0.673467665820014,-0.898249388242682
"miR200c",0.790230563776486,0.790230563776486,0.782713834392877,0.744072906135415,0.782564613069812,0.782564613069812,0.728181959460804,0.712454032193849,0.597055655850313,0.50765333929745,-0.417605703542727,-0.463145347706139,-0.511563873684888,-0.508740488878869,-0.541213991922525,-0.568396111071469,-0.537561072347521,-0.665161899593611,-0.69414531275446,-0.728924862183774,-0.848423741494884,-0.762771447223807,-0.869298801270881
"miR200b",0.790230563776486,0.790230563776486,0.782713834392877,0.744072906135415,0.782564613069812,0.782564613069812,0.728181959460804,0.712454032193849,0.597055655850313,0.50765333929745,-0.417605703542727,-0.463145347706139,-0.511563873684888,-0.508740488878869,-0.541213991922525,-0.568396111071469,-0.537561072347521,-0.665161899593611,-0.69414531275446,-0.728924862183774,-0.848423741494884,-0.762771447223807,-0.869298801270881
"miR200a",0.790230563776486,0.790230563776486,0.782713834392877,0.744072906135415,0.782564613069812,0.782564613069812,0.728181959460804,0.712454032193849,0.597055655850313,0.50765333929745,-0.417605703542727,-0.463145347706139,-0.511563873684888,-0.508740488878869,-0.541213991922525,-0.568396111071469,-0.537561072347521,-0.665161899593611,-0.69414531275446,-0.728924862183774,-0.848423741494884,-0.762771447223807,-0.869298801270881
"miR141",0.790230563776486,0.790230563776486,0.782713834392877,0.744072906135415,0.782564613069812,0.782564613069812,0.728181959460804,0.712454032193849,0.597055655850313,0.50765333929745,-0.417605703542727,-0.463145347706139,-0.511563873684888,-0.508740488878869,-0.541213991922525,-0.568396111071469,-0.537561072347521,-0.665161899593611,-0.69414531275446,-0.728924862183774,-0.848423741494884,-0.762771447223807,-0.869298801270881
"miR101",0.715296915677157,0.715296915677157,0.707320310434431,0.653717923650834,0.709343300955418,0.709343300955418,0.601520450458254,0.649033346746104,0.546724443062433,0.475992949764778,-0.397117894577679,-0.437023654219017,-0.395944625762582,-0.404722231255721,-0.496799453941661,-0.446770187688043,-0.594045707379344,-0.579549446376023,-0.548665908005505,-0.64378335359989,-0.766929337682612,-0.608771884770824,-0.783478271702978
"CDH1",0.620068571635929,0.620068571635929,0.815357688001628,0.781327139193673,0.616253180676842,0.616253180676842,0.550145294675417,0.572168009322966,0.735155282708323,0.431452113658014,-0.335799895565238,-0.384019316047432,-0.544860326838936,-0.456442271136836,-0.47444492553312,-0.606458099381237,-0.671215251145987,-0.798842289601375,-0.641667901521471,-0.871951144240563,-0.686157434785462,-0.714533094412672,-0.698009641965946
"miR34a",0.728944978828864,0.728944978828864,0.722567559218376,0.676860757521682,0.72408654016919,0.72408654016919,0.634699804983495,0.665669193868302,0.614289061982337,0.49730473171868,-0.416196811512958,-0.457587785855009,-0.520417822510726,-0.490415394546623,-0.546862179865318,-0.572791777291779,-0.560153136025463,-0.800573525042147,-0.562705051861335,-0.765190157533348,-0.783284113074892,-0.624680366557581,-0.697177226344184
"CLDN7",0.544370241625424,0.544370241625424,0.740886540642518,0.811805612681064,0.541703156653484,0.541703156653484,0.482647499437703,0.506410621432906,0.671215251145987,0.384019316047432,-0.281222252671965,-0.335799895565238,-0.479230769230769,-0.409409740717169,-0.417096395239179,-0.544860326838936,-0.603575753187421,-0.727559615697647,-0.563069779198985,-0.804344025209853,-0.616253180676842,-0.641667901521471,-0.625333756910545
"GRHL2",0.704351041714449,0.704351041714449,0.689377302874923,0.628663184008383,0.686909568351489,0.686909568351489,0.654692591447647,0.550406123455549,0.530317416822132,0.444407136002087,-0.368567227593713,-0.407286265102559,-0.39391346837112,-0.41733704225489,-0.42726993769789,-0.442706202498445,-0.479825976211123,-0.569656817994591,-0.59266579377779,-0.613713199033823,-0.742239224084326,-0.65062198470531,-0.594537985502284
"OVOL2",0.445421193722881,0.445421193722881,0.476986881616016,0.508896409087431,0.431867725794101,0.431867725794101,0.435176963701691,0.320289901647799,0.448116541377324,0.18505301584092,-0.234253249978051,-0.259932150103036,-0.337372422243252,-0.346461844530661,-0.357151270047886,-0.369212228646963,-0.414681297695014,-0.476329868454123,-0.34615617256683,-0.507443089730179,-0.468990283520566,-0.384709787825394,-0.404786522927158
"NP63",0.118011029609083,0.118011029609083,-0.044973088070526,-0.0643325135897017,0.148956473751891,0.148956473751891,0.119792159898343,0.225377364248027,-0.242178345639275,0.16940988677091,-0.062843224413819,-0.167485782014095,0.169792357217622,0.0680496021314595,0.0800500010948893,0.165026135843576,0.246425370368227,0.178874296942825,-0.0861049359674509,0.223487501798557,-0.153899229807411,-0.0925592543440258,-0.0775061821888553
"SNAI1",-0.540202048823742,-0.540202048823742,-0.534574449502398,-0.573712441481672,-0.540709849755703,-0.540709849755703,-0.505373933902993,-0.499623495479257,-0.482250405145482,-0.388804571681923,0.330800923611457,0.360652819853218,0.337436595064576,0.226656075753421,0.427160451466447,0.373962238679697,0.444136258056616,0.50611277502685,0.424665418992207,0.561999366661223,0.58306760585142,0.469069751122171,0.582680274255908
"TCF3",-0.544370241625424,-0.544370241625424,-0.740886540642518,-0.811805612681064,-0.541703156653484,-0.541703156653484,-0.482647499437703,-0.506410621432906,-0.671215251145987,-0.384019316047432,0.281222252671965,0.335799895565238,0.479230769230769,0.409409740717169,0.417096395239179,0.544860326838936,0.603575753187421,0.727559615697647,0.563069779198985,0.804344025209853,0.616253180676842,0.641667901521471,0.625333756910545
"KLF8",-0.544370241625424,-0.544370241625424,-0.740886540642518,-0.811805612681064,-0.541703156653484,-0.541703156653484,-0.482647499437703,-0.506410621432906,-0.671215251145987,-0.384019316047432,0.281222252671965,0.335799895565238,0.479230769230769,0.409409740717169,0.417096395239179,0.544860326838936,0.603575753187421,0.727559615697647,0.563069779198985,0.804344025209853,0.616253180676842,0.641667901521471,0.625333756910545
"TGFbeta",-0.598128500546607,-0.598128500546607,-0.691914244470245,-0.644571277913539,-0.595088354456996,-0.595088354456996,-0.594491757944686,-0.551159917779799,-0.571576949687275,-0.4267551902494,0.350234840675455,0.38941266320833,0.48597897787819,0.454215661520883,0.511478352754478,0.535835691695563,0.520283654485496,0.667122129787736,0.650912289733709,0.731235122233119,0.650929706939808,0.609471038398362,0.660548723007329
"FOXC2",-0.796061824554319,-0.796061824554319,-0.786450934953745,-0.746877240836111,-0.784382744070855,-0.784382744070855,-0.744480517162738,-0.695099353569944,-0.523630825206875,-0.488812210626325,0.398556536569046,0.443963454471052,0.459383001699203,0.484661840577174,0.494742582006276,0.516560125070009,0.463834892378986,0.67040823431202,0.579717924622341,0.629359725413931,0.85039581596628,0.648479846382133,0.68309253025494
