"","miR200b","miR200c","miR200a","CDH1","miR101","miR141","CLDN7","miR34a","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","ZEB1","GSC","SNAI2","TGFbeta","ZEB2"
"miR205",0.704852992854155,0.704266901037439,0.704266901037439,0.678231851007252,0.480539151022322,0.654025273734429,0.654025273734429,0.641555146106748,0.595389999502544,0.417307640337145,0,0,-0.43694475654854,-0.455427315983263,-0.472060575258647,-0.484212167281212,-0.431906570760729,-0.606871653226348,-0.698257022408358,-0.532764747810609,-0.560676853292633,-0.586141989518274,-0.830763773389371
"miR200c",0.696430601259055,0.693760418385409,0.693760418385409,0.66812095428635,0.54795645870648,0.64801531489359,0.64801531489359,0.622222507292307,0.596638854670562,0.422715171269294,0,0,-0.483170289737809,-0.469892493324601,-0.509602695275726,-0.529228233745972,-0.500514003463514,-0.597049392534366,-0.691199532409398,-0.632408969479374,-0.653506991612603,-0.684426967843159,-0.811306175984653
"miR200b",0.696430601259055,0.693760418385409,0.693760418385409,0.66812095428635,0.54795645870648,0.64801531489359,0.64801531489359,0.622222507292307,0.596638854670562,0.422715171269294,0,0,-0.483170289737809,-0.469892493324601,-0.509602695275726,-0.529228233745972,-0.500514003463514,-0.597049392534366,-0.691199532409398,-0.632408969479374,-0.653506991612603,-0.684426967843159,-0.811306175984653
"miR200a",0.696430601259055,0.693760418385409,0.693760418385409,0.66812095428635,0.54795645870648,0.64801531489359,0.64801531489359,0.622222507292307,0.596638854670562,0.422715171269294,0,0,-0.483170289737809,-0.469892493324601,-0.509602695275726,-0.529228233745972,-0.500514003463514,-0.597049392534366,-0.691199532409398,-0.632408969479374,-0.653506991612603,-0.684426967843159,-0.811306175984653
"miR141",0.696430601259055,0.693760418385409,0.693760418385409,0.66812095428635,0.54795645870648,0.64801531489359,0.64801531489359,0.622222507292307,0.596638854670562,0.422715171269294,0,0,-0.483170289737809,-0.469892493324601,-0.509602695275726,-0.529228233745972,-0.500514003463514,-0.597049392534366,-0.691199532409398,-0.632408969479374,-0.653506991612603,-0.684426967843159,-0.811306175984653
"miR101",0.620508086829693,0.617823184172862,0.617823184172862,0.57640216747535,0.496999738737231,0.575890640670025,0.575890640670025,0.49526896714004,0.534530559134,0.390544247268649,0,0,-0.364980777800621,-0.364195248055986,-0.462865488995921,-0.405523972589094,-0.555941174790079,-0.510658422732698,-0.612927323706181,-0.484154599101896,-0.56932891736144,-0.529162103147373,-0.723176393454061
"CDH1",0.769076941997357,0.565376423703737,0.565376423703737,0.741774041377775,0.714376762437262,0.533615830170657,0.533615830170657,0.487504466907333,0.500703910706333,0.378298393483337,0,0,-0.536535282292771,-0.438506294502096,-0.46310943898532,-0.591255069809371,-0.658645792879499,-0.766532334236366,-0.58392466526074,-0.612830545103176,-0.834129038461805,-0.673736492685883,-0.671430531816902
"CLDN7",0.707904282361521,0.504435506989303,0.504435506989303,0.7839593946595,0.658645792879499,0.478577977703846,0.478577977703846,0.435520360947068,0.451848279761295,0.34323466879264,0,0,-0.476322310366343,-0.398209748726436,-0.411272411683809,-0.536535282292771,-0.597656372524858,-0.706116837324519,-0.533615830170657,-0.546435765331561,-0.77809254188205,-0.612830545103176,-0.608149821077885
"GRHL2",0.500641572787693,0.561959312047585,0.561959312047585,0.476978502045531,0.316107781059311,0.524016020994499,0.524016020994499,0.514939018882578,0.414457730511153,0.351600501849229,0.0255409753580788,0.0256364332958402,-0.291381203371756,-0.332120359851683,-0.348333670130735,-0.324585434830222,-0.282269143795347,-0.373433687807351,-0.554464284734026,-0.489113184380526,-0.363734091844144,-0.525812796901798,-0.465565919505836
"OVOL2",0.429592177731625,0.390115117989006,0.390115117989006,0.467667772476482,0.42252377353176,0.355696663773154,0.355696663773154,0.376010393964175,0.249437536050255,0.136562683328461,-0.0240834337367673,-0.0241428552949085,-0.322377297973814,-0.325415353022228,-0.340026127749807,-0.348362838582403,-0.395710661438497,-0.440286791612493,-0.380198945674598,-0.310780251739308,-0.467902222732637,-0.340247982118497,-0.37235589760561
"miR34a",0.256561161098262,0.13480060540526,0.13480060540526,0.274636439141761,0.339437194081086,0.0830452387368645,0.0830452387368645,0.168495941510426,0.0674137715772958,0.0149977292786556,0,0,-0.28659094026384,-0.254668724385966,-0.305307188943562,-0.304824506906625,-0.321445875703705,-0.445411266172745,-0.0991545426064766,-0.109194833214885,-0.415266171882522,-0.129122546529996,-0.330282737451008
"NP63",-0.0669370869040005,0.102345910336913,0.102345910336913,-0.0835482373273907,-0.264900640582781,0.127806672587303,0.127806672587303,0.10113034544557,0.213064683531119,0.163560418085175,0.0215802590359401,0.12148890048048,0.186225895669914,0.0807454128731363,0.0924738277692208,0.183881006182648,0.266723657195534,0.212686725093804,-0.129643891279095,-0.0758724026823546,0.256758682422784,-0.0789550927188128,-0.0667418774685794
"SNAI1",-0.443306955259881,-0.434878835809624,-0.434878835809624,-0.493579513743885,-0.430084850229423,-0.39971970347934,-0.39971970347934,-0.39774517498274,-0.373403294312409,-0.296053749291597,0,0,0.300729088442438,0.182770010165765,0.387037010667728,0.327345308635674,0.402515350106193,0.435058610792703,0.424896998860974,0.349418300902779,0.488770377088623,0.379589743971386,0.516082364960402
"FOXC2",-0.667927990254036,-0.665385027992761,-0.665385027992761,-0.641815004022789,-0.452208437603255,-0.614290852368476,-0.614290852368476,-0.605509679245433,-0.553716246641832,-0.385721634141634,0,0,0.41555125313018,0.429339862965029,0.447751083871568,0.459061843486196,0.407542809340413,0.575148640751904,0.654880130415722,0.493603959233099,0.52502448331096,0.542649236639987,0.599636685197749
"TCF3",-0.707904282361521,-0.504435506989303,-0.504435506989303,-0.7839593946595,-0.658645792879499,-0.478577977703846,-0.478577977703846,-0.435520360947068,-0.451848279761295,-0.34323466879264,0,0,0.476322310366343,0.398209748726436,0.411272411683809,0.536535282292771,0.597656372524858,0.706116837324519,0.533615830170657,0.546435765331561,0.77809254188205,0.612830545103176,0.608149821077885
"KLF8",-0.707904282361521,-0.504435506989303,-0.504435506989303,-0.7839593946595,-0.658645792879499,-0.478577977703846,-0.478577977703846,-0.435520360947068,-0.451848279761295,-0.34323466879264,0,0,0.476322310366343,0.398209748726436,0.411272411683809,0.536535282292771,0.597656372524858,0.706116837324519,0.533615830170657,0.546435765331561,0.77809254188205,0.612830545103176,0.608149821077885
"TGFbeta",-0.62397875352646,-0.519212907009496,-0.519212907009496,-0.585508202193412,-0.536256297553435,-0.483222842317876,-0.483222842317876,-0.509101690429806,-0.452494782458699,-0.354190797451709,0,0,0.465062838779687,0.424008404863021,0.487168808327518,0.506323928335651,0.49474768671354,0.616454702853077,0.520553721429141,0.600261107938848,0.676516903323375,0.545744876612584,0.615365273780637
"ZEB1",-0.713043074782729,-0.710390269497567,-0.710390269497567,-0.684532025797039,-0.493485486723354,-0.654880130415722,-0.654880130415722,-0.644039612590997,-0.589780972098774,-0.411222607644723,0,0,0.459061843486196,0.45855508080794,0.486481008807551,0.500065527225462,0.452208437603255,0.619553857036891,0.592080548868737,0.542649236639987,0.566415358188296,0.58786732195316,0.646450453374048
"SNAI2",-0.824909105768349,-0.621117644494099,-0.621117644494099,-0.794511766322084,-0.765096473858996,-0.58392466526074,-0.58392466526074,-0.535000948136711,-0.545425027664647,-0.409911830050802,0,0,0.591255069809371,0.474946961147984,0.510528379063993,0.641314010687137,0.714376762437262,0.821420444077145,0.629751292780883,0.673736492685883,0.785264998582763,0.729263800668216,0.72907780892098
"GSC",-0.640733180805081,-0.637578854652461,-0.637578854652461,-0.604570092589881,-0.557859916128337,-0.596576253326645,-0.596576253326645,-0.54408981206786,-0.553503740750858,-0.418143402116508,0,0,0.56379150102652,0.456633791021612,0.594936112061477,0.60617426361277,0.514913271806878,0.535288862708783,0.635385303100401,0.502633691084138,0.592197724649443,0.549783332611908,0.744718084876279
"TWIST1",-0.65542102904481,-0.651540895421774,-0.651540895421774,-0.71828200177716,-0.578430332255699,-0.609847126389249,-0.609847126389249,-0.543420686205718,-0.566737055017849,-0.42319557126777,0,0,0.585663691292274,0.388447578121651,0.594299528317711,0.52964728700167,0.533892165647125,0.64945821191978,0.650029537568381,0.512166868781263,0.709750408643935,0.560985684996649,0.759840866971024
"TWIST2",-0.659889334259442,-0.655739410074545,-0.655739410074545,-0.724894715499428,-0.59230493115528,-0.614526032938878,-0.614526032938878,-0.552961483609886,-0.572836311927106,-0.429368619161583,0,0,0.609438700952869,0.471449934757797,0.515295805178598,0.653583294372928,0.54749511477785,0.654422802139256,0.655020623522522,0.51754802066174,0.714997259377355,0.566678195609142,0.763126549707174
"ZEB2",-0.859995998239676,-0.857327415918411,-0.857327415918411,-0.835315201515278,-0.618900299068528,-0.618082382897211,-0.618082382897211,-0.594008177998712,-0.572672423594527,-0.420169956914391,0,0,0.452140827252624,0.46428646836451,0.48815350256102,0.507283958108162,0.563594880790167,0.660455506781995,0.667804358941734,0.694490137665399,0.723083506345518,0.754981303938977,0.872584633815789
