"","miR200c","miR200a","miR200b","CDH1","GRHL2","miR141","CLDN7","miR34a","NP63","miR101","miR205","OVOL2","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.819567026498691,0.819567026498691,0.801418452671251,0.765558517836217,0.813131371633297,0.810839292036288,0.810839292036288,0.767297938049034,0.737217429051296,0.523822504876575,0.659303236751302,0.52465454830696,-0.466618004812617,-0.49898078495941,-0.50750855875812,-0.525451638573618,-0.463025483905777,-0.673037727815604,-0.606481302157818,-0.62519261213704,-0.880999247376577,-0.678743501577556,-0.904103489883955
"miR200c",0.796234598509111,0.796234598509111,0.781194490868593,0.743364864747859,0.792542998958465,0.7900978007292,0.7900978007292,0.733160090759732,0.720032935070299,0.584249065013629,0.645208157650333,0.520777514053445,-0.507758623074581,-0.507142903874757,-0.539651673623938,-0.564120497260606,-0.526086009546354,-0.653320107075852,-0.697372989724302,-0.708453824851933,-0.857442763309952,-0.766827882971557,-0.873980208203105
"miR200b",0.796234598509111,0.796234598509111,0.781194490868593,0.743364864747859,0.792542998958465,0.7900978007292,0.7900978007292,0.733160090759732,0.720032935070299,0.584249065013629,0.645208157650333,0.520777514053445,-0.507758623074581,-0.507142903874757,-0.539651673623938,-0.564120497260606,-0.526086009546354,-0.653320107075852,-0.697372989724302,-0.708453824851933,-0.857442763309952,-0.766827882971557,-0.873980208203105
"miR200a",0.796234598509111,0.796234598509111,0.781194490868593,0.743364864747859,0.792542998958465,0.7900978007292,0.7900978007292,0.733160090759732,0.720032935070299,0.584249065013629,0.645208157650333,0.520777514053445,-0.507758623074581,-0.507142903874757,-0.539651673623938,-0.564120497260606,-0.526086009546354,-0.653320107075852,-0.697372989724302,-0.708453824851933,-0.857442763309952,-0.766827882971557,-0.873980208203105
"miR141",0.796234598509111,0.796234598509111,0.781194490868593,0.743364864747859,0.792542998958465,0.7900978007292,0.7900978007292,0.733160090759732,0.720032935070299,0.584249065013629,0.645208157650333,0.520777514053445,-0.507758623074581,-0.507142903874757,-0.539651673623938,-0.564120497260606,-0.526086009546354,-0.653320107075852,-0.697372989724302,-0.708453824851933,-0.857442763309952,-0.766827882971557,-0.873980208203105
"miR101",0.720374452706507,0.720374452706507,0.705862421386009,0.652923814956518,0.71917460337906,0.715741651565053,0.715741651565053,0.605693356920977,0.655760581980467,0.535244431034939,0.590253921822854,0.487156996369589,-0.392576246014293,-0.403233980361634,-0.495351654887484,-0.442978887161764,-0.583772222584545,-0.568935769754345,-0.551321558479554,-0.625620450401897,-0.774624107565284,-0.612189162516,-0.787419935664669
"miR34a",0.733491416738262,0.733491416738262,0.721204553848992,0.676075111875053,0.732975831076185,0.729811756226317,0.729811756226317,0.638412013599201,0.668328025195218,0.603854561871994,0.60077557764277,0.507521920476887,-0.517448046983668,-0.489010415616882,-0.545523261850524,-0.569338042729271,-0.551074233840432,-0.790790597205841,-0.564934211359115,-0.748457583925313,-0.790330043499324,-0.627715558867225,-0.700802969891979
"CDH1",0.622538693273894,0.622538693273894,0.813905569520748,0.780386862730202,0.621364265750672,0.619341763206687,0.619341763206687,0.552141104631352,0.545014869010392,0.727877597408576,0.46607105257712,0.438006225641988,-0.543382169787822,-0.455306400377647,-0.473621437276172,-0.604180581549371,-0.665625437599235,-0.79169053954525,-0.642356210442711,-0.858922519120695,-0.690422853117821,-0.715743357291516,-0.700127077072173
"CLDN7",0.545743920683403,0.545743920683403,0.739372165890409,0.810824324221268,0.545014869010392,0.543427162962052,0.543427162962052,0.483730485541637,0.46607105257712,0.665625437599235,0.381140547822182,0.388730413763871,-0.478533094812165,-0.408648857041826,-0.416607264804397,-0.543382169787822,-0.600244326150708,-0.721993787863535,-0.563069779198985,-0.793807150397472,-0.619341763206687,-0.642356210442711,-0.62695127153232
"GRHL2",0.674924044642133,0.674924044642133,0.591076518154975,0.556196474128381,0.674285794072002,0.668094253432736,0.668094253432736,0.628953801586681,0.718918533385297,0.352843727005975,0.661454911914737,0.451546988907906,-0.3180028440281,-0.371194361778124,-0.381360148279737,-0.36189507162315,-0.308048115272132,-0.430622424470757,-0.563594922220477,-0.417940037812097,-0.719580915279282,-0.61685521671403,-0.542168127222882
"OVOL2",0.50178926843179,0.50178926843179,0.5139609912721,0.545855346981268,0.492907524340338,0.491593989624432,0.491593989624432,0.480736434127378,0.446229861110098,0.462622630937825,0.399890117520354,0.240038102586974,-0.349547204705384,-0.363810703958504,-0.374094998966979,-0.384901947666179,-0.425815195169435,-0.499917387923782,-0.387602851500306,-0.526455621290437,-0.534065465647016,-0.430884733190536,-0.461062422783334
"NP63",0.125020671919538,0.125020671919538,-0.0504474973435646,-0.0683726670309325,0.265391901884869,0.158336214074042,0.158336214074042,0.125657534721982,0.262331998940434,-0.262151863886968,0.353838809180753,0.185870912491236,0.181994220557677,0.0729811889219606,0.0856322061265677,0.177078613621261,0.266185323265907,0.205652802583631,-0.0914859464610073,0.253060223514885,-0.163803999370505,-0.0985907186396567,-0.0813926742676481
"SNAI1",-0.543394908562686,-0.543394908562686,-0.53350839724841,-0.573055627724507,-0.547791712856962,-0.544750123717202,-0.544750123717202,-0.50797829974445,-0.501862832598243,-0.474577880767321,-0.453384326721573,-0.396027490537159,0.335243699070607,0.225602499829741,0.426146853263465,0.371415550490733,0.43748172487681,0.498877434231052,0.426203762220658,0.549755565633699,0.588062818885904,0.47120370244708,0.585218298275314
"TCF3",-0.545743920683403,-0.545743920683403,-0.739372165890409,-0.810824324221268,-0.545014869010392,-0.543427162962052,-0.543427162962052,-0.483730485541637,-0.46607105257712,-0.665625437599235,-0.381140547822182,-0.388730413763871,0.478533094812165,0.408648857041826,0.416607264804397,0.543382169787822,0.600244326150708,0.721993787863535,0.563069779198985,0.793807150397472,0.619341763206687,0.642356210442711,0.62695127153232
"KLF8",-0.545743920683403,-0.545743920683403,-0.739372165890409,-0.810824324221268,-0.545014869010392,-0.543427162962052,-0.543427162962052,-0.483730485541637,-0.46607105257712,-0.665625437599235,-0.381140547822182,-0.388730413763871,0.478533094812165,0.408648857041826,0.416607264804397,0.543382169787822,0.600244326150708,0.721993787863535,0.563069779198985,0.793807150397472,0.619341763206687,0.642356210442711,0.62695127153232
"TGFbeta",-0.601010056799646,-0.601010056799646,-0.690573864517568,-0.643699643560362,-0.601366470946918,-0.598729913345414,-0.598729913345414,-0.596815996372182,-0.540737373658438,-0.563761693879806,-0.476962063870201,-0.433811239472293,0.484015307608784,0.453057192938924,0.510467093608397,0.533289019784887,0.51390828805589,0.659622456965873,0.651953988716155,0.718228943600255,0.655732051818099,0.611243571231128,0.662965845524181
"FOXC2",-0.805428402070117,-0.805428402070117,-0.784518752259355,-0.746264461174462,-0.798730665106176,-0.7960089244337,-0.7960089244337,-0.752206361781731,-0.72531454946724,-0.50559959050214,-0.650011574806939,-0.507442838621504,0.453578110771148,0.482654332334335,0.492577715735255,0.510568739329231,0.446806849886639,0.654697912920664,0.585307111748235,0.602528950077103,0.863805655192669,0.655148847462682,0.69031262671625
