"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","miR101","GRHL2","OVOL2","miR205","TCF3","NP63","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.802953952796701,0.802953952796701,0.795803781979304,0.759880300741782,0.791210703149493,0.791210703149493,0.753459243417794,0.53762768129672,0.657155305066021,0.495733528617843,-0.448761346341301,-0.470610554144884,-0.499955479727487,-0.498603641122789,-0.507730326702997,-0.52887421709122,-0.476636380214049,-0.683014657826626,-0.596191185928277,-0.644788328786975,-0.857523543983769,-0.665791249410264,-0.888934341649338
"miR200c",0.783308679189656,0.783308679189656,0.777232349148428,0.739362141930467,0.774748698478132,0.774748698478132,0.722453513302183,0.596067791671624,0.656146137687448,0.497066248856511,-0.453617638725422,-0.511214184851641,-0.503175129395406,-0.507250125572146,-0.540165734575289,-0.567414548665475,-0.537265875314144,-0.66260631925526,-0.68977284008121,-0.725941720802291,-0.838741725901961,-0.756990593012762,-0.862107572946682
"miR200b",0.783308679189656,0.783308679189656,0.777232349148428,0.739362141930467,0.774748698478132,0.774748698478132,0.722453513302183,0.596067791671624,0.656146137687448,0.497066248856511,-0.453617638725422,-0.511214184851641,-0.503175129395406,-0.507250125572146,-0.540165734575289,-0.567414548665475,-0.537265875314144,-0.66260631925526,-0.68977284008121,-0.725941720802291,-0.838741725901961,-0.756990593012762,-0.862107572946682
"miR200a",0.783308679189656,0.783308679189656,0.777232349148428,0.739362141930467,0.774748698478132,0.774748698478132,0.722453513302183,0.596067791671624,0.656146137687448,0.497066248856511,-0.453617638725422,-0.511214184851641,-0.503175129395406,-0.507250125572146,-0.540165734575289,-0.567414548665475,-0.537265875314144,-0.66260631925526,-0.68977284008121,-0.725941720802291,-0.838741725901961,-0.756990593012762,-0.862107572946682
"miR141",0.783308679189656,0.783308679189656,0.777232349148428,0.739362141930467,0.774748698478132,0.774748698478132,0.722453513302183,0.596067791671624,0.656146137687448,0.497066248856511,-0.453617638725422,-0.511214184851641,-0.503175129395406,-0.507250125572146,-0.540165734575289,-0.567414548665475,-0.537265875314144,-0.66260631925526,-0.68977284008121,-0.725941720802291,-0.838741725901961,-0.756990593012762,-0.862107572946682
"miR101",0.709684196574653,0.709684196574653,0.703086945918516,0.650109062941095,0.702960786561606,0.702960786561606,0.596879739248836,0.546622034423992,0.599882445660932,0.467190878490875,-0.432543425373007,-0.395826267972035,-0.475964063626209,-0.403712634765959,-0.49612796886691,-0.446131255805258,-0.594507299064979,-0.577895332018014,-0.545232636375429,-0.642016391222389,-0.758969817246159,-0.604143166353881,-0.777665703023438
"CDH1",0.617536992946262,0.617536992946262,0.813627186827413,0.779906932223725,0.613312466029537,0.613312466029537,0.548110132876534,0.735696675070196,0.536406083401865,0.426346623894236,-0.366170520231214,-0.545114340240294,-0.419303545398137,-0.456344069124847,-0.474498884872876,-0.606644220718382,-0.671845618811906,-0.798700446527326,-0.640699541378577,-0.871720290388143,-0.681933216538915,-0.712764111626341,-0.69513650059636
"miR34a",0.723944704876131,0.723944704876131,0.718815676128321,0.673681590773598,0.718385921293686,0.718385921293686,0.63059377511297,0.614223046324139,0.617666776906216,0.489184974888216,-0.453333932328731,-0.520382269295254,-0.49826174280047,-0.489583020899414,-0.546335795913328,-0.572325771141522,-0.560555444910494,-0.799197665940959,-0.55977866186999,-0.76362550833036,-0.77604316518562,-0.62059119317109,-0.691927491077467
"CLDN7",0.542966371117504,0.542966371117504,0.740023861727941,0.811099192904611,0.540054228089297,0.540054228089297,0.481535298439448,0.671845618811906,0.477966970328463,0.380397277450935,-0.3075,-0.47933505660041,-0.366170520231214,-0.409467657246587,-0.417189607138245,-0.545114340240294,-0.604061383973581,-0.727729082125305,-0.562849260428785,-0.804577687649852,-0.613312466029537,-0.640699541378577,-0.623372344821606
"GRHL2",0.604970113116794,0.604970113116794,0.606066095214702,0.558408576367588,0.587868941035407,0.587868941035407,0.571117551245712,0.485841962981676,0.335704532916634,0.360607428549705,-0.422448884311675,-0.361470564569805,-0.458283794147314,-0.382880273855035,-0.39303227111232,-0.402585657927803,-0.443473020686681,-0.51080282561804,-0.515318025762184,-0.551945626084954,-0.633557604192359,-0.563841559967298,-0.482063248833107
"OVOL2",0.441474826533194,0.441474826533194,0.472940298322962,0.505499610800294,0.42758085096298,0.42758085096298,0.431967804866445,0.445467254669854,0.290688154889485,0.179786712448233,-0.215114946069387,-0.336329114423112,-0.242923154887546,-0.345141023902253,-0.356072289304833,-0.367774693877827,-0.412468779076816,-0.472731218324869,-0.343686726146263,-0.5027342669553,-0.463575383638532,-0.381341736066898,-0.400386014965932
"NP63",0.10957765120563,0.10957765120563,-0.0405560079520289,-0.0620931174325295,0.137496182163766,0.137496182163766,0.111902478354307,-0.213934414354878,0.144589529264847,0.154671248719815,-0.144867366028426,0.163071724249325,-0.249096729742958,0.0660402436100336,0.0784808097151714,0.158877850132866,0.217761378552476,0.162603558040256,-0.0807590385317083,0.188624261481902,-0.14171924053066,-0.0862380450873457,-0.0724967423496519
"SNAI1",-0.536818286300487,-0.536818286300487,-0.532156642406824,-0.571663449013734,-0.536829683468859,-0.536829683468859,-0.502613707478675,-0.482418781270356,-0.465675569782429,-0.383202872289932,0.355044222958478,0.33756940299677,0.387356156308147,0.226164256496859,0.42689842372683,0.373821887425977,0.444600918233409,0.505492456294279,0.422745915520562,0.561321903767939,0.578099106819732,0.466329924575722,0.57912906841481
