"","miR200c","miR200b","miR200a","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.428155638275885,0.428155638275885,0.428155638275885,0.492232038467915,0.414723376030812,0.414723376030812,0.419075292794424,0.298858375771092,0.431397879731555,0.171715224913039,-0.0243061314773402,-0.0243748788993119,-0.326557163395525,-0.33351778419678,-0.344040779679638,-0.355698178972106,-0.401175216633487,-0.457711290881786,-0.315485071239379,-0.483031256845149,-0.449126574165888,-0.351262164862715,-0.385286762486808
"NP63",0.209637803274848,0.209637803274848,0.209637803274848,-0.00630377264865781,0.239526872574931,0.239526872574931,0.193380113666476,0.306672495539678,-0.210637828504556,0.23135319178322,0.0198964608494622,0.119788483207186,0.134408598291404,0.0200069065480483,0.0294567468793014,0.122202669395951,0.222275098443207,0.149460089140344,-0.270725557034651,0.190242804554394,-0.253539832586309,-0.287075494810037,-0.176019628100937
"SNAI1",-0.531733513927533,-0.531733513927533,-0.531733513927533,-0.563430379978576,-0.532635854418411,-0.532635854418411,-0.496628049486166,-0.494447130711297,-0.469130259291529,-0.382230832134831,0,0,0.330831282355757,0.218627489087746,0.419353256310676,0.36548013943552,0.433564600060999,0.491853335669398,0.418499861716092,0.541557103430055,0.573222211738818,0.461278526617638,0.571942991334207
"TCF3",-0.533969941050326,-0.533969941050326,-0.533969941050326,-0.799757824167759,-0.53176974627564,-0.53176974627564,-0.465555713581008,-0.500163064434236,-0.656266080324349,-0.381135481638824,0,0,0.46487748293403,0.38742884643392,0.395927916538649,0.526586550122549,0.593294288508695,0.713621231772082,0.358186953700523,0.784538953936017,0.60339897426428,0.433837942112248,0.611234904772786
"KLF8",-0.533969941050326,-0.533969941050326,-0.533969941050326,-0.799757824167759,-0.53176974627564,-0.53176974627564,-0.465555713581008,-0.500163064434236,-0.656266080324349,-0.381135481638824,0,0,0.46487748293403,0.38742884643392,0.395927916538649,0.526586550122549,0.593294288508695,0.713621231772082,0.358186953700523,0.784538953936017,0.60339897426428,0.433837942112248,0.611234904772786
"TGFbeta",-0.585238825327879,-0.585238825327879,-0.585238825327879,-0.630851475148708,-0.583003571293054,-0.583003571293054,-0.581962740667426,-0.542001416732318,-0.555340295914387,-0.416751262639426,0,0,0.475097324732423,0.440702929621146,0.498470859552428,0.522603025621505,0.507406751193519,0.649858538295075,0.541671135443388,0.706799836225378,0.636397886305476,0.498049668651851,0.644072684201816
"FOXC2",-0.789485040201797,-0.789485040201797,-0.789485040201797,-0.733197028626687,-0.77825550779519,-0.77825550779519,-0.737530910970808,-0.692810735569304,-0.499089905548619,-0.484273776408935,0,0,0.450233381231338,0.475509964101877,0.48689695859799,0.504910810301876,0.442773276351433,0.644652447147074,0.575096509362613,0.590556882247821,0.841834309616536,0.641551077292764,0.673550106119359
"ZEB1",-0.85408456314712,-0.85408456314712,-0.85408456314712,-0.792273188336253,-0.841834309616536,-0.841834309616536,-0.795218018156132,-0.749036622406626,-0.552772983214335,-0.523832641383645,0,0,0.504910810301876,0.514411671531503,0.536813569918188,0.558302693810969,0.499089905548619,0.704349353205952,0.641551077292764,0.646158092698287,0.80219992336971,0.705701989306957,0.736287316130853
"SNAI2",-0.674501512440663,-0.674501512440663,-0.674501512440663,-0.827839984070317,-0.670157671116847,-0.670157671116847,-0.590595982486729,-0.622575746812891,-0.772324876167423,-0.467967704602068,0,0,0.585620072107747,0.472799759730689,0.502632667157752,0.640740530274764,0.716379990510548,0.843039489760692,0.503766656469426,0.804932042146744,0.733380355937372,0.570672543705491,0.746267235640692
"GSC",-0.728006366556005,-0.728006366556005,-0.728006366556005,-0.669458078800751,-0.723373847869735,-0.723373847869735,-0.642755036726307,-0.664750012491954,-0.589478727284449,-0.496183455579528,0,0,0.586054201365181,0.48767887951452,0.620295997271749,0.636722041497714,0.537947832950062,0.584384165206349,0.560962570663014,0.637915321050234,0.781303513802047,0.622002193074752,0.794693181653678
"TWIST1",-0.732674624271528,-0.732674624271528,-0.732674624271528,-0.775612396126597,-0.727172932776329,-0.727172932776329,-0.632703166469759,-0.669264199156074,-0.604891093517236,-0.495689014560767,0,0,0.603052813941891,0.41331396125721,0.613787123682854,0.554432866122969,0.552615777516484,0.692397246104654,0.562729287961756,0.749316723723951,0.785652866885733,0.62418501572747,0.80118428913112
"TWIST2",-0.733589834397283,-0.733589834397283,-0.733589834397283,-0.779429928999985,-0.728312252265631,-0.728312252265631,-0.638837455573713,-0.672678393311015,-0.617070809831535,-0.499991144377475,0,0,0.625499042375072,0.494948816512719,0.533212452389313,0.676737979721951,0.564861143536241,0.694990162060175,0.565637552436044,0.752351238932475,0.786914409598769,0.6272518568491,0.801894253450114
"ZEB2",-0.923981872312817,-0.923981872312817,-0.923981872312817,-0.881073143969681,-0.718146791941981,-0.718146791941981,-0.669239907580559,-0.660039785873215,-0.637019107499576,-0.481637882374298,0,0,0.462374762505314,0.483156536314349,0.501291219986331,0.524450945008453,0.574779019370518,0.69234058080235,0.731036972877771,0.752592461477413,0.787915364428128,0.805135203200789,0.904622486144924
