"","miR200c","miR200b","miR200a","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.80639365025076,0.80639365025076,0.80639365025076,0.754483380949219,0.796053498871157,0.796053498871157,0.754876688878148,0.717962441575595,0.518127885024633,0.504432306280157,0,0,-0.463778130443229,-0.492684520788634,-0.502550170159258,-0.520615474550027,-0.45948193461141,-0.664427747359208,-0.598167175389046,-0.614592449079189,-0.862332011526089,-0.667407276228745,-0.890092207198245
"miR200c",0.784143675543637,0.784143675543637,0.784143675543637,0.733280484139654,0.776769770360982,0.776769770360982,0.721602950547144,0.70898840532504,0.578984570165947,0.502522809266025,0,0,-0.504518379594812,-0.500444349284297,-0.534037821692467,-0.558990002143597,-0.522773192747523,-0.645823989554214,-0.687852289247897,-0.69906109738467,-0.840479065054777,-0.754456736132333,-0.860720105913675
"miR200b",0.784143675543637,0.784143675543637,0.784143675543637,0.733280484139654,0.776769770360982,0.776769770360982,0.721602950547144,0.70898840532504,0.578984570165947,0.502522809266025,0,0,-0.504518379594812,-0.500444349284297,-0.534037821692467,-0.558990002143597,-0.522773192747523,-0.645823989554214,-0.687852289247897,-0.69906109738467,-0.840479065054777,-0.754456736132333,-0.860720105913675
"miR200a",0.784143675543637,0.784143675543637,0.784143675543637,0.733280484139654,0.776769770360982,0.776769770360982,0.721602950547144,0.70898840532504,0.578984570165947,0.502522809266025,0,0,-0.504518379594812,-0.500444349284297,-0.534037821692467,-0.558990002143597,-0.522773192747523,-0.645823989554214,-0.687852289247897,-0.69906109738467,-0.840479065054777,-0.754456736132333,-0.860720105913675
"miR141",0.784143675543637,0.784143675543637,0.784143675543637,0.733280484139654,0.776769770360982,0.776769770360982,0.721602950547144,0.70898840532504,0.578984570165947,0.502522809266025,0,0,-0.504518379594812,-0.500444349284297,-0.534037821692467,-0.558990002143597,-0.522773192747523,-0.645823989554214,-0.687852289247897,-0.69906109738467,-0.840479065054777,-0.754456736132333,-0.860720105913675
"miR101",0.71033094401328,0.71033094401328,0.71033094401328,0.644705158597715,0.70462481719189,0.70462481719189,0.595935772861335,0.647390636310236,0.531562099303244,0.471828744270524,0,0,-0.390055969630271,-0.39782936162312,-0.490869240072582,-0.438970650862025,-0.581676836048131,-0.563160088080515,-0.544793946847023,-0.618501635645687,-0.760403425047308,-0.603259120309338,-0.776443356356112
"miR34a",0.718369466345865,0.718369466345865,0.718369466345865,0.663538020444862,0.714106982758253,0.714106982758253,0.623879406984757,0.658412114959102,0.596497820354265,0.488683742131023,0,0,-0.510996881838963,-0.478746336379595,-0.536080585661745,-0.560933833472489,-0.545781772024334,-0.781355225706555,-0.553883862742861,-0.7372146560483,-0.770853647263446,-0.613611000522419,-0.683322480970795
"CDH1",0.606646150508562,0.606646150508562,0.606646150508562,0.765931091364568,0.60339897426428,0.60339897426428,0.530396251418545,0.563498071968139,0.716379990510548,0.426366511736323,0,0,-0.526586550122549,-0.431355093722424,-0.450854489678365,-0.585620072107747,-0.656266080324349,-0.780240306586474,-0.433837942112248,-0.846544884212092,-0.670157671116847,-0.503766656469426,-0.680641119186321
"CLDN7",0.533969941050326,0.533969941050326,0.533969941050326,0.799757824167759,0.53176974627564,0.53176974627564,0.465555713581008,0.500163064434236,0.656266080324349,0.381135481638824,0,0,-0.46487748293403,-0.38742884643392,-0.395927916538649,-0.526586550122549,-0.593294288508695,-0.713621231772082,-0.358186953700523,-0.784538953936017,-0.60339897426428,-0.433837942112248,-0.611234904772786
"GRHL2",0.659126918122812,0.659126918122812,0.659126918122812,0.543664703233825,0.648297672752251,0.648297672752251,0.613715708176744,0.518399086801291,0.350618177923395,0.424500230629353,0.0253968983813433,0.0255027388508901,-0.317354053865407,-0.366913056988093,-0.378897218841529,-0.359332250730212,-0.307782430105071,-0.423620581368084,-0.56587044132727,-0.411949770729427,-0.696202216292091,-0.615993543502075,-0.529651067752886
