"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","OVOL2","miR101","NP63","miR205","SNAI2","KLF8","TWIST2","TCF3","TWIST1","SNAI1","FOXC2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.738284662273765,0.738284662273765,0.627085059937306,0.615736321578241,0.73470220955215,0.73470220955215,0.6653620916435,0.694042621403716,0.467904731201893,0.207337447504468,0,0,-0.154853075555397,-0.186448781129851,-0.347769843910815,-0.36668477897,-0.400785516171928,-0.41398141957598,-0.435509067927152,-0.547415378864423,-0.782255656093186,-0.598929424254044,-0.790691700349988
"miR200c",0.726055361013439,0.726055361013439,0.622927856763476,0.609747820717484,0.724655416605443,0.724655416605443,0.664511914771231,0.669689802771703,0.472110521367067,0.316063387423715,0,0,-0.285010690927351,-0.295576013049593,-0.369581795128607,-0.418815770803374,-0.452160935480896,-0.431572512833685,-0.476042460602789,-0.646487190963578,-0.771097818082093,-0.696870110698147,-0.774053748172195
"miR200b",0.726055361013439,0.726055361013439,0.622927856763476,0.609747820717484,0.724655416605443,0.724655416605443,0.664511914771231,0.669689802771703,0.472110521367067,0.316063387423715,0,0,-0.285010690927351,-0.295576013049593,-0.369581795128607,-0.418815770803374,-0.452160935480896,-0.431572512833685,-0.476042460602789,-0.646487190963578,-0.771097818082093,-0.696870110698147,-0.774053748172195
"miR200a",0.726055361013439,0.726055361013439,0.622927856763476,0.609747820717484,0.724655416605443,0.724655416605443,0.664511914771231,0.669689802771703,0.472110521367067,0.316063387423715,0,0,-0.285010690927351,-0.295576013049593,-0.369581795128607,-0.418815770803374,-0.452160935480896,-0.431572512833685,-0.476042460602789,-0.646487190963578,-0.771097818082093,-0.696870110698147,-0.774053748172195
"miR141",0.726055361013439,0.726055361013439,0.622927856763476,0.609747820717484,0.724655416605443,0.724655416605443,0.664511914771231,0.669689802771703,0.472110521367067,0.316063387423715,0,0,-0.285010690927351,-0.295576013049593,-0.369581795128607,-0.418815770803374,-0.452160935480896,-0.431572512833685,-0.476042460602789,-0.646487190963578,-0.771097818082093,-0.696870110698147,-0.774053748172195
"miR101",0.645392240587627,0.645392240587627,0.545921788301169,0.516463942934116,0.645932276894532,0.645932276894532,0.596895214204457,0.53794362908832,0.436866612585084,0.273233031849062,0,0,-0.220951781373645,-0.355631947233064,-0.291485920574093,-0.296918906276134,-0.325867107448073,-0.324812681949867,-0.427208473219132,-0.495836479860452,-0.684823546134175,-0.538231402262753,-0.683290066631781
"miR34a",0.663452180056507,0.663452180056507,0.565049311746459,0.545245741425931,0.664828086817197,0.664828086817197,0.616797294656248,0.575052734380554,0.460709076234153,0.355323655723047,0,0,-0.357281881637587,-0.336828150191394,-0.526935524101905,-0.42641149937085,-0.456818623051103,-0.414228238920189,-0.481225111411105,-0.51321793709606,-0.705375843603474,-0.557556586336687,-0.601750541993276
"TCF3",0.480160065411565,0.480160065411565,0.574324315636446,0.472568959495278,0.483391524925479,0.483391524925479,0.456302244029335,0.423288492430942,0.346900633475429,0.401052631981937,0,0,-0.360920606403129,-0.377017465836802,-0.420690179860629,-0.382141456457795,-0.421347652004745,-0.328156253568894,-0.348770744778236,-0.516905539243748,-0.53547432491085,-0.574273674099648,-0.52746721866863
"KLF8",0.480160065411565,0.480160065411565,0.574324315636446,0.472568959495278,0.483391524925479,0.483391524925479,0.456302244029335,0.423288492430942,0.346900633475429,0.401052631981937,0,0,-0.360920606403129,-0.377017465836802,-0.420690179860629,-0.382141456457795,-0.421347652004745,-0.328156253568894,-0.348770744778236,-0.516905539243748,-0.53547432491085,-0.574273674099648,-0.52746721866863
"GRHL2",0.598888761884871,0.598888761884871,0.453282812936113,0.440365184547767,0.594551145701004,0.594551145701004,0.473387810808069,0.562544426475242,0.393541373320684,0.154229298479682,0.0255409753580788,0.0256364332958402,-0.119781053930664,-0.139104513057789,-0.22133792504032,-0.245832021444076,-0.270691839930694,-0.307409561664184,-0.326613152659665,-0.507480989233419,-0.628138936961073,-0.543991019888031,-0.443181102974064
