"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.786505026429411,0.786505026429411,0.769424089203444,0.726474739058672,0.777204498982418,0.777204498982418,0.702879529413992,0.71154258539891,0.468139234024218,0.494834016231492,0,0,-0.366073969859042,-0.411849769743729,-0.424964438389611,-0.457148563038898,-0.419509157048187,-0.640017030866818,-0.586738410462887,-0.590989820855011,-0.836475191271954,-0.65545577863949,-0.861134245622504
"miR200c",0.763211078621129,0.763211078621129,0.749024519408266,0.703495758269348,0.756790260506628,0.756790260506628,0.693008720581089,0.676399741914611,0.526220745390928,0.492483525630518,0,0,-0.373189807367658,-0.449371023101679,-0.453171306411184,-0.492394227325469,-0.479992223363624,-0.619402853163703,-0.669197678494802,-0.682139861313736,-0.81343083581112,-0.743818345087938,-0.830786714029368
"miR200b",0.763211078621129,0.763211078621129,0.749024519408266,0.703495758269348,0.756790260506628,0.756790260506628,0.693008720581089,0.676399741914611,0.526220745390928,0.492483525630518,0,0,-0.373189807367658,-0.449371023101679,-0.453171306411184,-0.492394227325469,-0.479992223363624,-0.619402853163703,-0.669197678494802,-0.682139861313736,-0.81343083581112,-0.743818345087938,-0.830786714029368
"miR200a",0.763211078621129,0.763211078621129,0.749024519408266,0.703495758269348,0.756790260506628,0.756790260506628,0.693008720581089,0.676399741914611,0.526220745390928,0.492483525630518,0,0,-0.373189807367658,-0.449371023101679,-0.453171306411184,-0.492394227325469,-0.479992223363624,-0.619402853163703,-0.669197678494802,-0.682139861313736,-0.81343083581112,-0.743818345087938,-0.830786714029368
"miR141",0.763211078621129,0.763211078621129,0.749024519408266,0.703495758269348,0.756790260506628,0.756790260506628,0.693008720581089,0.676399741914611,0.526220745390928,0.492483525630518,0,0,-0.373189807367658,-0.449371023101679,-0.453171306411184,-0.492394227325469,-0.479992223363624,-0.619402853163703,-0.669197678494802,-0.682139861313736,-0.81343083581112,-0.743818345087938,-0.830786714029368
"miR101",0.690222209230232,0.690222209230232,0.67662578103471,0.616518979774703,0.685403900303366,0.685403900303366,0.6318844617878,0.553442886843737,0.482023884997856,0.461906629845313,0,0,-0.277611275552745,-0.33741115425807,-0.41457398856047,-0.376369939980929,-0.540960004305616,-0.538041141052851,-0.59034954949187,-0.537384853674373,-0.734719348047343,-0.591240423856063,-0.748100319656934
"miR34a",0.629663127810858,0.629663127810858,0.618898387318721,0.557906500495424,0.627349502763518,0.627349502763518,0.583003702458321,0.482614744116898,0.449310206694917,0.4363055940865,0,0,-0.218011165905506,-0.348719807806297,-0.35357735408784,-0.383151716351091,-0.413319887088279,-0.682290539420246,-0.634241536082983,-0.499245028684121,-0.670401882095444,-0.546437734849005,-0.577435597934159
"CDH1",0.505622456621362,0.505622456621362,0.698725551845033,0.650951797294357,0.501032676591346,0.501032676591346,0.469069385111236,0.389054289165659,0.5649536758446,0.358595886524537,0,0,-0.184417899280716,-0.375483179623053,-0.261096663339385,-0.413268040180822,-0.524104140080632,-0.670298278006233,-0.72799816338718,-0.571110598425602,-0.550980535602111,-0.625223985090086,-0.563502229792354
"CLDN7",0.449551718027217,0.449551718027217,0.644498918508249,0.701748185359433,0.44579001850701,0.44579001850701,0.420031953692219,0.342744355390824,0.524104140080632,0.323401683490916,0,0,-0.161330865970657,-0.331194699468164,-0.227850949736422,-0.375483179623053,-0.478581863221744,-0.620410574468895,-0.682020224752555,-0.509591656971913,-0.501032676591346,-0.571110598425602,-0.511802200846216
"GRHL2",0.63060037714674,0.63060037714674,0.552030421885233,0.51424048852766,0.622189698105981,0.622189698105981,0.497741213431225,0.571993253028658,0.308139288276105,0.410938545029805,0.0255409753580788,0.0256364332958402,-0.267341731575106,-0.272927004231201,-0.313329425538778,-0.305004002901645,-0.273966129246218,-0.398944269448548,-0.38405736619594,-0.537590782436426,-0.663478044209521,-0.582451284551206,-0.490109436892393
