"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","FOXC2","GSC","SNAI1","TCF3","TGFbeta","TWIST1","KLF8","TWIST2","SNAI2","ZEB1","ZEB2"
"miR205",0.758458599841562,0.758458599841562,0.727473828725181,0.690995233861206,0.750883359902157,0.750883359902157,0.679639427965986,0.689777411857185,0.419171661212562,0.478226479531657,0,0,-0.354567294095951,-0.250993536450434,-0.359467033125838,-0.354644586240283,-0.273853399964162,-0.392699032103304,-0.37663458129517,-0.585309695173125,-0.505857423366008,-0.803677114017012,-0.823578574770652
"miR200c",0.746361299989151,0.746361299989151,0.720361659986368,0.681769084564871,0.741264369955063,0.741264369955063,0.679238017927407,0.66964212136279,0.496258771455271,0.482654611486662,0,0,-0.408328751385508,-0.334435847812237,-0.390887305326194,-0.412652611000585,-0.357064472482721,-0.44960337781958,-0.454803132249191,-0.579735535596482,-0.606292760188765,-0.793267869634779,-0.806896394598668
"miR200a",0.746361299989151,0.746361299989151,0.720361659986368,0.681769084564871,0.741264369955063,0.741264369955063,0.679238017927407,0.66964212136279,0.496258771455271,0.482654611486662,0,0,-0.408328751385508,-0.334435847812237,-0.390887305326194,-0.412652611000585,-0.357064472482721,-0.44960337781958,-0.454803132249191,-0.579735535596482,-0.606292760188765,-0.793267869634779,-0.806896394598668
"miR141",0.746361299989151,0.746361299989151,0.720361659986368,0.681769084564871,0.741264369955063,0.741264369955063,0.679238017927407,0.66964212136279,0.496258771455271,0.482654611486662,0,0,-0.408328751385508,-0.334435847812237,-0.390887305326194,-0.412652611000585,-0.357064472482721,-0.44960337781958,-0.454803132249191,-0.579735535596482,-0.606292760188765,-0.793267869634779,-0.806896394598668
"miR101",0.678318847986641,0.678318847986641,0.65466451503048,0.600887004517316,0.674593207203799,0.674593207203799,0.622291857467242,0.551733408643153,0.45980089240768,0.45508680186164,0,0,-0.379550055305747,-0.223162077419527,-0.300398337155513,-0.309465492551504,-0.24307337037914,-0.342771909844696,-0.522938569521751,-0.506672424761851,-0.538833753893792,-0.720228486199217,-0.730470599291167
"miR34a",0.695339065463331,0.695339065463331,0.674302210346157,0.628240968278349,0.692542022669648,0.692542022669648,0.641430631891835,0.588858511762172,0.533384543554745,0.47827250728177,0,0,-0.435157987175899,-0.20198564476629,-0.39210130183647,-0.439598259342177,-0.222914389886335,-0.474015996109279,-0.495259351483448,-0.733028379741843,-0.666744398298446,-0.740187915445626,-0.64814479815358
"CDH1",0.56006300852428,0.56006300852428,0.736006027707105,0.700873297803159,0.558655632368581,0.558655632368581,0.523281435712112,0.469467912592098,0.613242296316923,0.395123829380345,0,0,-0.30529225824292,0.048297802139904,-0.310590458408604,-0.414999897606055,0.0252787952450455,-0.45393216852239,-0.570199366615522,-0.695647087880382,-0.728095096333099,-0.6115763299348,-0.616573311855914
"CLDN7",0.500238793506128,0.500238793506128,0.679454191358798,0.748709642661458,0.499382692310797,0.499382692310797,0.470666430680134,0.417923541731171,0.570199366615522,0.357361998955592,0,0,-0.272536418587026,0.0749427178549665,-0.284525645495309,-0.375454883085242,0.048297802139904,-0.414999897606055,-0.525451937022317,-0.645317217021314,-0.684147306136055,-0.558655632368581,-0.562103360173698
"miR200b",0.465796193529526,0.465796193529526,0.379468562863385,0.35084346121487,0.467763907039529,0.467763907039529,0.436390886608788,0.328793681129888,0.0676522626306944,0.310180935414554,0,0,0.00725071461438284,-0.0774847790380672,-0.0348463835102854,-0.0317065094343591,-0.0875895422414124,-0.0494165527666572,-0.0478979310143982,-0.198076000030579,-0.111490256585834,-0.491645426811157,-0.48802204153524
"GRHL2",0.622972809646865,0.622972809646865,0.537044269381252,0.504202899918211,0.615354715788827,0.615354715788827,0.491711355390717,0.572503556677646,0.294330333612485,0.406637954795838,0.0255409753580788,0.0256364332958402,-0.290804004618742,-0.30045429834741,-0.288375738966895,-0.25497266578759,-0.317327638813161,-0.283370261024309,-0.262840391273473,-0.377388147306596,-0.348209175951847,-0.654199217685252,-0.478535159329653
