"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","OVOL2","miR34a","GRHL2","miR101","miR205","NP63","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.842559067074288,0.842559067074288,0.835991124540383,0.821847145051584,0.842435386636671,0.842435386636671,0.832695478249972,0.796527931500561,0.740980199710481,0.573728581127874,-0.15719960478962,-0.176791320179571,-0.492231337324323,-0.527747860087826,-0.535398206746517,-0.558608339918944,-0.503640340311803,-0.72326130247205,-0.673716550235541,-0.698252990123233,-0.920010820482213,-0.757587364392024,-0.92030364500479
"miR200c",0.814039258226605,0.814039258226605,0.808626099828149,0.789077227579179,0.814888808700545,0.814888808700545,0.811067605737282,0.756027883982255,0.728924461783967,0.624222748593884,-0.147437381128965,-0.165827286940232,-0.527617822624212,-0.530179841041765,-0.56163922552472,-0.590473317544129,-0.557847257797443,-0.693893900845032,-0.755516776128559,-0.768645168804134,-0.88855237966838,-0.835133401889854,-0.886468101878157
"miR200b",0.814039258226605,0.814039258226605,0.808626099828149,0.789077227579179,0.814888808700545,0.814888808700545,0.811067605737282,0.756027883982255,0.728924461783967,0.624222748593884,-0.147437381128965,-0.165827286940232,-0.527617822624212,-0.530179841041765,-0.56163922552472,-0.590473317544129,-0.557847257797443,-0.693893900845032,-0.755516776128559,-0.768645168804134,-0.88855237966838,-0.835133401889854,-0.886468101878157
"miR200a",0.814039258226605,0.814039258226605,0.808626099828149,0.789077227579179,0.814888808700545,0.814888808700545,0.811067605737282,0.756027883982255,0.728924461783967,0.624222748593884,-0.147437381128965,-0.165827286940232,-0.527617822624212,-0.530179841041765,-0.56163922552472,-0.590473317544129,-0.557847257797443,-0.693893900845032,-0.755516776128559,-0.768645168804134,-0.88855237966838,-0.835133401889854,-0.886468101878157
"miR141",0.814039258226605,0.814039258226605,0.808626099828149,0.789077227579179,0.814888808700545,0.814888808700545,0.811067605737282,0.756027883982255,0.728924461783967,0.624222748593884,-0.147437381128965,-0.165827286940232,-0.527617822624212,-0.530179841041765,-0.56163922552472,-0.590473317544129,-0.557847257797443,-0.693893900845032,-0.755516776128559,-0.768645168804134,-0.88855237966838,-0.835133401889854,-0.886468101878157
"miR101",0.735916449620853,0.735916449620853,0.729975659714447,0.692929568133877,0.737265782316551,0.737265782316551,0.739115059040045,0.625754932293938,0.664579854496155,0.570632970514793,-0.12182920574984,-0.137877389667539,-0.409655129576606,-0.423317675266842,-0.51438991061028,-0.465734699210948,-0.611942750667383,-0.604655004249707,-0.597823976619023,-0.678671154327092,-0.801717843883408,-0.667547878051919,-0.798525120674343
"miR34a",0.74684144489944,0.74684144489944,0.742292077571576,0.712002340802112,0.74861426354392,0.74861426354392,0.750737555659952,0.655943642276745,0.679232824315566,0.635041122511006,-0.113562467901479,-0.129650419913892,-0.532037177852274,-0.506822719487633,-0.562100687703546,-0.589210065666907,-0.575342482375787,-0.822402831792579,-0.606864141077373,-0.7961389061822,-0.814272021448652,-0.677981447040723,-0.7100281983798
"CDH1",0.628609584125101,0.628609584125101,0.824759952767668,0.802476000946476,0.629288309572752,0.629288309572752,0.630812290396271,0.561096809651305,0.578431555954353,0.745029990901711,-0.0797746502471308,-0.0987782455219125,-0.548537752345346,-0.464865396570229,-0.481216096998203,-0.613690474788905,-0.676720974693888,-0.809135156573796,-0.667917732637715,-0.889164053725874,-0.704522141855244,-0.749373222950132,-0.702959921395301
"CLDN7",0.549750488101493,0.549750488101493,0.746568345389734,0.826861299272213,0.5504052316369,0.5504052316369,0.552611493546391,0.489663697068524,0.510402467878516,0.676720974693888,-0.0620289855072464,-0.0797746502471308,-0.480725554862287,-0.414875664775758,-0.420549390504386,-0.548537752345346,-0.60616517078985,-0.733306970161668,-0.582327738075453,-0.815914244903423,-0.629288309572752,-0.667917732637715,-0.627742268704424
"OVOL2",0.730473109687182,0.730473109687182,0.738545348567246,0.822831975111101,0.724369695244605,0.724369695244605,0.76957975584889,0.683071427905268,0.469976539984423,0.695224474049521,-0.362724474229666,-0.378443096945988,-0.517282241511026,-0.520600151380699,-0.542334528011203,-0.573092974551815,-0.636780465846237,-0.743958786303378,-0.778773236774591,-0.815236568213681,-0.789200560084573,-0.849162897268418,-0.604394485785342
