"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","OVOL2","miR34a","GRHL2","miR101","miR205","NP63","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.842996708182888,0.842996708182888,0.83521381652062,0.819843662234845,0.842810691737922,0.842810691737922,0.830147356118876,0.795561684275547,0.760482766561928,0.568922419500111,-0.0815712464096011,-0.0907807253147508,-0.489763466986106,-0.524483844058817,-0.53256440632714,-0.555416323718173,-0.499756661593896,-0.720286996565802,-0.673707028642165,-0.69352949002801,-0.920362615757323,-0.757512018503753,-0.920828327807154
"miR200c",0.813534990179365,0.813534990179365,0.807002741385897,0.786030187520263,0.81411723218944,0.81411723218944,0.806082162038593,0.754332458082343,0.743824058029973,0.619202581966267,-0.0767059759081014,-0.0852223285180213,-0.525056382878348,-0.526786063624612,-0.558684545317598,-0.587085909541773,-0.55387172846012,-0.690237108335727,-0.754502360205423,-0.76318214677631,-0.887562129619738,-0.833835352889779,-0.886186640561529
"miR200b",0.813534990179365,0.813534990179365,0.807002741385897,0.786030187520263,0.81411723218944,0.81411723218944,0.806082162038593,0.754332458082343,0.743824058029973,0.619202581966267,-0.0767059759081014,-0.0852223285180213,-0.525056382878348,-0.526786063624612,-0.558684545317598,-0.587085909541773,-0.55387172846012,-0.690237108335727,-0.754502360205423,-0.76318214677631,-0.887562129619738,-0.833835352889779,-0.886186640561529
"miR200a",0.813534990179365,0.813534990179365,0.807002741385897,0.786030187520263,0.81411723218944,0.81411723218944,0.806082162038593,0.754332458082343,0.743824058029973,0.619202581966267,-0.0767059759081014,-0.0852223285180213,-0.525056382878348,-0.526786063624612,-0.558684545317598,-0.587085909541773,-0.55387172846012,-0.690237108335727,-0.754502360205423,-0.76318214677631,-0.887562129619738,-0.833835352889779,-0.886186640561529
"miR141",0.813534990179365,0.813534990179365,0.807002741385897,0.786030187520263,0.81411723218944,0.81411723218944,0.806082162038593,0.754332458082343,0.743824058029973,0.619202581966267,-0.0767059759081014,-0.0852223285180213,-0.525056382878348,-0.526786063624612,-0.558684545317598,-0.587085909541773,-0.55387172846012,-0.690237108335727,-0.754502360205423,-0.76318214677631,-0.887562129619738,-0.833835352889779,-0.886186640561529
"miR101",0.734413481449328,0.734413481449328,0.727284143087022,0.688569876523634,0.735252675415562,0.735252675415562,0.730494427862516,0.623021178838592,0.675704176018689,0.564909633035185,-0.0593674788459241,-0.0667606112916144,-0.406862181956264,-0.419754901199057,-0.511164945846725,-0.462105307994278,-0.607277757937249,-0.59996566480223,-0.595570865241678,-0.67197564043944,-0.799301677198408,-0.664827422404752,-0.797338484423713
"miR34a",0.745623282024572,0.745623282024572,0.740039258037011,0.708247980123111,0.74696038048674,0.74696038048674,0.742769291169121,0.653643315601159,0.68954969531632,0.630091720776642,-0.0539972277905995,-0.0613169153440518,-0.529652074816565,-0.503630141923541,-0.559293831672664,-0.586050194768902,-0.571410609045742,-0.818361497598427,-0.604933879498144,-0.790306985073327,-0.812261787487904,-0.675646985874432,-0.709097142307867
"CDH1",0.628164205029912,0.628164205029912,0.823782056294219,0.800489846572115,0.628550365781374,0.628550365781374,0.625622217411262,0.559974569116364,0.585686035994446,0.742503602877851,-0.0389288397084499,-0.0477335842339974,-0.547790196686943,-0.463132142245439,-0.479962606638977,-0.6122572573129,-0.675132266932964,-0.807194993918867,-0.667077776533735,-0.885858318993688,-0.703553508195587,-0.748210098994736,-0.70277872289554
"CLDN7",0.549451538348743,0.549451538348743,0.745941095090881,0.825447046874699,0.549873422942582,0.549873422942582,0.548083520093254,0.488898519544928,0.515768523519481,0.675132266932964,-0.0313034216482492,-0.0389288397084499,-0.48042514862187,-0.413681499561012,-0.419901313350592,-0.547790196686943,-0.605369117132902,-0.73210328445445,-0.581766288631277,-0.813555775486325,-0.628550365781374,-0.667077776533735,-0.62768985223653
"OVOL2",0.727233345798162,0.727233345798162,0.731167674306784,0.814006983049524,0.720249815961262,0.720249815961262,0.643191337801801,0.675904600760483,0.556006537954109,0.680384610646385,-0.169261627414239,-0.17646093092348,-0.503904899678323,-0.505020407666947,-0.527811007084371,-0.558567458506134,-0.623201495164913,-0.733788095901729,-0.670324183958266,-0.80332884579205,-0.784526034024245,-0.740108342774267,-0.601447931328036
"GRHL2",0.733388551988109,0.733388551988109,0.67021159358997,0.672050242074078,0.737531454463989,0.737531454463989,0.817730324630601,0.696334412010038,0.596218864253586,0.45461226536118,-0.0455791397358329,-0.0528961005246639,-0.380555391332897,-0.431442377391694,-0.443768504697197,-0.434324302833767,-0.398178403802985,-0.53636402815825,-0.679602908989952,-0.553330735371698,-0.800249120935922,-0.746953092843929,-0.58968601309792
"NP63",0.135615839000516,0.135615839000516,-0.033906592736299,-0.0479610107900295,0.171437988228477,0.171437988228477,0.301206837465463,0.138112367312061,0.247915689915019,-0.237824345976547,0.0908897687360944,-0.00924241897044887,0.168708125809882,0.0610182181427847,0.0730398374653189,0.161641073229081,0.244316843136827,0.180552152288252,-0.115865266403545,0.219840787422969,-0.179194188163448,-0.12568322042697,-0.0912611151025507
"SNAI1",-0.551707462765613,-0.551707462765613,-0.546642318100319,-0.595640928730084,-0.556535351556808,-0.556535351556808,-0.558081160274607,-0.518547309477395,-0.516748568139327,-0.493076619311608,0.0369220342480222,0.0420207717035094,0.343718347081034,0.235782532818616,0.435662916188448,0.383022778783515,0.451808521524656,0.518371436174475,0.45278857664796,0.579411066381703,0.603187333827204,0.503300154234057,0.590894081512609
"TCF3",-0.549451538348743,-0.549451538348743,-0.745941095090881,-0.825447046874699,-0.549873422942582,-0.549873422942582,-0.548083520093254,-0.488898519544928,-0.515768523519481,-0.675132266932964,0.0313034216482492,0.0389288397084499,0.48042514862187,0.413681499561012,0.419901313350592,0.547790196686943,0.605369117132902,0.73210328445445,0.581766288631277,0.813555775486325,0.628550365781374,0.667077776533735,0.62768985223653
