"","miR200b","CDH1","miR200c","miR101","miR141","CLDN7","miR34a","GRHL2","OVOL2","NP63","miR205","SNAI1","FOXC2","TCF3","TWIST1","miR200a","GSC","TGFbeta","ZEB1","KLF8","TWIST2","SNAI2","ZEB2"
"miR200c",0.657801580702077,0.636877999491327,0.653728258902371,0.514722833997988,0.656498616196236,0.656498616196236,0.61756300455293,0.604273020517006,0.427528457635792,0,0,-0.429677847369921,-0.461400164449485,-0.44676074163246,-0.487704587115105,0.0750772410574952,-0.510015747792228,-0.550124601532797,-0.699800680069855,-0.471894765844824,-0.573328496740179,-0.616797482152771,-0.693336162134557
"miR200b",0.657801580702077,0.636877999491327,0.653728258902371,0.514722833997988,0.656498616196236,0.656498616196236,0.61756300455293,0.604273020517006,0.427528457635792,0,0,-0.429677847369921,-0.461400164449485,-0.44676074163246,-0.487704587115105,0.0750772410574952,-0.510015747792228,-0.550124601532797,-0.699800680069855,-0.471894765844824,-0.573328496740179,-0.616797482152771,-0.693336162134557
"miR200a",0.657801580702077,0.636877999491327,0.653728258902371,0.514722833997988,0.656498616196236,0.656498616196236,0.61756300455293,0.604273020517006,0.427528457635792,0,0,-0.429677847369921,-0.461400164449485,-0.44676074163246,-0.487704587115105,0.0750772410574952,-0.510015747792228,-0.550124601532797,-0.699800680069855,-0.471894765844824,-0.573328496740179,-0.616797482152771,-0.693336162134557
"miR141",0.657801580702077,0.636877999491327,0.653728258902371,0.514722833997988,0.656498616196236,0.656498616196236,0.61756300455293,0.604273020517006,0.427528457635792,0,0,-0.429677847369921,-0.461400164449485,-0.44676074163246,-0.487704587115105,0.0750772410574952,-0.510015747792228,-0.550124601532797,-0.699800680069855,-0.471894765844824,-0.573328496740179,-0.616797482152771,-0.693336162134557
"miR205",0.648258926308689,0.630766223389118,0.64459344137504,0.433843056770852,0.647143095345836,0.647143095345836,0.621912569052877,0.589323192530518,0.4129243760577,0,0,-0.398734416074179,-0.407642796834386,-0.387607379372488,-0.428120537809126,0.0779688624356348,-0.398906676173625,-0.438376601582291,-0.689804056079243,-0.391478703557259,-0.570231894212653,-0.509228336402663,-0.683786365291746
"miR101",0.601684347968118,0.563692391544273,0.598154291560048,0.477376060525073,0.601883749167735,0.601883749167735,0.507817658452216,0.557627439934184,0.408437401940156,0,0,-0.336735102405672,-0.428168279262322,-0.340981890946963,-0.377967803673521,0.0707814558144821,-0.382908098127941,-0.418113390366494,-0.639987634998789,-0.539054291112308,-0.502401313485095,-0.549461859522312,-0.631039999463537
"miR34a",0.663105771618406,0.628214168485352,0.662364716549254,0.576754727503412,0.663954330564063,0.663954330564063,0.583739321424398,0.615910834302191,0.460231614692654,0,0,-0.45353948354606,-0.51187996859574,-0.495219202730835,-0.537473932561639,0.198620910999919,-0.454749801956934,-0.495173022998514,-0.707648036049008,-0.532970154669976,-0.758762760117674,-0.70892445854834,-0.603819851420365
"CDH1",0.755044609215284,0.732040451833662,0.550395596984623,0.700969539955612,0.552807400507614,0.552807400507614,0.496641053571464,0.518018302035661,0.391058747621421,0,0,-0.418008743981105,-0.439146370104619,-0.521359406455668,-0.571935767677447,0.0537321977531314,-0.527713613253778,-0.575975576958587,-0.605068715102278,-0.648421903192,-0.760535030754358,-0.819147686541056,-0.599597075446168
"CLDN7",0.697058010194473,0.7766685040229,0.492685896965516,0.648421903192,0.49503393014957,0.49503393014957,0.443607940988683,0.466734336188178,0.354252205064511,0,0,-0.38162233087066,-0.392638215495622,-0.466228719137178,-0.521359406455668,0.0443676137563584,-0.474133769135597,-0.527713613253778,-0.552807400507614,-0.59115771007622,-0.702175962814998,-0.766339733555019,-0.547275817847807
"GRHL2",0.53829290450651,0.512568986290132,0.608977564445505,0.332908066589911,0.604031062683745,0.604031062683745,0.577891770302856,0.48176047724249,0.399505144310246,0.0255409753580788,0.0256364332958402,-0.343550089683062,-0.356614454620094,-0.302438210284227,-0.338026972640432,0.291830231578366,-0.480933043137315,-0.514904228910914,-0.640863192509693,-0.295965419466358,-0.403486375155203,-0.387029509348684,-0.457657331564653
"OVOL2",0.444387375166601,0.4824307658773,0.408890348890108,0.428056101656376,0.39875746069867,0.39875746069867,0.407420892876567,0.286701972132835,0.16385493936333,-0.0240834337367673,-0.0241428552949085,-0.32656178657592,-0.339098957645096,-0.324844942383381,-0.350976155965137,0.145935885687466,-0.288065909427768,-0.313802378784029,-0.42665807060969,-0.400595939126079,-0.453732744420766,-0.476195485367592,-0.352849779498743
