"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.804892079139004,0.804892079139004,0.784424176232664,0.749620912622987,0.794887225005015,0.794887225005015,0.754704933146604,0.717460936297599,0.498843077548245,0.50446478403695,0,0,-0.458253722963765,-0.490177537241933,-0.501387897282769,-0.51401789010744,-0.442653983623302,-0.651674473646389,-0.587260782778176,-0.596554593144479,-0.860568498725776,-0.664882817942849,-0.887279674605898
"miR200c",0.780377283595282,0.780377283595282,0.761946452052541,0.724795703097285,0.773258763136133,0.773258763136133,0.719564103114426,0.705462453347908,0.554259701121403,0.499741464312378,0,0,-0.487727555055689,-0.496337715722184,-0.531142515235664,-0.540787048573198,-0.500774044578429,-0.628601328711742,-0.568187725387505,-0.684262470306465,-0.836028539067461,-0.749605346643606,-0.855480888432385
"miR200b",0.780377283595282,0.780377283595282,0.761946452052541,0.724795703097285,0.773258763136133,0.773258763136133,0.719564103114426,0.705462453347908,0.554259701121403,0.499741464312378,0,0,-0.487727555055689,-0.496337715722184,-0.531142515235664,-0.540787048573198,-0.500774044578429,-0.628601328711742,-0.568187725387505,-0.684262470306465,-0.836028539067461,-0.749605346643606,-0.855480888432385
"miR200a",0.780377283595282,0.780377283595282,0.761946452052541,0.724795703097285,0.773258763136133,0.773258763136133,0.719564103114426,0.705462453347908,0.554259701121403,0.499741464312378,0,0,-0.487727555055689,-0.496337715722184,-0.531142515235664,-0.540787048573198,-0.500774044578429,-0.628601328711742,-0.568187725387505,-0.684262470306465,-0.836028539067461,-0.749605346643606,-0.855480888432385
"miR141",0.780377283595282,0.780377283595282,0.761946452052541,0.724795703097285,0.773258763136133,0.773258763136133,0.719564103114426,0.705462453347908,0.554259701121403,0.499741464312378,0,0,-0.487727555055689,-0.496337715722184,-0.531142515235664,-0.540787048573198,-0.500774044578429,-0.628601328711742,-0.568187725387505,-0.684262470306465,-0.836028539067461,-0.749605346643606,-0.855480888432385
"miR101",0.709939728488213,0.709939728488213,0.692442897263417,0.64035112237402,0.704594488724094,0.704594488724094,0.59662839717784,0.648297108397265,0.513153904381838,0.473141320523602,0,0,-0.386064754367179,-0.396049195364265,-0.490286266481182,-0.434131539244188,-0.565398442079852,-0.550654112893996,-0.59503117650389,-0.544693554996775,-0.759994890194049,-0.602604049028972,-0.774889515026237
"CDH1",0.618049157002702,0.618049157002702,0.807528758830291,0.773980036219876,0.614479161225049,0.614479161225049,0.548176992822333,0.572904220107822,0.713527271835689,0.430283186884275,0,0,-0.539895217214698,-0.451158991876535,-0.471251948176837,-0.599059314508292,-0.65450309861902,-0.781526437207297,-0.840293541861845,-0.640336864321287,-0.682891097557881,-0.711826380329905,-0.693925839202293
"miR34a",0.724914927483494,0.724914927483494,0.710505779308644,0.66601734450832,0.720553377534044,0.720553377534044,0.631009459670025,0.665849456163801,0.586885851484285,0.49524654412033,0,0,-0.51249936979027,-0.483344672606625,-0.54166274964206,-0.562322667330028,-0.537676155899893,-0.776181067029851,-0.724309468124432,-0.559800906051494,-0.777934320975138,-0.620057655654459,-0.690428165792655
"CLDN7",0.54328193985583,0.54328193985583,0.735315682067037,0.806656258406006,0.54073759793558,0.54073759793558,0.481418901763639,0.507607568910867,0.65450309861902,0.383441195075696,0,0,-0.476481829376169,-0.405947954686002,-0.415094928549384,-0.539895217214698,-0.592700743268277,-0.71485170146938,-0.77980101858162,-0.562234134103796,-0.614479161225049,-0.640336864321287,-0.623016662609732
"GRHL2",0.643110636683202,0.643110636683202,0.560459807735526,0.528788200259802,0.634312773904508,0.634312773904508,0.602630685821662,0.507747003059359,0.324684491871524,0.417511075806023,0.0255483156230547,0.025648259291169,-0.306219224306432,-0.357302566683836,-0.369779997473545,-0.345809265429834,-0.285192603797405,-0.40137657748503,-0.376513947698418,-0.540891440999985,-0.680104822302704,-0.588591310714541,-0.507893699390653
"OVOL2",0.434930514049767,0.434930514049767,0.455326587875391,0.493573603274742,0.421699510904446,0.421699510904446,0.426056821556569,0.306387043642383,0.423836589222305,0.177341080256334,-0.0239688947082085,-0.0240328221795865,-0.324980865323208,-0.336877589472231,-0.348814873155845,-0.354345217768711,-0.394011562007267,-0.454005523872395,-0.472051316137177,-0.334031566358112,-0.456645250035403,-0.37018723850314,-0.391650492198409
"NP63",0.119673270997544,0.119673270997544,-0.0569064917418095,-0.0738046941224835,0.15253007263077,0.15253007263077,0.120911432021081,0.234342194919004,-0.269093516115315,0.179091954958494,0.0215832275561491,0.121489351582876,0.184297113948337,0.0754340970689316,0.0876798712131901,0.180132372026186,0.271486288315101,0.212895178563391,0.264178501784845,-0.0875567574890218,-0.157124426143436,-0.0940780486670471,-0.0757987877704472
"SNAI1",-0.53661705416814,-0.53661705416814,-0.524403864582384,-0.564635932931007,-0.537572761583101,-0.537572761583101,-0.502110843735301,-0.499913200871477,-0.460363504920538,-0.386986778476338,0,0,0.330474615944297,0.220857223574793,0.422660173367724,0.364995724902841,0.426018824977385,0.485601518471329,0.528790348877061,0.422076395984231,0.57846985019934,0.465061640418526,0.576853201748274
"TGFbeta",-0.561081013446497,-0.561081013446497,-0.547107304784889,-0.59854324746087,-0.560727007755209,-0.560727007755209,-0.562594326406114,-0.521256382067817,-0.498651862269191,-0.399896863972502,0,0,0.417610334893281,0.417627304431389,0.470055582750619,0.462153909122281,0.455248033442642,0.510667284103996,0.555301537162576,0.523655050110482,0.611380299924576,0.477219128261939,0.613993330793533
"TCF3",-0.54328193985583,-0.54328193985583,-0.735315682067037,-0.806656258406006,-0.54073759793558,-0.54073759793558,-0.481418901763639,-0.507607568910867,-0.65450309861902,-0.383441195075696,0,0,0.476481829376169,0.405947954686002,0.415094928549384,0.539895217214698,0.592700743268277,0.71485170146938,0.77980101858162,0.562234134103796,0.614479161225049,0.640336864321287,0.623016662609732
"KLF8",-0.54328193985583,-0.54328193985583,-0.735315682067037,-0.806656258406006,-0.54073759793558,-0.54073759793558,-0.481418901763639,-0.507607568910867,-0.65450309861902,-0.383441195075696,0,0,0.476481829376169,0.405947954686002,0.415094928549384,0.539895217214698,0.592700743268277,0.71485170146938,0.77980101858162,0.562234134103796,0.614479161225049,0.640336864321287,0.623016662609732
