"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","OVOL2","miR101","NP63","miR205","KLF8","TCF3","SNAI1","FOXC2","TWIST1","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.786850868287708,0.786850868287708,0.774299091703985,0.738748061950659,0.778814405385112,0.778814405385112,0.737125423487799,0.704305075878485,0.495888989456932,0.252373585059791,0,0,-0.224152795273196,-0.453349213421245,-0.464961327115363,-0.48669954841821,-0.50688901820688,-0.656645000787541,-0.591206862882603,-0.605697536543888,-0.839381975974298,-0.656087040632167,-0.860399368692819
"miR200c",0.7509110210604,0.7509110210604,0.743655908639068,0.705921157207763,0.746719546908121,0.746719546908121,0.691180750830518,0.683972887185824,0.486640225370434,0.237582432614627,0,0,-0.211191092245043,-0.486237430049263,-0.461400103024881,-0.508809518998336,-0.536465922883905,-0.629491461078237,-0.67389216301289,-0.681551750712562,-0.803511894037067,-0.734685499982257,-0.814941818262297
"miR200b",0.7509110210604,0.7509110210604,0.743655908639068,0.705921157207763,0.746719546908121,0.746719546908121,0.691180750830518,0.683972887185824,0.486640225370434,0.237582432614627,0,0,-0.211191092245043,-0.486237430049263,-0.461400103024881,-0.508809518998336,-0.536465922883905,-0.629491461078237,-0.67389216301289,-0.681551750712562,-0.803511894037067,-0.734685499982257,-0.814941818262297
"miR200a",0.7509110210604,0.7509110210604,0.743655908639068,0.705921157207763,0.746719546908121,0.746719546908121,0.691180750830518,0.683972887185824,0.486640225370434,0.237582432614627,0,0,-0.211191092245043,-0.486237430049263,-0.461400103024881,-0.508809518998336,-0.536465922883905,-0.629491461078237,-0.67389216301289,-0.681551750712562,-0.803511894037067,-0.734685499982257,-0.814941818262297
"miR141",0.7509110210604,0.7509110210604,0.743655908639068,0.705921157207763,0.746719546908121,0.746719546908121,0.691180750830518,0.683972887185824,0.486640225370434,0.237582432614627,0,0,-0.211191092245043,-0.486237430049263,-0.461400103024881,-0.508809518998336,-0.536465922883905,-0.629491461078237,-0.67389216301289,-0.681551750712562,-0.803511894037067,-0.734685499982257,-0.814941818262297
"miR101",0.647408551604604,0.647408551604604,0.642029261758184,0.588618480131931,0.646163395606856,0.646163395606856,0.538677018380756,0.596995862017075,0.435889057591361,0.187816779919577,0,0,-0.266342446506492,-0.343715197019613,-0.327071216434812,-0.428114955279692,-0.385591826985896,-0.523299454904151,-0.506398889151473,-0.576582806172162,-0.693208977492753,-0.557289732539109,-0.697328799619164
"CDH1",0.584444942141895,0.584444942141895,0.782315975550851,0.747785429554075,0.58327020865982,0.58327020865982,0.515788694221778,0.545321127964937,0.410643275731724,0.437733101832802,0,0,-0.409552195359378,-0.522391662532799,-0.409724369361159,-0.44234757937111,-0.576728979929877,-0.772323956969709,-0.624449364285331,-0.836553482968767,-0.644464477964019,-0.690466100173377,-0.64891001785084
"miR34a",0.662264843885467,0.662264843885467,0.660429590728134,0.615634201425796,0.662229843273607,0.662229843273607,0.573331755378583,0.614168598649963,0.458240054529633,0.259285216320609,0,0,-0.237190294685698,-0.476680124512885,-0.422115343357115,-0.491371066311051,-0.520167799002898,-0.748741329143125,-0.521969008497336,-0.703014252794864,-0.710974676374128,-0.574828797671228,-0.612157395634908
"CLDN7",0.51736004309088,0.51736004309088,0.716330204846634,0.786436544307863,0.516865644420344,0.516865644420344,0.456297303493301,0.48637557071402,0.368338003008688,0.409552195359378,0,0,-0.380093098354461,-0.462614315001337,-0.370479287831607,-0.391896536895454,-0.522391662532799,-0.708792233219007,-0.552453714475652,-0.777893925662642,-0.58327020865982,-0.624449364285331,-0.586185963610231
"GRHL2",0.630483471528972,0.630483471528972,0.555363864749623,0.522941494106104,0.623046313842684,0.623046313842684,0.590238175163607,0.498527918218491,0.411473997124313,0.162055136849073,0.0255409753580788,0.0256364332958402,-0.142539313089224,-0.304152779491607,-0.339861913079346,-0.359759654327955,-0.341975775040482,-0.411027524250449,-0.537172717316581,-0.397840503271975,-0.665503303101736,-0.582751634926075,-0.489357291339801
"OVOL2",0.419226992983458,0.419226992983458,0.452356117072957,0.484724399834734,0.407657253682158,0.407657253682158,0.410787110817846,0.294612228175092,0.169668651622521,0.263779347127048,-0.0240834337367673,-0.0241428552949085,-0.249098979075986,-0.321486693626224,-0.316678797330472,-0.336372959275815,-0.349274262865847,-0.455324883277239,-0.332142731726187,-0.480503919428702,-0.439192330019539,-0.365801930359344,-0.369584280565605
"NP63",0.130536633085947,0.130536633085947,-0.0432093019140359,-0.0612711960308169,0.162519773530625,0.162519773530625,0.130940142636649,0.243193340956058,0.185337439356035,-0.214742470461348,0.0215802590359401,0.12148890048048,0.216598383614481,0.175227533862952,0.0645918782106828,0.078744892470775,0.169673848235217,0.195381746647787,-0.0950190002068745,0.239956788408361,-0.168355105807656,-0.102587937098167,-0.089200164052726
"SNAI1",-0.397098075656274,-0.397098075656274,-0.406558594370733,-0.450169861631738,-0.407087900165417,-0.407087900165417,-0.381251359165972,-0.379927413297722,-0.300689948653547,-0.131900279833868,0,0,0.11896550434633,0.255096083137095,0.124312976446581,0.325100480971023,0.279730891203762,0.403307397357875,0.324879277566359,0.450780797087869,0.434947499981656,0.35456088329609,0.410268493997517
"TGFbeta",-0.514023759144161,-0.514023759144161,-0.615480479365041,-0.569387258505499,-0.515902059662442,-0.515902059662442,-0.518134441586663,-0.481767585820523,-0.374989288465307,-0.227130433850944,0,0,0.207265603609481,0.434143446950267,0.379318952051279,0.44786096207023,0.473802648729134,0.606110913317931,0.597080355394731,0.661083264078055,0.560216835943403,0.545412045251076,0.557213077057352
"TCF3",-0.51736004309088,-0.51736004309088,-0.716330204846634,-0.786436544307863,-0.516865644420344,-0.516865644420344,-0.456297303493301,-0.48637557071402,-0.368338003008688,-0.409552195359378,0,0,0.380093098354461,0.462614315001337,0.370479287831607,0.391896536895454,0.522391662532799,0.708792233219007,0.552453714475652,0.777893925662642,0.58327020865982,0.624449364285331,0.586185963610231
"KLF8",-0.51736004309088,-0.51736004309088,-0.716330204846634,-0.786436544307863,-0.516865644420344,-0.516865644420344,-0.456297303493301,-0.48637557071402,-0.368338003008688,-0.409552195359378,0,0,0.380093098354461,0.462614315001337,0.370479287831607,0.391896536895454,0.522391662532799,0.708792233219007,0.552453714475652,0.777893925662642,0.58327020865982,0.624449364285331,0.586185963610231
"FOXC2",-0.769174152565648,-0.769174152565648,-0.754528671947022,-0.716963559809399,-0.760416510726877,-0.760416510726877,-0.719225497895387,-0.67872815685055,-0.475397473313743,-0.237829539158648,0,0,0.210876113281853,0.439455806257651,0.447362339471499,0.470463942934012,0.490734535414929,0.636477741693095,0.567326257926527,0.58125764015482,0.818373804860027,0.629463012846686,0.642868728299903
"ZEB1",-0.827737090181851,-0.827737090181851,-0.812232692424732,-0.770977299943537,-0.818373804860027,-0.818373804860027,-0.771485633650294,-0.730224857499088,-0.51181022794022,-0.262084655070328,0,0,0.237829539158648,0.490734535414929,0.481378694214563,0.515934089616264,0.539757112590168,0.692576660268158,0.629463012846686,0.633136930399093,0.772976560796671,0.689034731847883,0.698863215779363
"SNAI2",-0.646279857566822,-0.646279857566822,-0.843172901779698,-0.804621170163645,-0.644464477964019,-0.644464477964019,-0.570817651973457,-0.599718652173782,-0.449096981675752,-0.463321530954234,0,0,0.437733101832802,0.576728979929877,0.445613801964115,0.489809802328858,0.627914598355702,0.831219243395004,0.690466100173377,0.791077080858109,0.701636055942557,0.752568006884569,0.707522094977753
"GSC",-0.670139503159996,-0.670139503159996,-0.664899304104337,-0.618755597131001,-0.670152522057169,-0.670152522057169,-0.589166022522757,-0.618976985562477,-0.464705626754901,-0.156294217269545,0,0,0.133845078599345,0.544419560449312,0.419002702492103,0.565407140913955,0.588659913119897,0.549478350559235,0.526579129338593,0.60138570869975,0.719743592947064,0.580351186229633,0.720588245588827
