"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.81640468860702,0.81640468860702,0.798425141431823,0.76627753119885,0.805086846251347,0.805086846251347,0.773353399022801,0.724313160002575,0.532063818532309,0.507818698236409,0,0,-0.467205529430438,-0.482319817907648,-0.528681628331883,-0.546092084360481,-0.468684143641259,-0.672325042777911,-0.600779390681065,-0.623389094719295,-0.874849331142122,-0.672717991949283,-0.905448670376911
"miR200c",0.81708262259232,0.81708262259232,0.80087961663614,0.768630848073147,0.807254848151859,0.807254848151859,0.770040422577652,0.731636457500343,0.630703361523232,0.515632067354734,0,0,-0.465850328095829,-0.571726839617237,-0.613240172143095,-0.635201195893109,-0.567512695831145,-0.675429870592744,-0.70649819079827,-0.729069663954778,-0.877098974529157,-0.778631491114187,-0.90375942567166
"miR200b",0.81708262259232,0.81708262259232,0.80087961663614,0.768630848073147,0.807254848151859,0.807254848151859,0.770040422577652,0.731636457500343,0.630703361523232,0.515632067354734,0,0,-0.465850328095829,-0.571726839617237,-0.613240172143095,-0.635201195893109,-0.567512695831145,-0.675429870592744,-0.70649819079827,-0.729069663954778,-0.877098974529157,-0.778631491114187,-0.90375942567166
"miR200a",0.81708262259232,0.81708262259232,0.80087961663614,0.768630848073147,0.807254848151859,0.807254848151859,0.770040422577652,0.731636457500343,0.630703361523232,0.515632067354734,0,0,-0.465850328095829,-0.571726839617237,-0.613240172143095,-0.635201195893109,-0.567512695831145,-0.675429870592744,-0.70649819079827,-0.729069663954778,-0.877098974529157,-0.778631491114187,-0.90375942567166
"miR141",0.81708262259232,0.81708262259232,0.80087961663614,0.768630848073147,0.807254848151859,0.807254848151859,0.770040422577652,0.731636457500343,0.630703361523232,0.515632067354734,0,0,-0.465850328095829,-0.571726839617237,-0.613240172143095,-0.635201195893109,-0.567512695831145,-0.675429870592744,-0.70649819079827,-0.729069663954778,-0.877098974529157,-0.778631491114187,-0.90375942567166
"miR101",0.714305524806544,0.714305524806544,0.700346438938256,0.648912209295426,0.708169549875247,0.708169549875247,0.602141694334023,0.650214140051682,0.532972226275481,0.473529837512149,0,0,-0.355779372929992,-0.388303470122906,-0.490591551302807,-0.441194006207185,-0.580515577656052,-0.565015318997256,-0.546019684103353,-0.621107258409874,-0.765845182703842,-0.605629857712518,-0.783140701026613
"CDH1",0.621876251089451,0.621876251089451,0.813427290833713,0.781349195892196,0.617804255149488,0.617804255149488,0.553682161601881,0.574894602990789,0.730350769911526,0.43080917411707,0,0,-0.425648416519254,-0.541698233743708,-0.471461795096377,-0.606356648569667,-0.666112621822102,-0.792031922753384,-0.641475153458928,-0.859086019764425,-0.688343938846011,-0.714401456264972,-0.701165658723388
"miR34a",0.728115870987566,0.728115870987566,0.716394060946466,0.672770769770058,0.723148059131814,0.723148059131814,0.636238605006706,0.667129740189261,0.602886728310872,0.495332394753257,0,0,-0.461352027832054,-0.515426644886696,-0.540760597387264,-0.568988459674389,-0.549506655215298,-0.787736658550491,-0.560622332076369,-0.744602810133102,-0.782413097442977,-0.622058102739652,-0.696812946819546
"CLDN7",0.545647706532668,0.545647706532668,0.739375027911517,0.811487366082437,0.54272549272926,0.54272549272926,0.483737620324746,0.508688590738332,0.666112621822102,0.383576364237515,0,0,-0.382754393880742,-0.478050629416041,-0.411678650690266,-0.541698233743708,-0.601109032446653,-0.722577233084536,-0.563075153458928,-0.793990213243362,-0.617804255149488,-0.641475153458928,-0.627517714458342
"GRHL2",0.649062914035187,0.649062914035187,0.569687933337659,0.538974268136548,0.639500670702691,0.639500670702691,0.613583769793464,0.510753083948148,0.345867610903362,0.418823039992141,0.025494496227532,0.0256030053127018,-0.35368800241761,-0.313527898504532,-0.381736389515303,-0.357297446485487,-0.302212554542283,-0.418749137874083,-0.543157022438164,-0.406495901907904,-0.687590601738633,-0.592635628401867,-0.517606780746946
"OVOL2",0.446107037888526,0.446107037888526,0.473955061191214,0.507882072653253,0.430905879760672,0.430905879760672,0.415778085626924,0.312599620416372,0.449676089696517,0.180917058500579,-0.024277300038058,-0.0243491081667382,-0.292069541707482,-0.358021290145672,-0.39155891145446,-0.392225991315694,-0.415648582087299,-0.467594051968115,-0.343644074106865,-0.495389427154635,-0.468527355670026,-0.382475984017002,-0.409070701193046
"NP63",0.11733384608205,0.11733384608205,-0.0552514235132985,-0.0748211161091419,0.150082049211038,0.150082049211038,0.114656480038061,0.23210798672944,-0.267970751020623,0.177480739382698,0.0215741860013555,0.121474549381967,0.0983755680025509,0.189868868603806,0.102421316797643,0.188744668400493,0.269598975892147,0.206075461637247,-0.087188659744863,0.251521728012583,-0.154200926741922,-0.0927364039390293,-0.0729158587638255
