"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR101","OVOL2","miR34a","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.803926523109055,0.803926523109055,0.783322898337696,0.747747641444494,0.790271521444465,0.790271521444465,0.705784376515145,0.50884377849538,0.492630980840755,0.346934127875233,0,0,-0.359729495569717,-0.39198181376764,-0.409974380073002,-0.412091415426382,-0.453343827751611,-0.531935811893116,-0.594129239977301,-0.594857419017884,-0.855181991738184,-0.662219545011076,-0.890338513756576
"miR200c",0.780275752451534,0.780275752451534,0.763614468732942,0.725241176606938,0.770328472835625,0.770328472835625,0.698981965187581,0.561110905458415,0.49305086638804,0.411194501541307,0,0,-0.468006439363348,-0.453855194189319,-0.522465581053569,-0.518662986206335,-0.507814194817785,-0.613276295216017,-0.686351113807714,-0.680714541526605,-0.832594594204404,-0.75178732534043,-0.858706903985575
"miR200b",0.780275752451534,0.780275752451534,0.763614468732942,0.725241176606938,0.770328472835625,0.770328472835625,0.698981965187581,0.561110905458415,0.49305086638804,0.411194501541307,0,0,-0.468006439363348,-0.453855194189319,-0.522465581053569,-0.518662986206335,-0.507814194817785,-0.613276295216017,-0.686351113807714,-0.680714541526605,-0.832594594204404,-0.75178732534043,-0.858706903985575
"miR200a",0.780275752451534,0.780275752451534,0.763614468732942,0.725241176606938,0.770328472835625,0.770328472835625,0.698981965187581,0.561110905458415,0.49305086638804,0.411194501541307,0,0,-0.468006439363348,-0.453855194189319,-0.522465581053569,-0.518662986206335,-0.507814194817785,-0.613276295216017,-0.686351113807714,-0.680714541526605,-0.832594594204404,-0.75178732534043,-0.858706903985575
"miR141",0.780275752451534,0.780275752451534,0.763614468732942,0.725241176606938,0.770328472835625,0.770328472835625,0.698981965187581,0.561110905458415,0.49305086638804,0.411194501541307,0,0,-0.468006439363348,-0.453855194189319,-0.522465581053569,-0.518662986206335,-0.507814194817785,-0.613276295216017,-0.686351113807714,-0.680714541526605,-0.832594594204404,-0.75178732534043,-0.858706903985575
"miR101",0.700480178802537,0.700480178802537,0.684321712438707,0.630821379527713,0.6919628441061,0.6919628441061,0.632896932313448,0.513089188306536,0.459391665184275,0.344274776234306,0,0,-0.376898801919907,-0.379606301722868,-0.476887969792668,-0.422402171226286,-0.566155836866575,-0.521400400258368,-0.537599402274274,-0.593455176226581,-0.745635120540362,-0.594141955465764,-0.76819395365111
"CDH1",0.61523440765262,0.61523440765262,0.805638046832461,0.771445366713979,0.60983087000828,0.60983087000828,0.566176844735395,0.717496141146768,0.423340855398068,0.392487691514699,0,0,-0.533205435228548,-0.437053550935845,-0.464971689751633,-0.590183291478088,-0.658559656656369,-0.767733728794444,-0.638797878962843,-0.843649511579944,-0.677104826197411,-0.709572127403002,-0.692925707111182
"miR34a",0.716810602248936,0.716810602248936,0.703215904550149,0.657626598451304,0.709686648870808,0.709686648870808,0.652338045003822,0.584842610680451,0.482739827802942,0.4269818751083,0,0,-0.499337570266748,-0.462865797981412,-0.530414014594241,-0.547174382410961,-0.53599764954604,-0.751210141693698,-0.553816062318567,-0.721628847398876,-0.765358877637437,-0.612700197546247,-0.684667236736615
"CLDN7",0.541208829864107,0.541208829864107,0.734103019112683,0.80495249301007,0.537336363035499,0.537336363035499,0.502564804601616,0.658559656656369,0.37819046580944,0.347802283214833,0,0,-0.469700865420795,-0.392487691514699,-0.409893411095351,-0.533205435228548,-0.594936708860759,-0.703670272073041,-0.56153018541608,-0.782537941900483,-0.60983087000828,-0.638797878962843,-0.622290454856866
"GRHL2",0.620055922798285,0.620055922798285,0.537010845384475,0.5037763690866,0.607741701540154,0.607741701540154,0.480023178057069,0.304719549498604,0.394962892315046,0.30349431832126,0.0259157894672569,0.026042777992112,-0.26917875719566,-0.331553905292225,-0.35088639769819,-0.304526161435325,-0.268005869935335,-0.316188143895925,-0.524313969777477,-0.357444738657671,-0.649816811295152,-0.568410490789735,-0.485854407807285
