"","miR200c","miR200a","miR200b","miR141","CLDN7","miR34a","GRHL2","OVOL2","miR101","NP63","miR205","CDH1","KLF8","SNAI2","TWIST2","TCF3","TWIST1","SNAI1","FOXC2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.780814273604114,0.780814273604114,0.732874130413587,0.773126605153167,0.773126605153167,0.732958970930145,0.699334057806331,0.492169589933765,0.405469743546402,0,0,0.322825404435992,-0.35810132249377,-0.454084749991359,-0.550284447957125,-0.428019229232697,-0.478132486512052,-0.46558554273485,-0.478517637038691,-0.578667577672455,-0.833722125705707,-0.642363816364726,-0.854015840622867
"miR200c",0.766418186870641,0.766418186870641,0.725955370305839,0.76106700720097,0.76106700720097,0.70669590665231,0.696817788608272,0.495123730861009,0.496756165790363,0,0,0.339487005148216,-0.450399766525207,-0.57107873871593,-0.558947500641217,-0.477888689028729,-0.526919258264276,-0.481021538363231,-0.517201372724909,-0.676106317108549,-0.820407781817579,-0.73857677433971,-0.834795665782082
"miR200b",0.766418186870641,0.766418186870641,0.725955370305839,0.76106700720097,0.76106700720097,0.70669590665231,0.696817788608272,0.495123730861009,0.496756165790363,0,0,0.339487005148216,-0.450399766525207,-0.57107873871593,-0.558947500641217,-0.477888689028729,-0.526919258264276,-0.481021538363231,-0.517201372724909,-0.676106317108549,-0.820407781817579,-0.73857677433971,-0.834795665782082
"miR200a",0.766418186870641,0.766418186870641,0.725955370305839,0.76106700720097,0.76106700720097,0.70669590665231,0.696817788608272,0.495123730861009,0.496756165790363,0,0,0.339487005148216,-0.450399766525207,-0.57107873871593,-0.558947500641217,-0.477888689028729,-0.526919258264276,-0.481021538363231,-0.517201372724909,-0.676106317108549,-0.820407781817579,-0.73857677433971,-0.834795665782082
"miR141",0.766418186870641,0.766418186870641,0.725955370305839,0.76106700720097,0.76106700720097,0.70669590665231,0.696817788608272,0.495123730861009,0.496756165790363,0,0,0.339487005148216,-0.450399766525207,-0.57107873871593,-0.558947500641217,-0.477888689028729,-0.526919258264276,-0.481021538363231,-0.517201372724909,-0.676106317108549,-0.820407781817579,-0.73857677433971,-0.834795665782082
"miR101",0.695668598893548,0.695668598893548,0.659440038807851,0.691698882553746,0.691698882553746,0.583789916494949,0.637473684928218,0.465865804312738,0.465199387346949,0,0,0.330199051739497,-0.523819160321933,-0.515027708008193,-0.493435210303184,-0.367391510966961,-0.411555276884707,-0.381707290988771,-0.476920858310222,-0.53380503997754,-0.743730456990977,-0.588634039969155,-0.754712892792688
"CDH1",0.612542662956398,0.612542662956398,0.787369121587935,0.609697960388682,0.609697960388682,0.543151304730737,0.569113374084529,0.42796437631795,0.682977892251527,0,0,0.518334384377886,-0.630689063032155,-0.780930551461379,-0.743476915687002,-0.531846375086104,-0.587607331261403,-0.44436222211901,-0.465666642188507,-0.63662665767637,-0.675657113939885,-0.706121512106879,-0.684276364330598
"miR34a",0.720029320233523,0.720029320233523,0.693498509663287,0.716304170804769,0.716304170804769,0.626613762579825,0.66254863345815,0.493300197726051,0.562564071292928,0,0,0.434600231313492,-0.518449135828884,-0.677533110878654,-0.746128207789145,-0.505806641674298,-0.552950634808859,-0.477720748278817,-0.537024012224179,-0.556337184321378,-0.771667156648,-0.614841730900432,-0.68208412213858
"CLDN7",0.540405007180758,0.540405007180758,0.720229624198611,0.538334174410552,0.538334174410552,0.478875808041995,0.505765648213673,0.3824996637198,0.630689063032155,0,0,0.582530558304112,-0.574140113546236,-0.728931305696092,-0.684282642806598,-0.471391389606917,-0.531846375086104,-0.400977000120407,-0.411905963533868,-0.560661459198936,-0.609697960388682,-0.63662665767637,-0.616477829450502
"GRHL2",0.643778521211401,0.643778521211401,0.555627444631476,0.63514819791251,0.63514819791251,0.603236194886541,0.509192766558091,0.41907788334131,0.322050977000053,0.0255409753580788,0.0256364332958402,0.376100461977001,-0.285986889672266,-0.364308676622101,-0.393191325463391,-0.307650702495109,-0.346008411033175,-0.357861302909066,-0.37056300031816,-0.541655478886889,-0.680387920425268,-0.5891379758242,-0.507373720931964
