"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","TWIST2","NP63","miR205","TCF3","TWIST1","SNAI1","FOXC2","KLF8","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR205",0.735050403493453,0.735050403493453,0.71537395582718,0.647109796288156,0.731631089499729,0.731631089499729,0.662567990407397,0.686657001953989,0.436806187950474,0.466109113030064,0.0987929452831509,0,0,-0.25438886258027,-0.270389027318131,-0.391126853638415,-0.399608540252606,-0.399428379576984,-0.510043215748549,-0.776013146865476,-0.56952267551576,-0.621665192576544,-0.783843515576928
"miR200c",0.693392192416606,0.693392192416606,0.676597509943535,0.604537504347581,0.693962890639998,0.693962890639998,0.637182277527021,0.6354846539884,0.478702448647448,0.453224524270055,0.176372430370827,0,0,-0.250851683220665,-0.265367263622043,-0.383345261746126,-0.412402432923474,-0.444757345805331,-0.572953833365054,-0.734405841173543,-0.647189694086673,-0.69471037402486,-0.732464747695951
"miR200b",0.693392192416606,0.693392192416606,0.676597509943535,0.604537504347581,0.693962890639998,0.693962890639998,0.637182277527021,0.6354846539884,0.478702448647448,0.453224524270055,0.176372430370827,0,0,-0.250851683220665,-0.265367263622043,-0.383345261746126,-0.412402432923474,-0.444757345805331,-0.572953833365054,-0.734405841173543,-0.647189694086673,-0.69471037402486,-0.732464747695951
"miR200a",0.693392192416606,0.693392192416606,0.676597509943535,0.604537504347581,0.693962890639998,0.693962890639998,0.637182277527021,0.6354846539884,0.478702448647448,0.453224524270055,0.176372430370827,0,0,-0.250851683220665,-0.265367263622043,-0.383345261746126,-0.412402432923474,-0.444757345805331,-0.572953833365054,-0.734405841173543,-0.647189694086673,-0.69471037402486,-0.732464747695951
"miR141",0.693392192416606,0.693392192416606,0.676597509943535,0.604537504347581,0.693962890639998,0.693962890639998,0.637182277527021,0.6354846539884,0.478702448647448,0.453224524270055,0.176372430370827,0,0,-0.250851683220665,-0.265367263622043,-0.383345261746126,-0.412402432923474,-0.444757345805331,-0.572953833365054,-0.734405841173543,-0.647189694086673,-0.69471037402486,-0.732464747695951
"miR101",0.631109777871595,0.631109777871595,0.615122844208414,0.531870957724029,0.632367604748691,0.632367604748691,0.58479592791745,0.520571196717016,0.443460018753843,0.428644958394405,0.129701316837068,0,0,-0.170869524931383,-0.184696003767737,-0.293846656016899,-0.382719551671578,-0.513267552581634,-0.508076641449134,-0.667695708634522,-0.508243284011196,-0.54990876288668,-0.664263318728217
"miR34a",0.568117050131671,0.568117050131671,0.553758861896322,0.468145350234894,0.574629655614341,0.574629655614341,0.536090362363898,0.484294628916904,0.43975660204505,0.402972939006869,0.152519402721269,0,0,-0.170292369210128,-0.182192725866533,-0.31554009438124,-0.352702953197056,-0.414261058099138,-0.546925639435766,-0.604526876851636,-0.467077781678127,-0.502533857561044,-0.488442955425356
"GRHL2",0.591843893785423,0.591843893785423,0.511605700404851,0.45602249777323,0.587933323372137,0.587933323372137,0.46749887270987,0.55283362088121,0.284876908708596,0.38939300086541,0.086415028585531,0.0255409753580788,0.0256364332958402,-0.157864202361267,-0.169734830721288,-0.286243726589712,-0.29566001833896,-0.258721708215617,-0.328021787963861,-0.618617411963673,-0.520706884980277,-0.556844403896889,-0.432492721878338
"NP63",0.327408960935973,0.327408960935973,0.153860503470628,0.156396945607633,0.346960940000607,0.346960940000607,0.404034226628749,0.315117176200353,-0.0575521060746802,0.296043533447109,-0.17063801069257,0.0215802590359401,0.12148890048048,-0.213225954112778,-0.222535950746907,-0.133128657457659,-0.167731089190788,0.075513617122435,0.0292116652468815,-0.368391086672747,-0.237394733046051,-0.26386889561901,-0.319680966041784
"OVOL2",0.295258778889465,0.295258778889465,0.324345689830643,0.324640208434542,0.292754384326223,0.292754384326223,0.193618927849979,0.297161439123937,0.298520531627691,0.0972429257914467,0.201116855212143,-0.0240834337367673,-0.0241428552949085,-0.0594330790733063,-0.064209713847783,-0.192676543045724,-0.189983332163397,-0.286490876977153,-0.325905516082395,-0.307294016314419,-0.251318110788566,-0.268214192137772,-0.213865034606711
"CDH1",0.102617276838032,0.102617276838032,0.29380430213054,0.163830950965584,0.10211958548754,0.10211958548754,0.0964465306691273,0.0777337077875436,0.258716401865974,0.0781617794653914,0.242231560747056,0,0,0.107140783418946,0.104745033086941,-0.038049487281948,-0.00689685773754692,-0.252430613635247,-0.281112532976781,-0.109509166915722,-0.278709901969795,-0.287137178602976,-0.110517706249626
"CLDN7",0.0934734855720833,0.0934734855720833,0.285194246958738,0.256786161835499,0.0929289334010831,0.0929289334010831,0.0882882343992835,0.0699403303040999,0.252430613635247,0.07230656382663,0.239255704486528,0,0,0.111255013815848,0.107140783418946,-0.0335150477206057,-0.00209967749977884,-0.244786447341103,-0.274675349205398,-0.10211958548754,-0.267236274998615,-0.278709901969795,-0.103256678884392
"TCF3",-0.0934734855720833,-0.0934734855720833,-0.285194246958738,-0.256786161835499,-0.0929289334010831,-0.0929289334010831,-0.0882882343992835,-0.0699403303040999,-0.252430613635247,-0.07230656382663,-0.239255704486528,0,0,-0.111255013815848,-0.107140783418946,0.0335150477206057,0.00209967749977884,0.244786447341103,0.274675349205398,0.10211958548754,0.267236274998615,0.278709901969795,0.103256678884392
"KLF8",-0.0934734855720833,-0.0934734855720833,-0.285194246958738,-0.256786161835499,-0.0929289334010831,-0.0929289334010831,-0.0882882343992835,-0.0699403303040999,-0.252430613635247,-0.07230656382663,-0.239255704486528,0,0,-0.111255013815848,-0.107140783418946,0.0335150477206057,0.00209967749977884,0.244786447341103,0.274675349205398,0.10211958548754,0.267236274998615,0.278709901969795,0.103256678884392
"SNAI2",-0.109953022161693,-0.109953022161693,-0.300863296468245,-0.169866900992788,-0.109509166915722,-0.109509166915722,-0.103015363653055,-0.0843213078706097,-0.264510859220905,-0.0828052991040719,-0.244636016835517,0,0,-0.104745033086941,-0.101768518759773,0.0414624185736078,0.0118934842190308,0.258716401865974,0.186758972881155,0.116356552034216,0.287137178602976,0.295522829793324,0.11729461765263
"TGFbeta",-0.423958351580129,-0.423958351580129,-0.510025956280551,-0.423564883351389,-0.431582428505419,-0.431582428505419,-0.406182747483241,-0.432847414219162,-0.387305693841531,-0.321300280407151,-0.239443642638092,0,0,0.15103315170327,0.162117035260096,0.278031692103371,0.314157457209563,0.364439707178465,0.499921328823632,0.458225090455771,0.542703338260633,0.474499188010637,0.44015729223875
"SNAI1",-0.434236296311994,-0.434236296311994,-0.422553000934958,-0.434778090444496,-0.442200342427666,-0.442200342427666,-0.415052866326457,-0.405213605869817,-0.363674906910721,-0.326946514297632,-0.124443852294416,0,0,0.105536066880503,0.113603244824392,0.105736771927684,0.295576129921085,0.345177001819609,0.414205645630323,0.46455419196691,0.362431248739155,0.389007168647822,0.444441813327169
"FOXC2",-0.717243817057053,-0.717243817057053,-0.69569599589782,-0.62617250556887,-0.713330650886544,-0.713330650886544,-0.637168040004988,-0.668935454017081,-0.418250201709622,-0.445792969782655,-0.0818776833674312,0,0,0.241483262456235,0.256777313830728,0.374514193719607,0.383649362566959,0.382851471757377,0.487010490258562,0.755314267409455,0.545542835473496,0.594892060948687,0.566038532587244
"ZEB1",-0.75898350217118,-0.75898350217118,-0.735568882253023,-0.659889576298468,-0.755314267409455,-0.755314267409455,-0.67447167476848,-0.705938450409181,-0.450076499516301,-0.472169962526118,-0.0954662647923676,0,0,0.256777313830728,0.272408266855541,0.394166797069875,0.4106920024421,0.418250201709622,0.518325604020054,0.692775173772868,0.594892060948687,0.639858592919973,0.60307641097357
"TWIST1",-0.579674965989564,-0.579674965989564,-0.56382999511256,-0.574015525106026,-0.584862379459711,-0.584862379459711,-0.544688164111201,-0.489396006304292,-0.442624179472249,-0.408632191028447,-0.25823772598916,0,0,0.219095763978134,0.131314836416802,0.240726045685454,0.417514134372799,0.416141084317142,0.553985435779085,0.6158899262379,0.474186124112611,0.510881943044767,0.60309475094095
"TWIST2",-0.581806557125977,-0.581806557125977,-0.56645809703719,-0.580591857938551,-0.586761714194511,-0.586761714194511,-0.548294893734035,-0.49634005632215,-0.455732633078969,-0.412921414112748,-0.271735311641627,0,0,0.267223389554952,0.279321760955434,0.323291456706783,0.341382892947795,0.42931896523334,0.557737378445242,0.617852863371288,0.478079823407613,0.514876083773881,0.605769047108884
"GSC",-0.642638436193198,-0.642638436193198,-0.62646064941995,-0.548601363427913,-0.645498771737854,-0.645498771737854,-0.597353174668129,-0.561637255077032,-0.49464648823575,-0.4496391837358,-0.148111718135884,0,0,0.34609812963345,0.360494053477048,0.376339029995911,0.503538397922462,0.463645435932375,0.519655250734302,0.682000973849468,0.520553589618633,0.563885028213837,0.674510710938695
"ZEB2",-0.831347022394122,-0.831347022394122,-0.816361684458116,-0.745655602223243,-0.632873001949144,-0.632873001949144,-0.585879019474774,-0.580488817012301,-0.531049828820252,-0.430241101827484,-0.275912587944748,0,0,0.206097357041121,0.225424487766762,0.359185513217712,0.37430880207006,0.492276672615931,0.619166133845663,0.678306657945746,0.688774431071003,0.743305834060122,0.774284745425915
