"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","FOXC2","SNAI1","TCF3","GSC","TWIST1","TGFbeta","KLF8","TWIST2","SNAI2","ZEB1","ZEB2"
"miR205",0.761700622959108,0.761700622959108,0.732441976628076,0.696362574503514,0.753880889236979,0.753880889236979,0.682298157266228,0.695421732762811,0.429153612957689,0.480123428607656,0,0,-0.371309817568902,-0.375320531138423,-0.365020856498382,-0.308398851696182,-0.406946642092056,-0.341539623002324,-0.383647636363409,-0.592646329201855,-0.517764056082587,-0.808622445242494,-0.829307186858662
"miR200c",0.75168693790734,0.75168693790734,0.72780441515432,0.689679556296929,0.746246654297634,0.746246654297634,0.683660898160774,0.677799921643984,0.50999197741937,0.485795619073574,0,0,-0.430774803966208,-0.411161088555749,-0.427605829257739,-0.412853627764416,-0.468830669164863,-0.445861990640519,-0.465148491954149,-0.590182165817627,-0.622073069209924,-0.80064680964056,-0.815313066503176
"miR200b",0.75168693790734,0.75168693790734,0.72780441515432,0.689679556296929,0.746246654297634,0.746246654297634,0.683660898160774,0.677799921643984,0.50999197741937,0.485795619073574,0,0,-0.430774803966208,-0.411161088555749,-0.427605829257739,-0.412853627764416,-0.468830669164863,-0.445861990640519,-0.465148491954149,-0.590182165817627,-0.622073069209924,-0.80064680964056,-0.815313066503176
"miR141",0.75168693790734,0.75168693790734,0.72780441515432,0.689679556296929,0.746246654297634,0.746246654297634,0.683660898160774,0.677799921643984,0.50999197741937,0.485795619073574,0,0,-0.430774803966208,-0.411161088555749,-0.427605829257739,-0.412853627764416,-0.468830669164863,-0.445861990640519,-0.465148491954149,-0.590182165817627,-0.622073069209924,-0.80064680964056,-0.815313066503176
"miR101",0.682955986837989,0.682955986837989,0.661181576876789,0.60781921442092,0.678928971097858,0.678928971097858,0.626140627117503,0.558892923114452,0.471836174323626,0.457822522538842,0,0,-0.39925408549961,-0.31820543113708,-0.322559258057097,-0.288348464701439,-0.359601912706115,-0.317357679166221,-0.531997803374321,-0.515832322755832,-0.552694766314809,-0.726690086420359,-0.737840253596611
"CDH1",0.608289128189631,0.608289128189631,0.794459629811701,0.760074864280058,0.605429296663673,0.605429296663673,0.565315094211525,0.530520753004249,0.693960987454619,0.425261032003393,0,0,-0.417083771527561,-0.4018106101764,-0.507566681539675,-0.444494746999386,-0.556198819653885,-0.482715177876895,-0.641478052577067,-0.765677644235452,-0.816935401522619,-0.668325768724125,-0.677110220661658
"miR34a",0.707624241715553,0.707624241715553,0.689860095764568,0.64433079127512,0.704212951340694,0.704212951340694,0.651803336489525,0.605215109900825,0.558022476590104,0.48565258063095,0,0,-0.473325125029994,-0.424493537767046,-0.46769550384612,-0.3231176351013,-0.507060765669713,-0.354333053042638,-0.515659231353472,-0.752959642132163,-0.693945137714032,-0.755421000400359,-0.665082630755914
"CLDN7",0.538291463497361,0.538291463497361,0.727672166975013,0.79818399929176,0.536194026210541,0.536194026210541,0.503856794695244,0.469667772871798,0.641478052577067,0.3811523621835,0,0,-0.374482660350071,-0.367523018275961,-0.456598627328639,-0.402098517164331,-0.507566681539675,-0.444494746999386,-0.586061572171762,-0.704960350580203,-0.762981430791116,-0.605429296663673,-0.612246378841169
"miR200a",0.465146725282688,0.465146725282688,0.379176050443664,0.350661756720041,0.467106670577402,0.467106670577402,0.435806199179479,0.328752367981691,0.0683220902234652,0.309774762146438,0,0,0.00543528304979451,-0.0374524474684479,-0.0317886051219159,-0.0827077173095749,-0.0507853071347233,-0.097154131271942,-0.0476834244693497,-0.1982054115347,-0.112882503881049,-0.49139127845927,-0.487853332252506
"GRHL2",0.625659284797931,0.625659284797931,0.541085232201815,0.508553439891919,0.617840068605734,0.617840068605734,0.493916150497903,0.577064150983928,0.302306174135996,0.408207383150232,0.0255409753580788,0.0256364332958402,-0.30429804428129,-0.300972038764781,-0.263466859185116,-0.347276609425512,-0.294789478989729,-0.371725463896484,-0.268539723147837,-0.383290536253315,-0.357644714827481,-0.658225292868618,-0.483190340393028
"OVOL2",0.43048293963016,0.43048293963016,0.45538477054041,0.487664397409621,0.417655231322463,0.417655231322463,0.303476323864586,0.415574984827276,0.413620091557134,0.175850161012762,-0.0240834337367673,-0.0241428552949085,-0.312755283878542,-0.306051274677762,-0.305361332110068,-0.208038442834153,-0.329397372682689,-0.227442929165723,-0.387361907465801,-0.446370418246006,-0.463224180927795,-0.449700899242285,-0.383315791877926
"NP63",0.114082566020669,0.114082566020669,-0.060376772664056,-0.0787614717240775,0.146991845866495,0.146991845866495,0.229478307064311,0.112535942678895,-0.271968618133944,0.175652250640686,0.0215802590359401,0.12148890048048,0.108549621711834,0.0910822950338135,0.19721600795199,-0.0415736790479117,0.195741756858082,-0.0441702591619079,0.273270772857339,0.213027505890832,0.261247346724495,-0.150127162197215,-0.0685573092559742
"SNAI1",-0.521451601486313,-0.521451601486313,-0.507161450662983,-0.54631795450552,-0.523158281171201,-0.523158281171201,-0.487460774519211,-0.480206946621938,-0.436193572440643,-0.378439946984046,0,0,0.366016839027936,0.17308427572198,0.292883022937419,0.233247594649068,0.319640261631669,0.255273296472785,0.407019275397226,0.467117627215009,0.505094327617201,0.55922122344452,0.555399469968677
"TCF3",-0.538291463497361,-0.538291463497361,-0.727672166975013,-0.79818399929176,-0.536194026210541,-0.536194026210541,-0.503856794695244,-0.469667772871798,-0.641478052577067,-0.3811523621835,0,0,0.374482660350071,0.367523018275961,0.456598627328639,0.402098517164331,0.507566681539675,0.444494746999386,0.586061572171762,0.704960350580203,0.762981430791116,0.605429296663673,0.612246378841169
"KLF8",-0.538291463497361,-0.538291463497361,-0.727672166975013,-0.79818399929176,-0.536194026210541,-0.536194026210541,-0.503856794695244,-0.469667772871798,-0.641478052577067,-0.3811523621835,0,0,0.374482660350071,0.367523018275961,0.456598627328639,0.402098517164331,0.507566681539675,0.444494746999386,0.586061572171762,0.704960350580203,0.762981430791116,0.605429296663673,0.612246378841169
"FOXC2",-0.756604111982296,-0.756604111982296,-0.727859681644492,-0.690201106891623,-0.747614892513035,-0.747614892513035,-0.667460376897586,-0.693550431690373,-0.432382146492848,-0.467336466627012,0,0,0.384106961697894,0.383528435374818,0.374608092891722,0.321018500116472,0.416332968962024,0.353987095767844,0.387141402265403,0.591424105206533,0.517291765668622,0.802029376629054,0.627303291776492
"TGFbeta",-0.582977478073161,-0.582977478073161,-0.667694806224201,-0.620125336846963,-0.581043294707031,-0.581043294707031,-0.541901491820786,-0.572039336503464,-0.527158161849107,-0.418600612916548,0,0,0.45077125661379,0.399426958843727,0.444542476623086,0.44866926982733,0.482409197744861,0.378647593307042,0.486559453994442,0.63063400888604,0.674633972804558,0.630121503307901,0.636369920264115
"ZEB1",-0.811724468800208,-0.811724468800208,-0.780394003525514,-0.739149382847477,-0.802029376629054,-0.802029376629054,-0.71580919030198,-0.741143533873459,-0.473511504661774,-0.501523384561636,0,0,0.418019546913458,0.411295144218844,0.416332968962024,0.353987095767844,0.454633641409697,0.385146093487856,0.432382146492848,0.639879894010604,0.560551326870016,0.752719178790941,0.679459964475634
