"","miR101","miR34a","miR141","CLDN7","CDH1","GRHL2","miR200b","miR200c","miR200a","OVOL2","NP63","miR205","ZEB2","GSC","TCF3","TGFbeta","SNAI1","FOXC2","TWIST1","KLF8","ZEB1","TWIST2","SNAI2"
"OVOL2",0.432743546336133,0.421945835820334,0.416079932708228,0.416079932708228,0.474653196283403,0.302064662763085,0.427458543067291,0.381858582668971,0.381858582668971,0.174899215327334,-0.0240834337367673,-0.0241428552949085,-0.253678774766594,-0.31881041279653,-0.331311114747409,-0.348213383475542,-0.336292860399043,-0.348296719551691,-0.358956607877399,-0.403823681887716,-0.44718974250675,-0.459299625645314,-0.481411423366983
"NP63",-0.26098643884542,0.116954821228279,0.147144618890297,0.147144618890297,-0.0792976209259961,0.229641454162331,-0.0667257748263964,0.0995518867188957,0.0995518867188957,0.175935630038141,0.0215802590359401,0.12148890048048,-0.0353929717356341,-0.0760771753848185,0.184647734411259,-0.0848528288089836,0.077161854325985,0.0889694215070634,0.179358830562948,0.264435092828643,-0.152433026600169,0.205445186223799,0.251165119500855
"ZEB2",-0.430418183036955,-0.409483224271934,-0.402953772707295,-0.402953772707295,-0.387543912863864,-0.369515953234893,-0.348880558975191,-0.304252576002803,-0.304252576002803,-0.299871054445353,0,0,0.127034793675151,0.256974913374273,0.291394819552213,0.30133321350544,0.306512855858238,0.318356799865394,0.33005719959995,0.394996026663592,0.442362962595815,0.463660688626915,0.486037213098596
"SNAI1",-0.45407283646734,-0.478259227140316,-0.509287708066677,-0.509287708066677,-0.514794792638138,-0.475066440445872,-0.451139857124039,-0.434672350084142,-0.434672350084142,-0.369638677183879,0,0,0.348962258723697,0.371589420831289,0.32161158374999,0.404530103676248,0.205859032065072,0.407106586022388,0.352022019119065,0.422587432195161,0.543438292359676,0.475362210998974,0.519085352004052
"TCF3",-0.655389470976295,-0.465982479161751,-0.521004251462474,-0.521004251462474,-0.759185402857374,-0.490156984039183,-0.660695196333205,-0.43570417420974,-0.43570417420974,-0.371692734829542,0,0,0.378338009839026,0.517813362140602,0.473773063552901,0.585984469626554,0.39636458900036,0.408086131260476,0.534905686979813,0.594757672436584,0.587716024128239,0.710244972742382,0.773852611372006
"KLF8",-0.655389470976295,-0.465982479161751,-0.521004251462474,-0.521004251462474,-0.759185402857374,-0.490156984039183,-0.660695196333205,-0.43570417420974,-0.43570417420974,-0.371692734829542,0,0,0.378338009839026,0.517813362140602,0.473773063552901,0.585984469626554,0.39636458900036,0.408086131260476,0.534905686979813,0.594757672436584,0.587716024128239,0.710244972742382,0.773852611372006
"FOXC2",-0.488806193740585,-0.723171913261783,-0.759474377297705,-0.759474377297705,-0.686238161107862,-0.677825589058175,-0.698016570764575,-0.686094074796932,-0.686094074796932,-0.474959465772249,0,0,0.402463734128477,0.534507019804909,0.445998600787169,0.58664171222032,0.466365924517152,0.478636461672555,0.495902836929576,0.436715407577602,0.814901457221356,0.633291172950327,0.572906468354759
"TGFbeta",-0.545446654456854,-0.569090894335561,-0.565261757344325,-0.565261757344325,-0.583360827737541,-0.527812020166811,-0.604032211542499,-0.48649107461974,-0.48649107461974,-0.408566788831121,0,0,0.40936881186455,0.598061708522394,0.472718346952827,0.544519400211903,0.434455534638095,0.49389793389791,0.516536557648718,0.501485321871386,0.612203900717325,0.638575359705265,0.688884802850007
"ZEB1",-0.537775663596201,-0.774330110534455,-0.814901457221356,-0.814901457221356,-0.734664464272009,-0.727074122574826,-0.746095588463705,-0.731790107076689,-0.731790107076689,-0.509782565972291,0,0,0.437662591239603,0.58664171222032,0.495902836929576,0.640532899392014,0.500633454875407,0.524784954649239,0.545372510681281,0.488806193740585,0.768036537380921,0.687713882873992,0.622314386188157
"TWIST1",-0.58028963027791,-0.601046889741076,-0.687741932094195,-0.687741932094195,-0.696961885355747,-0.63637592561562,-0.606076902448629,-0.57495683172709,-0.57495683172709,-0.474464819215371,0,0,0.44350955891437,0.486375553343987,0.587825659342494,0.532890598983838,0.393211550668095,0.593322192400427,0.532456276872537,0.534421981022321,0.736384460726284,0.665151692832273,0.713148862947347
"SNAI2",-0.762385035373741,-0.58001454247777,-0.646320891690126,-0.646320891690126,-0.767616346664894,-0.601470964986281,-0.770658332650767,-0.541969542910747,-0.541969542910747,-0.451020283660401,0,0,0.449493295917465,0.641394989912169,0.588594930007702,0.697777193941039,0.474528737395766,0.506437084414191,0.640170465009515,0.71097162619612,0.702203925168631,0.829873533726282,0.782383995867045
"GSC",-0.560365352041109,-0.605442655211174,-0.678493621919748,-0.678493621919748,-0.586396751250128,-0.626582379826499,-0.595802979771913,-0.57530866287829,-0.57530866287829,-0.470497856755902,0,0,0.460161388921979,0.48330482352552,0.566173507146543,0.529644006098819,0.46197548009409,0.594683412685564,0.609899548547003,0.51574963764404,0.726225989943881,0.552380976044977,0.596530609482197
"TWIST2",-0.592489549463413,-0.60759720016628,-0.689213869077284,-0.689213869077284,-0.702664983627194,-0.639898664758164,-0.610229598469328,-0.57950353270589,-0.57950353270589,-0.478672845627724,0,0,0.47148529394883,0.490224029908454,0.610118725763547,0.537320110442656,0.474475477487822,0.512931359821043,0.654821859000941,0.546665594234993,0.738083073447003,0.667809704636354,0.71612153909049
