"","miR101","miR34a","miR141","CLDN7","CDH1","GRHL2","miR200b","miR200c","miR200a","OVOL2","NP63","miR205","ZEB2","GSC","TCF3","TGFbeta","SNAI1","FOXC2","TWIST1","KLF8","ZEB1","TWIST2","SNAI2"
"miR34a",0.586464340593108,0.610794216985023,0.696072052828353,0.696072052828353,0.616334938127146,0.644563747139799,0.635904333681367,0.619679910733462,0.619679910733462,0.480483019366999,0,0,-0.443870072188169,-0.513053719009142,-0.507471120469766,-0.561766979814433,-0.47135190358032,-0.53002771380071,-0.553520737438108,-0.539748759769507,-0.745951759555496,-0.77015273098542,-0.719491236245802
"CDH1",0.71097162619612,0.526178505651817,0.587716024128239,0.587716024128239,0.716499760582954,0.54937524200107,0.719743815559024,0.493498794509934,0.493498794509934,0.414193725066966,0,0,-0.412743834692625,-0.585984469626554,-0.534905686979813,-0.641394989912169,-0.437991894212501,-0.458190677529667,-0.588594930007702,-0.655389470976295,-0.646320891690126,-0.772394046296565,-0.83025784492288
"miR101",0.497781920067559,0.552455526813218,0.652232434259934,0.652232434259934,0.549138467670175,0.602299641024895,0.556402206954347,0.531378868092864,0.531378868092864,0.441852983233319,0,0,-0.408172403821167,-0.450376803259026,-0.366491362097153,-0.492376820027842,-0.368197895181422,-0.460447330839916,-0.407259342193833,-0.555581585112619,-0.696743491904705,-0.526063048649327,-0.571402554974916
"CLDN7",0.655389470976295,0.465982479161751,0.521004251462474,0.521004251462474,0.759185402857374,0.490156984039183,0.660695196333205,0.43570417420974,0.43570417420974,0.371692734829542,0,0,-0.378338009839026,-0.517813362140602,-0.473773063552901,-0.585984469626554,-0.39636458900036,-0.408086131260476,-0.534905686979813,-0.594757672436584,-0.587716024128239,-0.710244972742382,-0.773852611372006
"miR200c",0.538624829536049,0.669659527678638,0.713356611701003,0.713356611701003,0.616007009670134,0.654133501241869,0.587691219716586,0.534187551399739,0.534187551399739,0.466761339856046,0,0,-0.351669761283828,-0.562416366849313,-0.476041363509118,-0.608516721362539,-0.464971518552222,-0.497111645277277,-0.520395593954125,-0.491553398391638,-0.763396451804922,-0.60133400827123,-0.64295793220804
"miR200b",0.538624829536049,0.669659527678638,0.713356611701003,0.713356611701003,0.616007009670134,0.654133501241869,0.587691219716586,0.534187551399739,0.534187551399739,0.466761339856046,0,0,-0.351669761283828,-0.562416366849313,-0.476041363509118,-0.608516721362539,-0.464971518552222,-0.497111645277277,-0.520395593954125,-0.491553398391638,-0.763396451804922,-0.60133400827123,-0.64295793220804
"miR200a",0.538624829536049,0.669659527678638,0.713356611701003,0.713356611701003,0.616007009670134,0.654133501241869,0.587691219716586,0.534187551399739,0.534187551399739,0.466761339856046,0,0,-0.351669761283828,-0.562416366849313,-0.476041363509118,-0.608516721362539,-0.464971518552222,-0.497111645277277,-0.520395593954125,-0.491553398391638,-0.763396451804922,-0.60133400827123,-0.64295793220804
"miR141",0.538624829536049,0.669659527678638,0.713356611701003,0.713356611701003,0.616007009670134,0.654133501241869,0.587691219716586,0.534187551399739,0.534187551399739,0.466761339856046,0,0,-0.351669761283828,-0.562416366849313,-0.476041363509118,-0.608516721362539,-0.464971518552222,-0.497111645277277,-0.520395593954125,-0.491553398391638,-0.763396451804922,-0.60133400827123,-0.64295793220804
"GRHL2",0.337997156252394,0.594400508576826,0.623728826364078,0.623728826364078,0.502570441315531,0.499080397631672,0.517417653504458,0.575575765891373,0.575575765891373,0.411936016404663,0.0255409753580788,0.0256364332958402,-0.331430013475697,-0.515727007575626,-0.309434782003412,-0.55449649930775,-0.354622589049358,-0.366858128864294,-0.346893594651542,-0.29937837901748,-0.664563427983846,-0.409527930476357,-0.392696400803877
"miR205",0.464502167903203,0.684336349306728,0.71080964452146,0.71080964452146,0.602077006728912,0.644630404986703,0.549861071619223,0.525490586923003,0.525490586923003,0.457432623052643,0,0,-0.330270840996293,-0.447987220618899,-0.424906443676183,-0.492826135076922,-0.445072689831997,-0.452674603540433,-0.468965584568238,-0.41721885855969,-0.760587908145514,-0.605674915232544,-0.542198799348024
