"","miR200b","miR200c","miR200a","CDH1","miR141","CLDN7","GRHL2","miR34a","OVOL2","KLF8","NP63","miR205","miR101","SNAI1","TCF3","FOXC2","TWIST1","TWIST2","GSC","ZEB1","SNAI2","TGFbeta","ZEB2"
"miR205",0.741946567683862,0.746610573695272,0.746610573695272,0.704127697172069,0.742367893533096,0.742367893533096,0.672089411402841,0.69775725493394,0.472854973521771,0.230897913302061,0,0,-0.25893846652817,-0.406576502576629,-0.430816335774954,-0.450519885570895,-0.475653863059662,-0.638292353248765,-0.575505439492741,-0.791396477028953,-0.584085489012385,-0.631896488532576,-0.801621448633108
"miR200c",0.709681422217919,0.708933967400538,0.708933967400538,0.669738843647682,0.708553288703813,0.708553288703813,0.650129391084221,0.650190220299695,0.462437385893951,0.21789009838918,0,0,-0.243838371145925,-0.402156062953159,-0.462322074398478,-0.471224176839624,-0.503857487090553,-0.609812566359878,-0.656700722422146,-0.753978372568906,-0.658609710521815,-0.708949381634945,-0.754705037880566
"miR200b",0.709681422217919,0.708933967400538,0.708933967400538,0.669738843647682,0.708553288703813,0.708553288703813,0.650129391084221,0.650190220299695,0.462437385893951,0.21789009838918,0,0,-0.243838371145925,-0.402156062953159,-0.462322074398478,-0.471224176839624,-0.503857487090553,-0.609812566359878,-0.656700722422146,-0.753978372568906,-0.658609710521815,-0.708949381634945,-0.754705037880566
"miR200a",0.709681422217919,0.708933967400538,0.708933967400538,0.669738843647682,0.708553288703813,0.708553288703813,0.650129391084221,0.650190220299695,0.462437385893951,0.21789009838918,0,0,-0.243838371145925,-0.402156062953159,-0.462322074398478,-0.471224176839624,-0.503857487090553,-0.609812566359878,-0.656700722422146,-0.753978372568906,-0.658609710521815,-0.708949381634945,-0.754705037880566
"miR141",0.709681422217919,0.708933967400538,0.708933967400538,0.669738843647682,0.708553288703813,0.708553288703813,0.650129391084221,0.650190220299695,0.462437385893951,0.21789009838918,0,0,-0.243838371145925,-0.402156062953159,-0.462322074398478,-0.471224176839624,-0.503857487090553,-0.609812566359878,-0.656700722422146,-0.753978372568906,-0.658609710521815,-0.708949381634945,-0.754705037880566
"miR101",0.644126860763381,0.644729743098395,0.644729743098395,0.589152080978864,0.64514909133132,0.64514909133132,0.596137745730869,0.53345563664931,0.436708967163968,0.0756760958905448,0,0,-0.197904077919946,-0.310288303316763,-0.352848400813519,-0.435043978195228,-0.390168217929938,-0.531876317596724,-0.516488610591578,-0.684886740057466,-0.583236583284887,-0.562362224020046,-0.683801079810883
"miR34a",0.606362720255994,0.59696966576313,0.59696966576313,0.559687858434301,0.602075134366541,0.602075134366541,0.560539621018187,0.510976598114254,0.420303897235035,0.24284545949823,0,0,-0.262735402645127,-0.344036047366114,-0.437778826715899,-0.436607362113184,-0.471561982770791,-0.713664981634339,-0.488418596488254,-0.63787017652273,-0.664530660516894,-0.529976199563153,-0.525449354679023
"GRHL2",0.531564659716807,0.600677706364454,0.600677706364454,0.497610750421526,0.596143929054287,0.596143929054287,0.474774959850413,0.561267955191806,0.39455793574491,0.147341988000829,0.0255409753580788,0.0256364332958402,-0.166514486790388,-0.297816119258801,-0.287706762208895,-0.333472660378005,-0.319503397852574,-0.397502493800124,-0.525438085133381,-0.630226515790886,-0.38198468892176,-0.564723106502916,-0.445890444077204
"NP63",0.0925350515740385,0.287999019202364,0.287999019202364,0.072791936639068,0.309159993774274,0.309159993774274,0.370943536284189,0.279288016302319,0.272472412391823,-0.209630579105189,0.0215802590359401,0.12148890048048,0.200797858013024,-0.0973317061558983,0.0507111352208566,-0.0628160404009317,0.0333006112670812,0.0932277116161534,-0.203161957323252,-0.327099594573625,0.136430154475677,-0.224915376353429,-0.274627261762592
"OVOL2",0.371259697513823,0.322483657549849,0.322483657549849,0.403308189319122,0.318667161492219,0.318667161492219,0.216609070194041,0.321931502131628,0.11352683462981,0.248352938187909,-0.0240834337367673,-0.0241428552949085,-0.259472335443977,-0.216815940678624,-0.263620082787233,-0.259833703425952,-0.280856252846941,-0.398047592157904,-0.272635244761888,-0.337715433999756,-0.420112324233455,-0.29440966054672,-0.247617490051515
"CDH1",0.454782277950726,0.205627404617351,0.205627404617351,0.424989490138083,0.20495193426542,0.20495193426542,0.191300177396848,0.173030400572667,0.143816672796972,0.37576706391625,0,0,-0.387630154725347,-0.116345441671875,-0.301314451487288,-0.183178678862313,-0.319986430238948,-0.522765584429157,-0.365455395964028,-0.225201890146121,-0.575136838934057,-0.388928604221491,-0.226716323324432
