"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.807914268972232,0.807914268972232,0.791072752213413,0.756490642184672,0.7978352203905,0.7978352203905,0.757649640810506,0.721138757567429,0.519689324183486,0.507833851857329,0,0,-0.465177559790318,-0.495921443749073,-0.505265604970426,-0.522701471399817,-0.666036656747678,-0.599008595118991,-0.616652022345996,-0.864916567833751,-0.668837139332358,-0.891751869782155
"miR200c",0.787397538070055,0.787397538070055,0.77347481526936,0.736587965697129,0.780177264471734,0.780177264471734,0.725873346654586,0.713752963889301,0.581479801538859,0.507256687494282,0,0,-0.506879149987579,-0.50498245336895,-0.538126835358578,-0.562315558595781,-0.648438782360191,-0.691943732168258,-0.702219598077931,-0.844927270614638,-0.759435488848189,-0.864526646741709
"miR200b",0.787397538070055,0.787397538070055,0.77347481526936,0.736587965697129,0.780177264471734,0.780177264471734,0.725873346654586,0.713752963889301,0.581479801538859,0.507256687494282,0,0,-0.506879149987579,-0.50498245336895,-0.538126835358578,-0.562315558595781,-0.648438782360191,-0.691943732168258,-0.702219598077931,-0.844927270614638,-0.759435488848189,-0.864526646741709
"miR200a",0.787397538070055,0.787397538070055,0.77347481526936,0.736587965697129,0.780177264471734,0.780177264471734,0.725873346654586,0.713752963889301,0.581479801538859,0.507256687494282,0,0,-0.506879149987579,-0.50498245336895,-0.538126835358578,-0.562315558595781,-0.648438782360191,-0.691943732168258,-0.702219598077931,-0.844927270614638,-0.759435488848189,-0.864526646741709
"miR141",0.787397538070055,0.787397538070055,0.77347481526936,0.736587965697129,0.780177264471734,0.780177264471734,0.725873346654586,0.713752963889301,0.581479801538859,0.507256687494282,0,0,-0.506879149987579,-0.50498245336895,-0.538126835358578,-0.562315558595781,-0.648438782360191,-0.691943732168258,-0.702219598077931,-0.844927270614638,-0.759435488848189,-0.864526646741709
"miR101",0.712076833071295,0.712076833071295,0.698065430697027,0.646182527298465,0.706570805465866,0.706570805465866,0.598799054340301,0.650483077637209,0.530850426373664,0.475039250597585,0,0,-0.390105528462323,-0.400554915951458,-0.493189162779826,-0.439571382874542,-0.561319147514871,-0.546132367005193,-0.616862220111574,-0.763075469023494,-0.60515674485337,-0.778372828139946
"CDH1",0.619424679644621,0.619424679644621,0.811195343643451,0.777663474160642,0.615775955179647,0.615775955179647,0.549615478073347,0.574475522614413,0.726898404115589,0.431760032460959,0,0,-0.543190479819789,-0.454811070576249,-0.473387485206837,-0.603764530182572,-0.790044390825641,-0.641195334798247,-0.856396868046115,-0.685105779486896,-0.71352253366573,-0.696358893360036
"miR34a",0.727168424983543,0.727168424983543,0.715826040269476,0.671207821227885,0.722658689814294,0.722658689814294,0.633229123523949,0.668178338324789,0.602292618733418,0.497285295350464,0,0,-0.516990936528896,-0.487667347593871,-0.544642726214861,-0.56822877321495,-0.787639717733552,-0.561328602464644,-0.744274618955523,-0.781050547805845,-0.622522469997308,-0.693927250974993
"CLDN7",0.544094996438758,0.544094996438758,0.7379456297229,0.809196118087174,0.541518965379984,0.541518965379984,0.482416307397395,0.508570872360407,0.66513130446393,0.384474985731987,0,0,-0.478338754005497,-0.408394575730889,-0.416531558592531,-0.543190479819789,-0.721101519559488,-0.562811551505819,-0.792183386086101,-0.615775955179647,-0.641195334798247,-0.624469925006737
"GRHL2",0.647289207852738,0.647289207852738,0.568883440638429,0.537972268420454,0.63823380560249,0.63823380560249,0.606535041088713,0.511925486851951,0.346499889911088,0.421020521666467,0.0255409554727346,0.0256364332958402,-0.313472042722592,-0.363470509374329,-0.374526599351407,-0.354662987604482,-0.418859691357083,-0.544017908167859,-0.406958047205008,-0.685338202059448,-0.59301750323545,-0.513780697369513
