"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","TWIST1","FOXC2","SNAI1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.787860577867258,0.787860577867258,0.770444060013246,0.72477132750889,0.778957746839224,0.778957746839224,0.73774301937196,0.704434778943864,0.497480238911213,0.495929076480538,0,0,-0.101251728730252,-0.109883992640305,-0.417008006461787,-0.466854072624704,-0.444844905035501,-0.64635913882958,-0.587294313120095,-0.591386054468672,-0.838964454830429,-0.656272580416934,-0.862391366875684
"miR200c",0.764780264397593,0.764780264397593,0.750220128492318,0.701809289150938,0.758798300134475,0.758798300134475,0.703537409973744,0.694792771919995,0.556699677893161,0.493741368750274,0,0,-0.164478157611078,-0.17309877077049,-0.444774119300873,-0.473483110848515,-0.506461934296028,-0.626216087405872,-0.669872881701952,-0.682656465217615,-0.816187914031417,-0.744798543210525,-0.832240103457999
"miR200b",0.764780264397593,0.764780264397593,0.750220128492318,0.701809289150938,0.758798300134475,0.758798300134475,0.703537409973744,0.694792771919995,0.556699677893161,0.493741368750274,0,0,-0.164478157611078,-0.17309877077049,-0.444774119300873,-0.473483110848515,-0.506461934296028,-0.626216087405872,-0.669872881701952,-0.682656465217615,-0.816187914031417,-0.744798543210525,-0.832240103457999
"miR200a",0.764780264397593,0.764780264397593,0.750220128492318,0.701809289150938,0.758798300134475,0.758798300134475,0.703537409973744,0.694792771919995,0.556699677893161,0.493741368750274,0,0,-0.164478157611078,-0.17309877077049,-0.444774119300873,-0.473483110848515,-0.506461934296028,-0.626216087405872,-0.669872881701952,-0.682656465217615,-0.816187914031417,-0.744798543210525,-0.832240103457999
"miR141",0.764780264397593,0.764780264397593,0.750220128492318,0.701809289150938,0.758798300134475,0.758798300134475,0.703537409973744,0.694792771919995,0.556699677893161,0.493741368750274,0,0,-0.164478157611078,-0.17309877077049,-0.444774119300873,-0.473483110848515,-0.506461934296028,-0.626216087405872,-0.669872881701952,-0.682656465217615,-0.816187914031417,-0.744798543210525,-0.832240103457999
"miR101",0.691727047898211,0.691727047898211,0.677777209608347,0.614996817351957,0.687314283409679,0.687314283409679,0.578640166045386,0.63358135618437,0.510368324870537,0.46310239469514,0,0,-0.0843987737169912,-0.092716921311461,-0.406804662436824,-0.372550656072016,-0.56607585072321,-0.544408349829286,-0.591017659667648,-0.537900259148038,-0.737334388218354,-0.592211941144197,-0.749493510921352
"miR34a",0.636774849218199,0.636774849218199,0.624790647774246,0.557322402529272,0.6357227926028,0.6357227926028,0.54896012323941,0.590499653103913,0.515073780096216,0.441546635164783,0,0,-0.0113606276627816,-0.0192346248126797,-0.336892634988322,-0.400742604422617,-0.47581248630396,-0.700804328759608,-0.638335857548487,-0.503573488485439,-0.680123265684949,-0.552010394518782,-0.583900930775923
"CDH1",0.513439656112446,0.513439656112446,0.705219356988098,0.648574125271495,0.510273240253145,0.510273240253145,0.447516202336579,0.477390795423165,0.626347438299063,0.364771676000981,0,0,0.0424842933872984,0.0344577329623316,-0.245897991899472,-0.353780836680697,-0.580502916931265,-0.690703848305932,-0.732466033063394,-0.575678828118832,-0.561674629609966,-0.630966591279418,-0.570835441206135
"CLDN7",0.455717218051176,0.455717218051176,0.649478087592917,0.698299819090841,0.45321658955644,0.45321658955644,0.39645395068095,0.426743131234612,0.580502916931265,0.328421807644309,0,0,0.0549237899991087,0.0424842933872984,-0.212628382006408,-0.320257199271571,-0.531046800108139,-0.638914123432266,-0.685392358997545,-0.512419810536812,-0.510273240253145,-0.575678828118832,-0.517779397029876
"GRHL2",0.631662658356157,0.631662658356157,0.552832540698991,0.513006030500344,0.623558747545813,0.623558747545813,0.591128772314676,0.498954133863481,0.329497968908439,0.411799204166405,0.0255409753580788,0.0256364332958402,-0.0818031977708821,-0.0887313439064969,-0.307517925043263,-0.341577755838633,-0.292301789499134,-0.403600867566423,-0.384493886386962,-0.537919929358829,-0.66536721846184,-0.583081988594848,-0.49109373607783
"OVOL2",0.411774025147607,0.411774025147607,0.440430702600196,0.463215098306567,0.399720576799381,0.399720576799381,0.403462029075897,0.287570332236276,0.409664611806896,0.164619877100761,-0.0240834337367673,-0.0241428552949085,-0.0480336958780063,-0.0523283509387933,-0.260933715535436,-0.310208265347074,-0.383657571020785,-0.438312075673604,-0.45590248342798,-0.327080438371295,-0.429654042286895,-0.359385883697574,-0.361310302787243
