"","miR200c","miR200a","CDH1","miR141","CLDN7","miR200b","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.79901573005205,0.79901573005205,0.747610181821988,0.788710469528536,0.788710469528536,0.770188726948268,0.748166640939559,0.709045363155961,0.513038513699867,0.497597406615674,0,0,-0.459918842399093,-0.487130123422285,-0.497557701197102,-0.515966989223071,-0.455299776127746,-0.658710955488961,-0.586708938146826,-0.607854529571128,-0.853493371665768,-0.654003493302653,-0.881221994554573
"miR200c",0.77841380488323,0.77841380488323,0.728033125511057,0.771312886743979,0.771312886743979,0.755611739096402,0.715687403918502,0.703017811943591,0.575268817069259,0.498174963055309,0,0,-0.501512911436937,-0.496336135369452,-0.529839434420141,-0.555484881868753,-0.519705621922646,-0.641525832425866,-0.681195763189834,-0.694204419240974,-0.83387943317509,-0.746306564652569,-0.853311393274942
"miR200b",0.77841380488323,0.77841380488323,0.728033125511057,0.771312886743979,0.771312886743979,0.755611739096402,0.715687403918502,0.703017811943591,0.575268817069259,0.498174963055309,0,0,-0.501512911436937,-0.496336135369452,-0.529839434420141,-0.555484881868753,-0.519705621922646,-0.641525832425866,-0.681195763189834,-0.694204419240974,-0.83387943317509,-0.746306564652569,-0.853311393274942
"miR200a",0.77841380488323,0.77841380488323,0.728033125511057,0.771312886743979,0.771312886743979,0.755611739096402,0.715687403918502,0.703017811943591,0.575268817069259,0.498174963055309,0,0,-0.501512911436937,-0.496336135369452,-0.529839434420141,-0.555484881868753,-0.519705621922646,-0.641525832425866,-0.681195763189834,-0.694204419240974,-0.83387943317509,-0.746306564652569,-0.853311393274942
"miR141",0.77841380488323,0.77841380488323,0.728033125511057,0.771312886743979,0.771312886743979,0.755611739096402,0.715687403918502,0.703017811943591,0.575268817069259,0.498174963055309,0,0,-0.501512911436937,-0.496336135369452,-0.529839434420141,-0.555484881868753,-0.519705621922646,-0.641525832425866,-0.681195763189834,-0.694204419240974,-0.83387943317509,-0.746306564652569,-0.853311393274942
"miR101",0.701499037885941,0.701499037885941,0.637548704925808,0.696439893973553,0.696439893973553,0.681383230323017,0.588450932637316,0.63945705854165,0.526175842433348,0.465863135786077,0,0,-0.384665390466494,-0.390600197190252,-0.484444917397956,-0.432742360563562,-0.57717507379384,-0.557463661658817,-0.535540382864501,-0.61208314925082,-0.750837197777116,-0.592182986812856,-0.765107023302917
"CDH1",0.614681427690857,0.614681427690857,0.77403428209578,0.611184469141756,0.611184469141756,0.801983975732577,0.544298280903858,0.568859207044797,0.724820496853384,0.426494720672046,0,0,-0.540834067343068,-0.449574512024619,-0.468970564651566,-0.600463845095453,-0.663886666213793,-0.787612557190109,-0.636450133760581,-0.853330074505998,-0.678855706952289,-0.706852307146309,-0.689801896730446
"miR34a",0.721603395717936,0.721603395717936,0.66676000088114,0.717248785633862,0.717248785633862,0.704142765226975,0.627336302599147,0.661905055317664,0.599375323557455,0.491665547976709,0,0,-0.514255273084912,-0.482452164578941,-0.539905769775304,-0.564384526803605,-0.548385437830274,-0.784371259946393,-0.554869375492019,-0.740326909799254,-0.774003650424348,-0.614150945580122,-0.686588176377595
"CLDN7",0.540854044477792,0.540854044477792,0.806823334509929,0.538402587495519,0.538402587495519,0.731509346963332,0.478560021959679,0.5045176211101,0.663886666213793,0.380564696595411,0,0,-0.477169630904571,-0.404586638136179,-0.413298797591071,-0.540834067343068,-0.599400391703989,-0.719734928127011,-0.559749653248035,-0.790256846302264,-0.611184469141756,-0.636450133760581,-0.619614234623951
"GRHL2",0.642553519082113,0.642553519082113,0.533355028940957,0.633777736871429,0.633777736871429,0.551117110852519,0.602032271666238,0.507068216824544,0.343994503741871,0.416806224226142,0.0255623852010396,0.0256634565574172,-0.311279262526538,-0.359440124646377,-0.371050649333905,-0.351654563345985,-0.302753345474851,-0.416090470571798,-0.537761569479735,-0.403449415760509,-0.679573048812806,-0.585311731000475,-0.507373594893042
"OVOL2",0.43816658261132,0.43816658261132,0.500880657602699,0.424869964840039,0.424869964840039,0.455755394024819,0.428607661676126,0.309098993953934,0.438204743167084,0.179280657791944,-0.0241021221850877,-0.0241654388258521,-0.333146594908038,-0.340697590133283,-0.352154402447789,-0.363351968566053,-0.407012516700602,-0.465251224613623,-0.338217143970343,-0.490963177482774,-0.460159522030289,-0.374866742218414,-0.395279621754788
"NP63",0.11778332923007,0.11778332923007,-0.0724453547581628,0.151100324648739,0.151100324648739,-0.0613216927723405,0.119445918003517,0.233096420579142,-0.259666604265958,0.177780708904938,0.0216680233292707,0.121568869056888,0.182778235013711,0.0756174945698099,0.0883554872865796,0.178806328983195,0.263057404647442,0.203853859404913,-0.0890998152155841,0.248904919930236,-0.155553305266704,-0.0949955992814734,-0.0727902390710745
"SNAI1",-0.531194274456833,-0.531194274456833,-0.56328759095375,-0.532207412479564,-0.532207412479564,-0.519841715798763,-0.4963820692622,-0.494199941238378,-0.46925285338976,-0.382155467159089,0,0,0.33098619541388,0.218647142411684,0.419494127455581,0.365629527494073,0.433724994700425,0.491940540442425,0.417114271559917,0.541540623112886,0.572513707743104,0.459383287582118,0.570864516034825
"TCF3",-0.540854044477792,-0.540854044477792,-0.806823334509929,-0.538402587495519,-0.538402587495519,-0.731509346963332,-0.478560021959679,-0.5045176211101,-0.663886666213793,-0.380564696595411,0,0,0.477169630904571,0.404586638136179,0.413298797591071,0.540834067343068,0.599400391703989,0.719734928127011,0.559749653248035,0.790256846302264,0.611184469141756,0.636450133760581,0.619614234623951
"KLF8",-0.540854044477792,-0.540854044477792,-0.806823334509929,-0.538402587495519,-0.538402587495519,-0.731509346963332,-0.478560021959679,-0.5045176211101,-0.663886666213793,-0.380564696595411,0,0,0.477169630904571,0.404586638136179,0.413298797591071,0.540834067343068,0.599400391703989,0.719734928127011,0.559749653248035,0.790256846302264,0.611184469141756,0.636450133760581,0.619614234623951
